,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.031925293776411075,,,,,,,,-0.02368340559184469,,,-0.04410965915107609,,
BMP1,0.008897164427743135,0.05635782503693308,-0.010748759370910093,0.07089470005658398,0.005521083942283286,0.06307649195910708,-0.09323783915597919,-0.21941214304742335,-0.08460090321764263,0.02882867590272227,-0.03837423268250574,0.016241631569636435,-0.1532647751284451,0.04335993716468371,0.07308207048654906,-0.07752542408660537,-0.02151019395859667,-0.07927725933664369,0.17334386675324395,0.029109365665258017,0.01015572535992526
NDP,-0.054586328077402615,0.02403726607644781,-0.0059926970477166336,0.03570620170006889,-0.0075344986880358945,0.010397987660941183,0.029398858875499447,-0.02723105710735797,0.06964829543510809,0.04016454501987064,0.014067730610519759,-0.07110957665255549,-0.0435698211672191,-0.08868160878735254,-0.04758713814432377,0.008644038670638487,0.04720870572573745,-0.03016359362712443,-0.04944143094608679,0.02379393774060256,0.050034931788949216
TNFSF18,0.10915490850629614,0.09380948236221673,-0.025289796944407413,,,,-0.05340330270688601,-0.047408102834387573,-0.003157191141462572,,,,,0.0046784605008823345,,-0.02442427815021151,,-0.019237178287289394,0.08251626560394668,0.02610018881289755,
IL36G,,,,,,,,,,,,,-0.029722033824827382,,,,,,,,
RTN4,0.03487954100744475,0.061241976584752555,0.04709262623560741,-0.08390271994640586,0.07581828352615666,0.09507626457845754,0.18209618494536758,0.2827497791114606,0.10124137280226898,0.07561020192632825,0.25932940571354485,0.026927107828448288,0.19043691316408656,-0.0835501401227479,-0.039717160525412756,0.030424152575326605,0.009955886840933452,0.049298058320502935,-0.06157663859982341,0.08641573999919612,0.05822097788505246
HEBP1,-0.010210524542481246,-0.01642651418482727,-0.00521676695640821,0.03355806394227035,-0.00831053605692695,0.027214265023066477,0.011639688689649952,-0.09647554134851162,-0.026204834372758494,-0.015312502479891918,-0.1281073061385593,0.006822357250864283,-0.02583639025455962,-0.0343602024814299,0.02895890458778485,-0.003933890265505469,-0.014686834986898096,0.010651196041500501,-0.0017392800493219163,0.08896734088823217,0.056223564759515274
WNT7B,-0.01622975509276179,0.055463985783520756,-0.01570923790960861,0.06629892470605864,0.0006202916938893433,-0.01956890440551494,0.0462040502052846,0.23852042358613953,0.007641289855610646,-0.005331618798802088,,0.004955062947949457,0.04449189472063288,-0.039525027040757554,-0.03139837175171816,-0.040560402615518173,-0.020366673885378588,-0.0020823458948766365,-0.023654675087572456,0.03202277694062093,0.06563171628884931
PTMA,0.028955687695662223,0.0638595935994781,0.0037968560958227143,-0.0010867651061262902,0.03385576697338203,-0.033668913143551756,-0.1977152523314066,0.03312537224698868,0.07781559336884719,-0.020741384560605147,-0.3028192201218578,0.016538040415712437,-0.2099647432269442,0.0036027437055031683,-0.005861259684787806,0.0334493851827463,-0.06442543867536706,0.014937531563566442,0.19735111237625116,-0.04154309311728388,0.04773554282820711
FASLG,-0.016229759680871977,,,,,,,,,,,,,,,,,,0.05252308086113272,,
CEACAM1,-0.022535163354670925,-0.009480870502284721,-0.012055895248587255,,-0.03422918596273512,-0.02116931692144306,,-0.062386363166415125,0.012484883494349749,,,,,,0.07060927957794122,-0.035095137772701894,-0.01351765766452986,,0.0071639039018348075,,
PDAP1,-0.12669759984153786,0.03530015163129723,-0.0013363566246066532,-0.012155891625430862,0.02604670971456196,0.06241973949555414,-0.05352689738263238,-0.18958472158299147,-0.04279361462918282,-0.050625543326832424,0.032868341377308395,-0.01579072845563993,-0.11378796159334864,0.06615445342781935,0.00990356507047982,-0.011046133993256133,-0.029472796393239135,-0.06924342068011548,-0.061720173882451754,-0.052997287861380034,-0.038468660074547925
QDPR,0.12251886252935996,0.049397180503073075,-0.01766894209651526,-0.02370930336864179,0.046222628115941945,0.035764856272664916,0.21148988633401408,0.09471410593994237,0.08630651898474843,0.03985238019801058,-0.19843372960460937,0.04053690346204146,0.02803066335700531,0.06567240185150347,-0.019611532358312006,0.004564936724065893,0.011306205576571905,-0.05273675518536106,-0.06360388866930639,0.035662425926243836,0.10620538044461325
POMC,0.07989547652363485,0.10238763369127732,-0.021421402427895503,,-0.003998119107529254,0.037287926608624934,0.07541608461848086,0.010646724193423406,-0.01933260077300601,-0.010852109282836319,-0.03257369853893327,-0.04488919984974578,0.056465900758072285,0.03150228195693729,0.11367884547163333,-0.075903616199862,-0.02211311218353496,,0.05102522899190268,0.05592672073992468,-0.10467846628818729
CCL18,,-0.022392129188153257,,,,,,,,,-0.062081976971310356,0.02043688058617777,,,-0.019964883929448833,,0.030814453438689757,,,,
CCL17,,,,,-0.01983965954499868,,,,0.02236412466003858,0.037090036657744775,,,-0.0010666326483365796,,,0.0019276252869131355,,,0.0044081117820795905,,
VEGFD,,0.046640604120301375,0.0017981356085280615,,0.05946880528753109,-0.0006041398762709658,,-0.04613318145219775,0.01027293608703468,-0.02417734528254924,0.029382857517485938,0.07613730523775841,0.03285626929964866,,,-0.03293295068410809,,,,,
TNFSF13,,0.015398891969324492,,,-0.013684953129448124,,0.054145897561845235,,,,,,,,,-0.03348499121973506,0.009203851787491103,,0.06583502389097867,0.008649800535320043,
WNT5A,-0.024507932674639934,-0.050068949410482316,0.06234777581860485,0.03732738901084564,0.008270994128482024,0.027615488857759322,-0.0929401266127149,-0.19654443921083353,-0.005697437043901,0.028214502854069304,0.01460799591822672,0.023498842229480496,-0.0642430862646946,0.08133982508220221,0.042705652124576304,0.02048428497121038,-0.02536943606849076,0.00368918910428702,0.17795959657988963,0.015723023491124574,-0.014251983164681303
CXCL8,,-0.06841699948932475,-0.01616840507579756,-0.007588240278433058,0.016590014236089308,-0.054298990055595554,-0.015139868932083769,-0.0441357149323328,-0.03693665113211394,-0.02251499519303236,-0.045381083827524676,-0.0189502435409982,0.003982509022080608,,-0.035151321493671464,0.03606365776150397,-0.03172885514149224,0.004760343539232328,0.000346908050356676,-0.04494552141455296,0.02964698870214222
GRN,0.04616689811305525,0.011337640660624638,0.06685604881010704,-0.043676973085682635,-0.0031934428737151435,-0.046374947459918624,-0.0956650116625739,-0.20787432910683293,0.009720981052373512,-0.042446999768507056,-0.21030806943331878,0.013104046732728608,0.013576724163688565,0.061323917431282245,0.039410520486060176,0.010747506340330755,0.04977012513295292,0.09816101072400445,0.260373159493609,0.14250059339702914,-0.00774912156267856
MIA,-0.021243355570540204,-0.02045750540779581,0.02614315899780567,-0.044769273200110614,-0.04177566708543406,0.011638603022636567,0.04994804809254505,-0.0911975481645388,-0.06193304097459066,-0.02749663855739347,,0.05349555344445582,-0.039853174790475045,0.014450209540208205,-0.06333215064544379,-0.001491128963376502,-0.111386098015916,,-0.08530564717355509,0.03133915632666716,
COL4A4,-0.018796039296133014,0.0362464123277394,-0.02582529688076796,0.010342373267311612,-0.004177824169448477,0.06702826953370734,-0.018177703440755918,-0.03146000735638685,-0.032897265704122686,-0.006405854512099507,,,-0.029644367568098663,,0.03192634850251887,-0.04809989989979663,0.0006877425097998932,,0.02246043290621933,-0.030131071601195877,
TAC1,-0.016229750850927527,0.07510852440506162,-0.0008637413735373391,-0.04220842781871302,0.08949889776577996,0.03358336292035854,0.2575147268897874,0.2614548627357841,0.1511015435312337,0.01620195132694758,0.1844629386501873,,0.19734906864181584,,,,0.16127732864657654,-0.028726455006382334,-0.024386899623804668,0.06522643131089,0.08576161470287555
RARRES2,-0.04059458444560744,-0.004024611947927082,-0.024028771056867154,0.020543508286130427,0.029067515160602336,-0.01698018418293995,-0.10687143164956371,-0.24364850535220886,0.08415450644488823,-0.029980617329651356,-0.09319757008585582,0.020264116038865836,-0.06888592447304677,-0.0007070299216168476,0.10326152874188503,-0.004051087538401732,-0.014832287153038718,0.0009037575024001819,-0.04201154090046065,-0.12311763620717475,0.10332688649493255
FGF7,0.0010755148581008274,,0.014194772659487207,0.0007279824888747128,0.035982895820176566,0.0010710275945076389,0.02537755294932222,-0.0650968565917422,0.00831391445069069,-0.012727068737269833,-0.030857497974016657,0.03642216008497076,0.0026089919933348755,0.11768071365582673,-0.018713034315006972,0.0903134532396565,-0.011491788515096222,-0.0324865787359014,-0.021087498532166942,0.04008714248791496,-0.13319116970982214
