,UKF248,UKF251,UKF260,UKF266,UKF269,UKF296,UKF304,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,-0.020432748939178357,,,-0.017312739098525282,,,
BMP1,0.009256914850290216,0.003039133209758205,-0.01359028490323054,0.06624765112887745,-0.1684671913718619,-0.04018555874207555,-0.08048279056565694,0.06364724513492491,0.10572329924671384,0.0580868601332965,0.08036038899144478
NDP,-0.005144791735222199,-0.008648778831353666,0.09421845728008985,0.03934126745620162,-0.014986333058820692,0.0033543991788413633,-0.01863026911224447,0.02883344205648703,-0.13784086746867175,0.00986109977217382,0.03634742082191788
TNFSF18,0.04738428597119777,-0.0009066559373259388,,-0.010119241878233652,-0.03034201876674747,,,-0.017854322244518377,-0.008348569116016445,-0.000772437574299427,
RTN4,0.09773250947603329,0.10362291829306065,0.06996100436360181,-0.003759945492238144,0.1945141312833005,0.007326381087350983,0.11308986492141151,-0.056981335081343856,-0.08455667054336995,0.09504441088128432,-0.041835226236766804
HEBP1,-0.05829531470072724,0.010722928830331425,0.002860311626238999,-0.06347620046777742,-0.02342218160092083,-0.02167740659245259,-0.07477772942591779,-0.021767257641907,0.03836912540921925,-0.04759220137197955,-0.008286019146021175
WNT7B,0.0950801746143544,-0.016593099305534903,0.09483109293011491,0.022312636635308643,0.20939085112099365,-0.012332312690747553,,-0.037334832190374326,-0.03642668022681955,0.033866133980170125,-0.04622626727514633
PTMA,0.04034462481535297,-0.0527818853286192,-0.10676219993477058,0.005712521650652082,0.03738226372203044,0.028344127312377666,-0.1630844514402438,-7.711275815220114e-05,-0.027067549906138844,-0.04834785548582994,0.01681914596867942
CEACAM1,-0.0017707010340781617,0.012758297625790307,-0.022230437156825347,,-0.03992836854486932,,,0.014865469789752775,,,
PDAP1,-0.006588836126058007,-0.02166399977804373,-0.025666199208046733,-0.03263888463668019,-0.07665853497948359,0.0018391307736950926,0.002650455996728564,-0.007216347070423025,0.11939580737846912,-0.07968080583123203,-0.0037783129558413508
QDPR,0.05134398082248793,0.02846924076122654,0.13794082794916956,0.0446217397539332,0.03676867813741697,0.01844523035185032,-0.09700890072763992,-0.03169453492579668,-0.04879644293136835,0.1119478558618344,0.027694447218055463
POMC,0.08025153771598992,-0.022626651897128997,0.1660246406437168,-0.04098753780288818,0.024360864702704738,0.004538729678741246,-0.02948338777651144,0.008141047521053681,,0.137816520247431,0.15304893323027968
CCL18,-0.03369933654901378,,,,,,-0.03048062356964318,,,,
CCL17,,,,,,-0.015263946019111355,,-0.022825846430700885,,,
VEGFD,-0.0017364447432244323,-0.018239194822920402,-0.02126882362523513,,-0.03423033543062149,-0.011196288998412855,0.09303924928495232,0.2302902167809062,,,
TNFSF13,0.1775860556630947,,,0.02282520448399759,,,,0.09903461536746415,,0.03708460070273973,
WNT5A,-0.006420229531365055,-0.06435947175643365,-0.028084461522297776,0.011909068411521468,-0.12233874451702346,0.05842859058696324,0.004571233295503347,-0.018952356656607536,0.08708952803602389,-0.09978916309403747,0.07145470665556315
CXCL8,-0.02322638058378906,0.021045572520057565,-0.087066296449961,0.008229407091389357,-0.06806309798590851,-0.010426471146152526,-0.06295842915083576,-0.032407726248193325,-0.08728210579624213,-0.045001470339693025,-0.09705303397026703
GRN,0.014915251095001556,-0.031043495987836532,-0.046424856282874516,-0.011198267462299648,-0.12893939044967137,-0.007123100011295656,-0.09269629309131275,0.034562183769304006,0.07579001508318378,0.10898519449293281,0.06304228942228875
MIA,-0.03436152619701906,-0.016220664357113484,-0.06453695988458008,0.07555384958566036,-0.058368033151553526,0.009460518122430686,,0.13678069239364862,,0.02953954577693837,
COL4A4,-0.031808956923248616,0.0219229390604154,-0.021855562827879517,-0.02303908007823922,0.03765327912099016,-0.021391134320868723,,0.1438820219189945,,-0.03763640516156677,
TAC1,0.0822773509709311,-0.0059402438982190916,0.1761240687651955,0.012309534056584059,0.19726183255769367,0.0017550183686820457,0.05298943633987128,,0.031692310266843236,-0.018869576723303482,0.026814786828054347
RARRES2,-0.010468994083850746,-0.038035224036576804,-0.14061337885886838,0.023758544302106464,-0.15269830178559343,-0.00915722761450485,0.0066186602690786744,0.03192610815182724,0.10967877336299364,-0.10137856298477489,0.07807291435998569
FGF7,,-0.02058630392946415,0.09055528677387735,-0.048683504942622274,-0.041742416792889835,-0.03758068953953569,-0.060198700898790994,-0.03778838576822195,-0.0041016817226091525,0.030831131979075565,-0.0836736395358202
HBEGF,0.05974248230927544,-0.02739087549935662,-0.07464390722556778,0.017561245575950648,0.005465410335392349,0.002585628584732605,0.09144086889381653,0.02166806255904131,-0.01204245444894637,-0.023101312296681456,4.306881739114778e-05
CSF3,,,-0.03910379417896687,,-0.021302397437959752,,,,0.028753837922753798,0.014275785541788214,
PI3,-0.03545312287270686,,-0.04206439080741178,,-0.02398678067635581,,,-0.01939427935432764,,-0.06784339276042521,
PCSK1N,0.00619710616663627,0.01573903294083846,0.043322905832253886,-0.03565018669409541,0.14760398201627292,-7.980917939045679e-05,0.12956614558097584,0.04788932463495543,0.03239160643213045,0.10925330398805555,-0.05211981592285419
