,MGH258,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,-0.01841750769406981,,,,,0.0001914838629527141
BMP1,-0.01997285909305534,0.026399946260680086,-0.04785260079430213,0.011172596773287035,0.043569995539513816,-0.03435500106874252,0.00613962198294786,0.012985847883451092,-0.03819044656446228,0.0070638740068441255
NDP,-0.03805708961579964,0.03720002178210513,0.052037262753668836,-0.01904754688829275,-0.005957739444200413,-0.01727936988449335,-0.048288000890833266,0.054985043747455234,-0.009406067891647359,-0.055609021855839706
TNFSF18,0.006929706934730892,,,-0.016966906667090498,-0.02734944601696132,-0.010647508906761256,,,,0.029657258057964132
IL36G,,,,,,,,0.02307165483531249,,
RTN4,0.04543441722877713,-0.005004953397619926,0.11079165481943754,0.012244274984255184,-0.07020390330949174,-0.011671521913886625,0.041727278836307606,-0.03029748342303602,0.07254003055212689,0.007830454038086443
HEBP1,-0.04588388765263142,0.037430903531851974,-0.08567010286343119,-0.017307942376815755,0.000742857727174863,0.05077966303741827,-0.051072276733152865,-0.04546146203503429,-0.027233273510162623,-0.03365272564291109
WNT7B,0.040985813694918376,0.004181896114843426,0.015909238073760424,0.04956203753516289,0.02677868165690376,-0.010944220382468926,,-0.01829499256938062,0.009421368089792707,0.03967971502437526
PTMA,0.03211765301634251,-0.03695321966646064,-0.062453169973860835,0.0064661250737358955,-0.026495481599351136,0.002082206759671249,-0.017521775990823763,0.017414695226212175,-0.02585897653598352,0.033963042197295956
FASLG,-0.015970535022363595,,,,,,,,,
CEACAM1,-0.02217522764767891,-0.02589261387653285,-0.01752850152876108,,0.09524151087236855,-0.01674599491130014,,,0.059988359759039205,0.05715221650834612
PDAP1,0.0014802895709676786,-0.00043811778900404506,-0.06636292391919889,0.06934618138110685,0.07130602160615661,0.007876056361253665,-0.04825607325367977,-0.013290149494451786,0.02609942897041448,-0.011023433432305807
QDPR,0.035137734921163066,-0.03229627476440587,0.05615957895033899,0.017843190951446153,-0.06731691332924286,-0.0223604704250673,-0.008867466068849715,0.026274643101453218,0.035290515619670226,0.01918841820252916
POMC,-0.01087910278012096,-0.024112252596406605,0.18567305287324656,0.06621954403260824,-0.030120960127368753,-0.012354527350234958,-0.0015519175492900406,0.004431792882520982,0.019775194025942338,0.06801671205773933
CCL18,,,,,,,-0.0527692644586724,,-0.011685591959949261,
CCL17,,0.17715016189624908,,,,0.06912205965164944,,-0.01520586238574197,0.026147635601943522,0.05488888534502934
VEGFD,,0.0007474876786650343,-0.016770277831240073,,0.16194337981046003,-0.014148201754226626,-0.01721846076277364,0.0038794004323413427,-0.020089995767024395,-0.0013599599751859068
TNFSF13,,-0.010351961267352801,,0.027514078598313684,,,,,-0.03152328041095816,0.01827524502293246
WNT5A,0.023318870032217942,0.022659962421678413,-0.03400490845847454,-0.011876403676693466,0.019371030977813144,-0.011344577401579877,-0.0562782182218855,0.036724550227529476,0.006466752083145021,-0.007383726096335548
CXCL8,,-0.052401377039553484,-0.007197183460042368,-0.007389498351270661,0.1639982489969341,-0.02725461218220831,-0.03923511473700012,-0.0015606915018810887,-0.1250783444913246,0.06526452283917426
GRN,-0.0011992492847418138,0.01672356401458304,-0.0011195616713807976,-0.020346264122165184,0.012936247930424546,0.007064050640251966,-0.07605444043565365,-0.006171833281810255,0.10381970348849785,0.07581232599095292
MIA,-0.02090405285123774,0.006346188724034188,-0.021825960976939774,0.03394801057150241,0.023041844632950302,-0.0033981070850151933,,0.00960272577075911,-0.03653225809267909,-0.006052026847372935
COL4A4,-0.018495825555223916,0.0034614721477687657,-0.06432007078963502,-0.015655596551639676,-0.018149086789919066,-0.01386422619461683,,-0.02165019195385748,-0.01913411057345911,-0.0032284882208349587
TAC1,-0.015970526333452615,0.03574581405394965,0.10157842512295615,0.05093941685163517,-0.026117455933914135,-0.038929494908028425,0.06049742672758618,-0.028404255401526954,,
RARRES2,-2.2047879796854067e-05,-0.0012476987732804043,-0.10405834956524904,-0.03212081667706226,0.06037182023057385,0.016231360002880415,-0.010595605752561016,0.026461919489650536,-0.04578930833195105,-0.02698551022622327
FGF7,0.04201290615599036,-0.01583372183543378,0.062012434748746764,-0.011006014525575314,0.07187837082096733,0.03990887946048245,0.01728184254487004,0.03644003482607329,-0.020168107432472184,-0.07539634623620303
EFNA2,,,,,,,,,-0.019094196492219474,
HBEGF,-0.01415484601815541,-0.004095497816250759,-0.044150654635110795,0.014063096558064913,0.007439642646546184,-0.0220708456988967,0.045902316938463285,-0.020180749762073156,0.025485122392587562,-0.0020149861975761827
CSF3,,-0.017887845105152202,-0.0018776383881645938,,-0.01920138449719206,,,,-0.09023277785375995,
PI3,,-0.030869020142996965,-0.007413883243485128,,-0.02162101237468212,,,,-0.056315196388947754,0.03213488917855396
PCSK1N,0.066187080212641,0.010561157580028777,0.021747724764501684,0.02295620442496598,0.024152007120590138,-0.0012772574898935781,0.017995484601387276,-0.025449372982023568,0.05973449489882049,0.058619352876986754
NTS,,,-0.041793018248782926,-0.019111926309987818,0.039955621140137114,-0.015838266814300537,-0.015502145722662761,,-0.004889124891437171,
SFRP1,-0.003666522455003648,-0.01309478024945314,0.037696320346843434,0.024054025998810284,-0.023075989776219386,-0.029408338716839944,-0.07093561904902745,-0.011639059706916439,0.10112763364145827,0.11080835628953649
CXCL13,,,-0.018960039263470473,,,,,,-0.04905843397210937,
MICA,0.08000892934729958,-0.019387223420221516,-0.005276928032385609,0.014919970977390213,0.04352783512554133,-0.014305434819650947,0.024769098110302052,0.038550117079922196,0.03166592018481856,0.02228647818123043
TG,-0.018495821387118416,0.04792505112753323,0.034532466791649626,0.04684368616650971,-0.02317435317911555,-0.013378610444340208,,0.036402329805279424,0.04559279688168698,
