,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.03679109919924559,
BMP1,-0.15933786097765926,-0.07364440870540755,-0.18561626917462967,-0.054384898848013646,-0.04675860661301259,0.033618754847985904,0.03416726907631268,0.0640197341604957,-0.10820134333379253,-0.06279385682688961,-0.08288943866933371,-0.02062852240218325,-0.07857098757025018,0.06578315900436807,-0.16207818609499966,0.01312946435309117
NDP,-0.04398798284891535,-0.03623096496839377,0.032938340571907025,-0.10977523394111725,0.026114174291115306,0.00048464490612856417,-0.1029986584230076,0.05106007448989053,-0.03751634679042494,0.24036077530138672,0.04457068177353083,0.017131275737312473,-0.011787427054644879,0.021254086260756297,-0.09107262646495208,-0.07659943092774595
TNFSF18,-0.06223121549180161,-0.03634029246129527,,,,0.058326007289421965,-0.027439546484603367,,,-0.07073332297963535,,,,,-0.062060006775763205,0.06198717136449822
IL36G,,,,,,,,-0.01667137595363577,,,,,,,,
RTN4,-0.1334777688535978,-0.017905169431658707,-0.01209883465335079,-0.07665007716947825,0.003067801001160479,0.0190508868392394,-0.0937821296697526,-0.0801421164062729,0.020020132632421306,0.013772080450296834,-0.08644531589395786,-0.07505030874348277,-0.10465511146331243,0.013027363816907455,0.11977437143283232,-0.12780612683448128
HEBP1,0.06936939287016175,0.01813735494594342,0.07990611206958181,0.03922222637988052,0.01080695354068804,-0.04140503444443336,-0.023747619443424284,0.06324482050504644,0.13945560808650057,-0.06080659049487407,0.03584531593260045,0.0559004404202521,0.0015563698240353627,0.029934901902874705,0.02468397652378933,-0.028313554961906365
WNT7B,-0.1117438814911133,0.019771086014169353,-0.04943445499363219,0.05322077631631433,-0.04543850512654054,0.05516957151321807,0.12160024137292351,-0.021259358264155776,0.01149628974496406,,-0.0494576491929058,0.09922719762995079,0.02003237708266429,-0.02287289728319348,0.14075575349744723,0.14593496781761925
PTMA,0.17278785294581753,-0.07562837713367611,-0.20884615684906327,0.08835118670065399,-0.014471501782813128,0.025781338545101864,0.07318248876678797,0.13341131158922542,-0.026704816652972786,-0.14736889403091255,-0.07344280468701994,-0.00020581233471400953,0.044236795417801594,0.06647268722569989,-0.06876640933997417,0.09708747499574402
FASLG,,,,,,,,,,,,,,,-0.004136679932382134,
CEACAM1,,-0.023129600220568498,,0.05635628374430344,-0.02753995731812727,,-0.008950452610331092,,0.03058670163625111,-0.05848957525060625,-0.0038712690245873245,-0.03265584862726585,-0.037118932314887436,-0.015181074583421954,-0.024140638218058497,
PDAP1,0.019917987441018005,-0.10390284197570235,0.12936166827166834,0.06032537773739313,0.013162452268733424,-0.0034299948198707624,-0.08950075658581604,0.022075014896290428,-0.0838226531202808,-0.05307417402061858,0.0507566615527971,-0.008952672501947964,0.08637295574087052,0.056835486965113244,0.12732628331629683,0.04316936772218879
QDPR,-0.12920391121413013,-0.053126969810341255,-0.07615674959827703,-0.02248700381930309,-0.07782346532060522,-0.038790133585476685,-0.19968789564947667,-0.07556416546315278,-0.01833273841225287,-0.09636650367140275,-0.12164926813156278,-0.018947842276201752,-0.07833678054749373,-0.10783156890640315,-0.02484674924414207,-0.10988571566561921
POMC,-0.0651938079654444,-0.04142268743479388,,-0.01786716871114243,0.038629598096557576,-0.033879857659627845,-0.023017185410333842,0.00674794439346242,0.1604393872522314,-0.04975762861286046,-0.07067474546479796,-0.023307494336814977,-0.016465319567110955,-0.024834243747028382,-0.011081868941060773,-0.02006846745523108
