,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.007533143138101153,,,,,,,,,,-0.028371985669988633,,,-0.010507423599434376,
BMP1,0.03475803472896905,0.0009412792329225149,0.1615534681742792,0.052159806773501884,-0.04394346175839151,0.049960153179615135,0.03334817443003913,0.04965277157383366,0.021255872713251196,0.0009681484031243876,0.06012900251055808,0.06555596377200312,-0.08808015793625307,0.0343829614028108,0.0838761128709464,0.06199791308288739,-0.011271484025807531,0.08347061009584723,0.09770800401834835,0.02900809804177246,0.2276668251481858,0.13607853718759744
NDP,0.028244008810119115,0.030466782611164606,-0.03166669160528278,-0.06853338974979245,0.025925774101491616,-0.013737969319161969,0.03629776159793131,-0.04082882741418529,-0.016460909463451526,0.05565727352444825,0.012487393400360517,0.0801804087189023,-0.020893583040170218,0.034061606040748836,-0.025268817388458206,0.015436443392192956,0.03144127419073247,0.09406979268297139,-0.06650118937605459,-0.01218421017437293,-0.038133197419338065,0.03516913204135184
TNFSF18,-0.030759829648342604,-0.027743634564893874,0.023839133125675593,0.03874543279127099,,,0.03909172960500573,0.07696500448971687,-0.019246032959813388,,,,-0.02598800922416456,0.0689280424493827,,,,-0.029686172771454574,,0.14654007751579767,0.09337471223787222,0.052897126814481964
IL36G,,,,,,,,,,,,-0.01912875109953583,,,,,,,,,,
RTN4,-0.01805705267755149,0.0411027343611575,-0.08740601024822284,-0.04902911281795941,-0.007042787972359488,0.01261293925075288,0.1605192946263757,0.01204288679772666,0.003251970988046187,-0.054791676339379536,0.018130016246367276,0.003560281147761197,0.04181068583855994,0.05229502770906788,-0.062249702409394286,-0.04509976331226465,-0.06975242380883491,-0.14238856162697391,-0.01674569698441759,-0.11630837629832241,-0.11004187579919619,-0.1771591446955142
HEBP1,-0.06602444537042797,0.06227352773579999,0.009401207556427888,0.046457259635754096,0.02329629568225846,-0.03194492670517295,-0.005637322568938767,-0.013225210469932082,0.03942560444201567,0.054731716562709615,-0.012831069584836813,0.004847252071868403,0.06845498484018551,0.053966123278109554,-0.023201289549376846,0.06564517781298874,-0.029337771667421717,-0.008430170358461097,0.06439694038160286,-0.009366492751505551,0.07224991570827133,0.0647093656905083
WNT7B,-0.0270984464955344,0.061967270743684244,0.024535349147976147,-0.01849271701560878,-0.02333897014147815,0.03046554440967376,0.1186512534722022,0.07601399287102371,-0.018151818448827416,-0.015391024839482853,,-0.021024701882436995,-0.02861026158551332,,0.05768230952416922,0.04513284004275677,-0.030574456865557834,0.047720397844187835,0.009330989798437548,-0.04234963118261428,0.0005061361160005881,-0.07014154586385665
PTMA,-0.016063735683634034,-0.0872724391572437,0.009992154023430172,0.04799433757313873,0.001053671847701801,-0.03122104191848911,-0.11710859638881486,-0.053537721421418535,-0.032164119478023244,-0.03160786809683705,-0.012654077565223737,-0.02993531794390343,0.13942859853710107,0.03512152078063912,0.00041129248873209126,-0.027152429199041095,-0.012860390564761707,-0.1574968276449572,-0.011300741304351734,-0.10332246237031291,0.11557584915694633,0.04137420747879673
FASLG,-0.027098454156195804,,,,,,,,,,,,,,,,,,,,0.06298198158307766,
CEACAM1,0.014759415884419532,,-0.016961375545454842,0.03572938164788771,-0.029795855917431505,-0.00014084073578850205,,0.012772582316144454,-0.011086983394907346,,,,,0.1012132621386128,0.012020183971622344,-0.03599128210687506,-0.026643214286646177,0.006301909234365518,-0.012465147529564161,,0.04972771992214961,
PDAP1,0.06503142333330912,0.06995869717824202,0.0051683292534709605,-0.013131081485891486,0.0014388305636189953,0.010990254762198136,0.03881006787555842,-0.007013653852192479,0.013858745493706588,-0.05441972499103895,-0.03930705497700151,-0.007180121162437611,-0.027724679213641346,-0.08068648258578055,-0.02319331377426156,-0.04646792992467044,-0.019928109990405847,0.03854101118161255,-0.1068750322917134,0.053110018236811864,-0.032528429832539424,-0.05275043409597744
QDPR,-0.10677227998787013,-0.04017814210125262,-0.040943114227918756,-0.07202003612268533,0.034656255508818366,0.053368173999205334,-0.1065946839291218,-0.07028115621136156,0.03370147774766318,-0.07409028034795685,-0.01703533759696433,0.002424625244789178,-0.04301363891196046,0.012927157115978633,-0.053653075764453446,-0.013977923324103119,0.025604671676869743,-0.14479432570578185,-0.10368444837632261,0.05196714337999422,0.0008756464561796638,-0.1256459311555845
POMC,0.001228010511668587,0.09969660988646141,0.027502225634119398,-0.023298113659966077,-0.0337764264598463,0.0007979091016389397,0.0657977322746461,-0.02930054178118984,-0.022331574706131348,-0.041395749968308915,0.002774840100984062,-0.0318743685244524,-0.0700368388489093,-0.02705057283337373,0.0056922208974538565,-0.014015777051703326,-0.007680671242028767,-0.030189869842020788,-0.006633283866468699,,0.07399777803236066,0.10294866359476906
CCL18,,-0.03720649515041695,-0.03606552295728958,,,,,,,,-0.001533294564763051,,,,0.08188671161000581,0.0765849755085996,0.008561103882808915,,0.02352921259728244,,,
CCL17,,,,,-0.025576013495176655,,,,-0.024003550188408888,0.057453396797689016,,-0.01747465719448557,,,,-0.025534072627806735,0.006196414714229906,-0.03630627619476835,,,0.07986679565418023,
VEGFD,,-0.041920845143242055,-0.016650928733383842,-0.0228352429996213,0.011143466970762761,-0.018593963913432186,,-0.01605560648915204,0.008034404913689721,-0.01397323976498646,0.1791445155121273,-0.01872813136377224,,0.12805762915487381,,,0.00435198538152787,0.0324373590492803,,,,
TNFSF13,,,-0.02721620960183222,,-0.017641761700888527,,0.08535500232584431,,,,,,,,,0.10398650722730894,-0.010667503179235902,0.012336953332696545,0.03665137009043522,,0.05615490153840716,0.03509032739259175
WNT5A,0.009531258648643265,0.0226583009136258,-0.006423412368154679,0.04280017434740804,0.06655142672515396,0.037343974656072254,0.03407210424560571,-0.021132149360295307,0.017141601520016907,-0.059735336901077685,-0.003677870163329062,0.03408196412643107,-0.03027295537016718,-0.03419364633792604,0.08090085205632422,0.08556316844835245,0.016266936465329118,0.12013152854669155,0.08857182356337975,-0.03123666047098726,0.15946486259829695,0.135639158453992
