,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.02192638330739699,,,,,,,,,-0.04236747973159606,,-0.019995968629705044,,
BMP1,0.006521685510994523,-0.007894321387864308,-0.004537131902899314,-0.015430440609747643,-0.012240953338153377,0.0693452899802248,0.014990284209314855,0.023347698561658983,0.0788969410210569,-0.012822822578179289,0.0533631199907462,-0.0016019606562488696,-0.0005003782947760418,-0.013418458793456987,0.011895225858950385,0.043921717283165046,0.07820906007506387,0.002897299710837044,0.016615263264138723
NDP,0.08404167152677994,0.05728444167275881,0.049819321584273775,-0.03586247401425645,0.025925348809089897,-0.00030115359170983,-0.014455233058397616,0.05172176515598759,0.03860652881791704,0.026528757103131267,0.058310275060883814,0.106431346986864,0.07152459995458406,-0.023092011122273624,0.03799332197205013,0.035214875884972026,0.019680954451940246,0.09246504095526542,0.10654778321923875
TNFSF18,-0.0150721341423925,-0.02851837877469885,-0.013332978651615767,,,0.07253671203851392,-0.00473761758402844,,,,,0.0639304088325616,,,0.005208422506828949,,0.18329342899428855,-0.03518294569167498,
IL36G,,,,,,,,,,-0.024451476467467766,,,,,,,,,
RTN4,-0.013104392093927839,-0.033100369880427194,0.03652405846900522,-0.049993317158716896,0.011588946015317693,-0.18046886371754847,-0.008028212368907784,-0.07462030679106155,-0.047439072255327765,-0.00036750767247918214,-0.1162159398958598,0.003552836190878729,-0.05310277112718718,-0.019643439929013292,0.028715815082668853,-0.016390095054449876,0.01168794097130697,-0.08443343587688773,0.048005126311771035
HEBP1,-0.009514106034326085,-0.014843933320627296,0.020681546174831686,0.03189075916656223,0.037294522087210326,0.0690227886464425,-0.004304996453839083,0.07089746450001148,-0.06023778438186471,-0.038361435179491976,0.0072734877161182805,-0.05046526320399212,0.005841419593265004,0.00560189004667986,0.015475359808737729,-0.023779725355644477,0.033070241788161155,0.00013596612911783416,0.024561472418634583
WNT7B,0.11608872481455264,-0.04220407242087145,-0.0163764010999161,-0.030648733883546837,0.03048368250183537,-0.038943601695632116,-0.010920724063268742,-0.01275101008584465,,-0.02687499046011466,-0.059085862761086336,,-0.003775843435604115,-0.004443876836898771,-0.018284442103950544,-0.020366671197185545,-0.0426797094964076,-0.002536082687137232,0.01841328252758287
PTMA,-0.06599010456176882,-0.03466966647837617,0.004899664897768846,-0.0007286476927468363,0.012394676343981892,-0.04398565822151162,-0.01251417435630793,0.015052499690691787,0.04955605314997575,0.003272130938138947,-0.05170613716026763,-0.01962128425043061,-0.16700579256083098,0.003131374292824339,0.04465550966897809,0.0369731956638278,0.01569213143507911,0.05396843283167525,0.061532898345462786
FASLG,,,,,,,,,,,,,,,,,-0.01734249677081991,,
CEACAM1,,-0.01815116652404673,-0.012567902869984384,0.017105827267192557,-0.016595312546133275,0.05198589243043523,-0.020619261696826527,,,,-0.04449313634600048,-0.09495554794198142,0.00019408418749188434,-0.01517513825539513,-0.031286554142778235,-0.013517655880337041,0.04659517414837842,,
PDAP1,0.03338196275035827,-0.03352287406254195,0.0009808844994262326,-0.02639133582195569,-0.0047383920119176285,0.06701041886451224,-0.00556809052207386,0.08679852966471269,0.007902153053139556,-0.01187017430943079,0.1500505102724102,0.023866677925567795,0.12526778036889877,-0.035289021154759355,0.09882727990565351,-0.008815830367721501,-0.0010718051320365452,-0.07799328284054297,-0.0011386852603290493
QDPR,0.06815821161616407,-0.02407173555491398,-0.018815698407932496,0.006546726558636478,-0.03792795814784717,-0.1431693712887949,0.013905454137747278,0.025979322212372313,0.024586878244763515,-0.02027025630300912,0.05898246541172615,0.029177254555359067,-0.14194955400620005,0.0678231642511351,0.05229513540153923,-0.01256978621268236,0.01754028181100619,-0.03794952544661288,0.03436156000986196
POMC,0.08251668264261935,0.019346235929710468,0.02190415582697517,-0.013666069780668972,0.038410992791783304,-0.012967730256432958,0.0025356423968373593,0.055097699796030145,0.020593804446970728,0.022938145415044867,-0.023220457604849646,0.052514575045277505,-0.04297881327367313,-0.035549930904086854,-0.011875647425896656,-0.02211310926482989,0.06860455319155954,-0.014846388377374049,0.018813192771960002
CCL18,-0.04390788785440281,0.008040233106499886,,,,,,,-0.035551433999117914,,-0.03815053832125371,,-0.04730537575562235,0.04536063445474342,,0.040745746515835526,,,
CCL17,,,,0.03711432954199157,,,-0.024003546717963516,-0.026987275297795137,,-0.022337117930213347,,,,-0.02190626475825179,0.020691705681398474,,-0.015719025420119794,,
VEGFD,0.03797062964122211,-0.022650948019433945,0.03606677902186947,-0.022853493200743324,-0.015877455448103556,0.03829823332454949,0.017163914587912575,0.02177360627103379,0.010309737311441034,0.005893275811649536,-0.04298084593818167,-0.057615300655338195,,-0.01517513825539513,0.11946583955303905,,,,
TNFSF13,,-0.01709313224012314,,-0.014149251019530391,,,,,,,,,,0.10181854755416642,0.020513402791499807,-0.01517942156605074,-0.008644687823266795,-0.03827402642820956,
WNT5A,-0.018882708352903236,-0.002978860903519104,0.05226361355212549,-0.05605509627488456,-0.059967628885467555,0.11980114305321124,-0.019310799988181318,0.011425108259303577,0.033935563390072844,0.04896160470344006,0.08807329794188219,0.12311244420134404,0.13374610797427908,0.021659230847681395,0.0022233539900910863,0.004560217123794075,0.042852781784983085,0.03741733796928208,0.041068663514525934
CXCL8,-0.09493599264839243,-0.04840859298006908,-0.016855068857619525,0.021532087265459784,-0.061152068031231466,0.0008337883577484834,0.007575400899066349,0.02507234228234786,-0.019492206929221566,0.07895585377944556,-0.0017400673468571197,0.012615231989882769,0.0218785348145789,-0.04484788813471854,-0.04456661377205261,-0.01439974944621058,-0.04467501446063989,-0.00014186543845898247,0.026858803446848104
