,UKF313,ZH1007nec,ZH916T1
IGFL3,,,-0.01619049726423491
BMP1,-0.007477232885701704,0.04524547976390849,0.03599792925869905
NDP,0.002901098528565422,0.05224098169194081,0.015546964548174887
TNFSF18,,,0.1271646856214122
RTN4,-0.013623829593786177,0.05854198855889814,-0.04793888638284374
HEBP1,-0.019440470156959332,-0.07173975648232957,0.01757136623728847
WNT7B,-0.01851038090358674,0.02241823791760997,-0.03455725164588443
PTMA,0.06326696652549553,-0.004881574923453397,-0.029801459239468427
FASLG,,,-0.01404201275380298
CEACAM1,,0.09223437082139109,0.0010965475900314365
PDAP1,0.016854431516070967,-0.045262659104971986,-0.014741677869031702
QDPR,0.03892064509847716,0.07348500604727458,0.026025893077366108
POMC,0.008448611018892589,-0.040422986184356934,0.06267990669960784
CCL18,0.057506204425583074,-0.03582814937783531,
CCL17,,,0.020001432309546676
VEGFD,0.03183459473715693,-0.04036441519361224,
TNFSF13,,,-0.020738410933956036
WNT5A,0.04653977795985642,-0.056334860012390575,0.009119213768847723
CXCL8,0.032098361176277256,0.08515341265414646,-0.004075221244640983
GRN,0.055601132207937894,-0.014099299426219406,0.052486240189661235
MIA,0.04759581906691639,0.1653397845231977,-0.02777800246574586
COL4A4,,,-0.014567351005784846
TAC1,,,-0.01673160262239603
RARRES2,0.01696673968017432,0.1200793647701423,0.007373816583817169
FGF7,-0.010561658480185086,0.030709963636867392,0.0242405137315569
HBEGF,0.040622730005004354,-0.012839618086402799,-0.003124971958591967
CSF3,0.038972485714487595,,0.200635990253022
PI3,,0.14461603483972485,-0.029113969482553473
PCSK1N,-0.04761201780422659,0.012616405845194373,0.03860599555374129
NTS,,,-0.019843723524249755
SFRP1,-0.013318848270502857,0.007809022443041617,-0.019382605662466378
CXCL13,0.031563645158958785,,
MICA,-0.029299526150628096,0.08935972692105418,0.014568138387853077
TG,-0.034474406340863906,0.09185895927311444,0.006916653546338059
ADA,-0.01211358447473847,-0.037261543091866293,-0.02516425094931842
LAMC3,-0.0018126034480891462,0.01781592999697547,-0.0050682443919673
CCL7,,,-0.014042007760630854
NGF,-0.025161780048350756,,0.051510521743129374
TNFSF15,0.08536249344473533,,-0.026210443025045847
