,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.024895921946506302,,,,,,,,,,,-0.02538123757783078,,-0.04531603526397485,
BMP1,-0.07766278384803173,0.05166461729710406,0.035273594845003316,-0.004858740952145521,-0.09250575247634919,-0.016905936209233266,-0.013905740617422706,-0.000146607049572694,-0.012157395314858278,-0.0009533785888839018,-0.011810117134896088,-0.07677985794593187,-0.022385956560911715,0.09937903762167037,-0.09401888777752203,0.0467570062616258,0.0682990945907034,0.00015108738298394162,-0.0100051294612113,0.02948250804581752,-0.08807101167464548,0.026561491699794968
NDP,0.0001772415507421253,0.020281650135023473,0.054892608128470965,0.047521009239933576,-0.07914956238128089,0.08134288747116182,0.07236239520580087,-0.0006377949566175846,0.016434096410250485,0.03721358510860995,-0.016690317315779732,0.012197799879367319,-0.004580365658871622,0.10482537551463092,-0.14281108175938045,0.020460153330469383,0.018762727943013258,0.02085559432443438,-0.06836663658261921,-0.006662963123423787,-0.03137539248655007,-0.01942505807966082
TNFSF18,-0.02516931069112746,-0.027043455434919383,-0.019075771081220654,0.016632473819742036,,,0.0008168346853506582,-0.0369696966945041,-0.030351246177045633,,,,,-0.04735628960323606,,0.0983751014830407,,,-0.026175222308864515,,0.019284669306086088,-0.03551472879623277
IL36G,,,,,,,,,,,,,-0.0021753602882015523,,,,,,,,,
RTN4,-0.033072577555246695,0.04247637327897037,-0.014870968414814058,0.05171270370576341,-0.03197932196447442,0.0576866916461878,0.16473577112322504,-0.004957938984967549,0.11115971882481185,0.025322673696505364,-0.029471835793781834,-0.003242929549627694,0.08281835805117675,0.021015502396941506,0.20228215108591055,-0.019410965244495728,-0.08841327461289719,-0.0005181461300448367,0.04508363881239834,0.009424035619621171,0.0404095469950602,-0.0126361048425878
HEBP1,0.006072074240386786,0.05246181842577314,-0.019114315912551156,0.0112071145559278,0.038238368006873656,-0.02032687274899974,-0.10612936755320274,0.03133292875836117,0.01405040605733859,0.02011527804064419,-0.017914850518587804,-0.08690534629135516,-0.025739401532248463,-0.005284938382050998,0.010898943064068516,-0.06028104693953802,0.09507723213691148,-0.04270410754488458,0.0015121582886565052,0.05663083247348409,0.02065015181843087,-0.04301265611288231
WNT7B,-0.022173374394150767,0.156090003670327,-0.01365507160736491,0.0041554421281247865,0.03399164553371402,0.07286528348714813,0.1066626541250659,0.06653325363400298,0.015141848162909475,0.04017547224715412,,-0.006950444206972863,-0.02947434845248763,0.09730502580415322,0.013857135096522484,,0.007584975137244992,0.062488396339217565,-0.0018820629037519568,0.10300365468742011,0.12240706173965149,0.04267176746049266
PTMA,-0.013717647789726718,0.05516285865421219,-0.014561162919470468,-0.01010759171855958,0.05185061415415056,-0.060370601706756795,-0.09322445240999126,-0.017682090019001836,0.033213381542986066,0.006860427967136205,0.010138086173782576,-0.08715694077142203,-0.08237400119504873,-0.054923108877798554,-0.11988601208493717,0.00953804416252678,0.01830926688545473,0.058040395553760206,0.0902514457127391,-0.016300498853693685,-0.08140156786413931,0.03290576509233074
FASLG,0.021993756575904792,,,,,,,,,,,,,,,,,,,,-0.03930258192465656,
