,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.006485927530874589,,,,,,,-0.026830562567559207,,0.06164606345893979,
BMP1,0.06550030565495665,0.03519500554822026,-0.05407683308096817,-0.03324810705799706,0.02367807371330383,-0.013629389179958252,0.0278634173285712,0.01818007173644926,-0.008750156853679362,0.02280275256394132,0.09820194433868586,0.026131467551159835,0.12502371764660886,-0.009557075484594203,0.01294708376840795,0.013737509348196645
NDP,-0.021936961423848027,0.03220917795056492,0.04637382342397891,0.030443934332003087,0.03128661065693241,0.04038767293743422,-0.007065754668591812,0.01800159592281162,0.0952265123918247,0.0678741104289393,0.036612411398945575,-0.006053941630232426,0.06636697690729558,-0.002731546396229356,0.07579541385895405,0.09275966798824158
TNFSF18,-0.02636383692769965,,,,0.07457825951225815,-0.024493268372312377,-0.013506323155443804,,,,,,-0.02766988558868306,,0.02783082700748493,0.09980712022446679
IL36G,,,,,,,,,,-0.013752911436744552,,,,,,
RTN4,-0.013524291628187282,-0.027428305022274436,-0.013446347147593688,-0.017380321425708365,-0.0796049046016893,-0.026883584461258794,-0.04306435874363684,0.011420244926449413,-0.014829665283472735,-0.08270041830989848,-0.14208243074728977,-0.07687402737505553,-0.1416512328320048,0.050875224682926386,-0.003841593956506324,0.040117483483323765
HEBP1,0.02760201456489578,0.028454440765999848,0.02106794201451048,-0.020175090238149437,0.016996742857517542,0.06386192738446975,0.0535686014089039,0.02812694643423411,0.012219349288365225,0.021654006817151832,0.1115382171281345,0.07355107959499321,0.0023690149646601625,-0.012791195870108756,0.08426311292307452,0.04072408678462418
WNT7B,-0.016376398253325843,0.02478413708059594,-0.028867301820568163,0.0356402332922496,0.013678884888842106,0.042834949719976596,0.029233693015377555,-0.021119011525112207,,-0.015116034573743229,0.09698492172559522,0.019777587710534242,0.03999385668424877,-0.005434976398380497,0.03848785429062201,0.003855035110893878
PTMA,0.010390181397826857,-0.005697870481901325,0.021060190681368097,-0.040627641970535144,0.11343861898131678,0.036651755202811415,-0.05349603688001792,0.022101312711718526,0.03181314988680898,0.02630482198566296,-0.07153721648160874,-0.027251908298144684,-0.05722222180116214,-0.012104234211986326,0.004469526537481719,-0.04166430595088643
FASLG,,,,,,,,,,,,,,,0.030669503902786856,
