,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.033330725887776906,,,,,,,,-0.025018551710430825,
BMP1,0.0572305922008149,-0.00531975375612847,0.000172035789086313,0.05339760281474607,-0.07288638522411754,0.032884189831740074,0.04212044891737516,0.11126666722890917,-0.02236764798426926,0.05473002158311179,-0.04181581197388582,-0.04008343264058248,0.04718380209123033,-0.052961698313814115,-0.013472664175875082,0.02593787397214727,0.03524093788551263
NDP,0.01912264747891376,0.045910355898452174,0.007910791330713719,-0.05929899470926137,0.044764556317822425,-0.007032783614457762,0.06208130789404096,0.0030741426275446683,0.03577939668519126,0.04074214934837698,-0.02645682049669836,-0.031276099040348206,0.05051353346125108,0.10070857155023577,0.023605704289630245,0.019019269683045733,0.005662457567603772
TNFSF18,-0.025132317022176238,-0.022702293839084314,-0.01668736145233877,,,,-0.02824322326226128,0.045015706522391515,-0.0033372853209989277,,-0.0009502787772460247,,,,,-0.03134319456042107,-0.01128621959440699
IL36G,,,,,,,,,,-0.02238162815724706,,,,,,,
RTN4,-0.05194794268637312,0.02803056516062883,-0.030026601127223333,0.006471203135228205,0.019078554401098943,-0.06822920608496581,-0.05292560689095653,-0.16939910118939192,0.005125880688633773,-0.04993214642375206,-0.03880514529571561,-0.07441059857643154,-0.016012719182731575,-0.035755826214302094,-0.0090361623061282,0.006840684797782554,-0.04187674019369873
HEBP1,-0.040692559133469,-0.025316282112254607,-0.03003548669435325,0.0517730752284695,0.0073841794054390775,0.01995173196108191,0.07871200841646252,0.02489666949290509,-0.00884648537457701,0.02653660645330474,-0.030606770842366047,0.004374692748511615,-0.0038724659175512154,0.022622711754422802,0.011464446122416786,0.022436991952708284,-0.00045903428893341586
WNT7B,-0.01566585024344654,0.012913419156734345,0.06444096086911558,-0.010570299572534546,0.018902160034572544,0.029386452682522955,0.025109683292696056,-0.023358580484345488,0.022244393136608216,-0.024599988634966118,0.0692562409283565,0.026876179884863398,-0.016654198468677415,-0.00807934024085387,0.03638328978241969,0.018608419609417164,-0.024908193682917537
PTMA,0.0031110131692536234,0.0832950210568254,0.06870218745685688,0.07554035618048519,0.044145394372816685,0.02867410697854714,0.12155558582945565,-0.08598225958114304,0.0666158408637092,0.05276845002234459,-0.08612697335019369,0.02286141944424629,-0.019431634824255285,-0.059410369151874386,-0.0074568300843017386,-0.00960509826842452,0.022421381369374962
FASLG,,,,,,,,,,,,,,,,-0.021698581363254404,
