,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02575139459052873,,,,,,,,,,-0.017190974405861405,,,0.04237787006628526,,
BMP1,-0.0677882126544323,0.008756407111405493,-0.015667890887585852,0.15613484231949457,-0.02916895413774179,0.008445731443897141,-0.0001651099592893949,-0.05025950013117451,-0.015164741514922246,0.03250363768185207,-0.06951987726154926,0.09988486356203495,-0.11631537844719553,0.011973966319796268,-0.02949201628189999,0.09919527664196177,0.12999068464824606,-0.17529573270632126,0.037204048067294014,0.10652307569685027,0.11665266648427275,-0.1173571105580203,0.050962387474929205
NDP,-0.002431037344536075,0.08780474393497932,-0.03007627099941751,0.006543826121680903,-0.010441131024226525,0.11607018762769275,-0.011205266991284801,0.05392183892931141,-0.04254401593876939,0.004970829870891798,0.12920002818227147,0.10278924087378791,-0.1865442191203276,-0.06664805944115669,-0.09324963524540719,0.05949636321863645,0.09037927924692808,-0.21131035369851317,0.07920750979480191,-0.013260409956995086,0.003725525833607145,0.12428250388419348,0.13430244337391167
TNFSF18,0.07034479077056009,-0.018058830426624574,0.019741242393064202,,,,0.07380258435978157,-0.038240047888884875,-0.02111451795327362,,,,-0.15156141368702822,0.13548751117838517,,,,-0.06722774295030576,,0.02956085410587121,-0.032646664949096106,-0.08396896845298668,
IL36G,,,,,,,,,,,,-0.022566343676135425,,,,,,,,,,,
RTN4,0.14831765168608713,-0.019105350692586873,0.0799322896234404,0.06347838871364171,0.030079758100485878,0.08415260249644753,-0.065954747018996,0.034804697650514554,-0.0007868430968290343,-0.03885538219809309,0.02494655972949116,-0.05597919785631127,0.18574788835547731,-0.10010433486900319,0.16645902866616913,-0.032491136526478635,-0.04795277055770903,0.3387641920306883,-0.09110759191186368,0.04352193459882565,-0.06657460114250136,0.3072617190909628,0.13747179357240524
HEBP1,0.047802354187373865,-0.06004091936681548,0.03564990851499008,-0.0046759164284964315,-0.017097759795997047,-0.01972958831418177,0.06284215960933258,-0.0005675507233622082,-0.010129224867381133,0.05678694000630703,0.0912156180580811,0.05437431052313403,-0.08257984947133848,-0.03152574889236468,0.08403766303516057,0.06664990132537572,0.050590739693072075,0.006198880056240989,-0.004787321109787085,0.0445337025906572,0.03717258571088484,0.019090771556665255,0.15209753696149597
WNT7B,0.030780143758536237,0.08174959463603407,-0.041054729937652225,-0.020612280291183484,0.07495269456483339,0.019176186531797878,-0.031173333250659702,-0.03986956523114622,-0.03005002421868131,-0.03254330119576215,,-0.0037121117515297357,-0.09462738934074807,,-0.036615911237223,-0.003943084005840026,0.05286520952614256,0.0021698615505378106,0.00013107157363918012,0.0006930112896150909,0.09278806773699723,0.04840385543034124,-0.05080546667105703
PTMA,0.13114774273576107,0.0038937503663083804,0.03788275691412145,-0.042244338885970734,0.025945063477739293,-0.0841399226586079,0.14188387938145713,0.07643400585338436,0.0015094830583334627,0.13009548585798872,0.10661346074781265,0.13493504402297166,0.08618879738604657,0.07191693685601355,0.22204893941115864,-0.15563379450625425,-0.060396690336511995,0.4032393129860301,-0.11720384425521026,0.2657708757391062,0.10071564326186999,-0.17844595482547662,0.27479432173474166
FASLG,0.019780954832064646,,,,,,,,,,,,,,,,,,,,0.01654247521172569,,
CEACAM1,-0.0693755831966835,,0.023528161967834343,,0.005316818513340416,0.08510920092102466,,0.029598148683348115,0.05357178600422177,,,,,-0.004649961798238203,0.012342621766322382,0.12204669682484647,0.013385844470663814,-0.06229507594897246,0.029993966149963344,,-0.030380094925807098,,
PDAP1,-0.13337942765158564,-0.0062194116690438605,-0.02144229356415492,0.007338498442227786,0.028811903529927074,0.036921689532677826,-0.014273492413815946,-0.061076171294055966,0.02675786286413549,0.008529641353762068,-0.08783601466876864,0.018774504719468968,-0.10010902815915441,0.05583978565812612,-0.0798562195600275,-0.07221729868640961,-0.06549171831065195,-0.10809169962216655,-0.044449102254169426,0.050520589409568085,-0.019255312084306583,-0.1030184251950478,0.0626632628865699
QDPR,0.3789775264855126,0.13275722396666492,0.04490908791516981,0.07213068073852151,0.046665975013017495,0.11477520267270847,-0.005175869979239331,0.07502788106424041,-0.009801679650384136,0.14785594620756182,0.4304571592171438,0.1180622136164941,0.04195928008566425,-0.00864216947582617,0.4636690952247604,0.12181275443791023,0.08350460903757113,0.3054583628980438,0.13434541960251048,0.332830284645915,-0.07300668609081393,0.39214635020978966,0.29610727301743955
