,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF304,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.058014527690686914,,,,,,,0.03692047755490947,,-0.028016912386601575,
BMP1,0.028515531048275797,0.020062181351026817,0.04173604803955806,-0.06473422649231,-0.015403279295899382,0.09606041086998493,0.026194039687327985,-0.04633255418648189,-0.0715319077450108,-0.009608455032829057,-0.038892355629435486,-0.01693111040842106,0.0005634426518039658,-0.009417428318470462,0.06683037703375896,0.03425185503453761
NDP,0.025928145389850762,0.020594095847831836,-0.005755071674655217,-0.011140092228248868,0.050670898760463184,0.04338807905084775,-0.06378279571022531,-0.011957720442452227,0.009790308304673109,0.06152212315152041,0.026866425434828183,0.02067370252883788,0.03939773150265526,0.024439218424633667,0.06807646972280093,-0.011647044904030094
TNFSF18,-0.03215586369538648,0.014796405240258654,,,-0.019423993524583853,-0.029570436605517725,-0.012490942901181315,,,,,,-0.030773651213014914,,-0.0015603854241482383,0.07807379767211854
RTN4,0.01813231905116382,0.007185027721770627,-0.033156761442391644,0.09012502947446857,0.03430892130719752,-0.05318310015269061,-0.0789593917037378,-0.011184542869797882,-0.04570541676715705,0.004584436638885294,0.05784242332171636,-0.06291283247957656,0.00560721781618764,-0.05238487034806928,0.0030975047307773905,0.002811487124086064
HEBP1,0.034901309617428065,0.01448882932732311,0.0018791971684929136,-0.013622944801335739,0.06889022470950414,0.025373127522206964,-0.00840795394954552,-0.01413190370636385,-0.08288454861458038,0.02948799175486218,-0.008421184730305956,0.05940992615310231,0.026158309908687012,0.018871837785829713,0.08017628983596022,0.0642290007190749
WNT7B,-0.025114843574393624,-0.01938624960999848,0.06450230378352691,0.0284680925530401,0.010138956212257818,-0.01868976470247029,-0.03580412507354185,,0.045326436492681595,-0.015004565111816007,-0.01874247569234076,-0.04722606562153037,-0.005895440210718469,0.06492573311279055,-0.059799737826658976,0.11078306963674023
PTMA,0.028438900270963192,-0.009882572436587012,0.03270118616909688,-0.02348621055250121,0.011082527959249508,-0.024217091425131614,-0.05259162222459558,-0.004888453992669676,-0.02537736020179388,-0.042994127558908746,-0.05829503509562715,-0.030934233318642368,0.003074859600218107,0.08452310500010433,-0.02031233224281605,-0.006714310499234826
FASLG,,,,,,,,,,,,,,,0.11421759817832308,
CEACAM1,-0.025722101582483968,-0.01487778057127471,,-0.017528508511370555,,-0.028460050187374786,-0.019645277415799682,,-0.0438296058368818,-0.009835750292658105,0.028645895691638123,0.012828173878256908,-0.04421852398043053,-0.017163928396483053,0.015307383982895413,
