,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.1598538798627855,,,,,,,,,,0.0033862595322797302
BMP1,-0.02557560609013386,0.059896843950322895,-0.03504926777932524,0.06591148329227153,0.029302686855099017,0.09044189331424396,0.07201562492180852,0.05021969956140087,-0.02759977252211979,0.0298709145825889,-0.015768287822004422,0.015451162870878579,-0.0017720113743452228,0.07438676090525365,0.029539702466410432,0.06344290366578387,0.05258898706377259,0.19378998845066936
NDP,0.048466900117816604,-0.020004251936006395,0.033341418825607615,0.10177564378257302,-0.01801376290652482,-0.029508566947162872,-0.00953148715239125,-0.0007702781961872026,0.0025511668540296496,0.030466969817355243,-0.0038132344971358815,-0.021015187412020245,0.1138071086372975,0.10567524971001677,0.05493925302791518,0.08486319803714466,-0.015220238233578924,-0.01192414316163189
TNFSF18,0.01795889943809044,-0.03492908110715625,-0.01286114018741881,,,,-0.0018031183701060327,0.13729836336257276,-0.01768454051398782,,,-0.044411833581148044,0.10455255810246246,,,,,0.022348596621605172
RTN4,-0.09695927322106174,-0.014142695981014652,-0.011742159930982479,-0.012251716153317679,-0.024193964019021776,0.05520167341399815,-0.12551940670392156,-0.08271615338894271,0.014451852850707542,-0.023523232671157072,-0.022642926181553457,-0.09527566275508634,-0.03144397861286757,-0.07490042956288552,-0.02912977949604788,0.020899442460759986,-0.02585047407109911,-0.06030192458486389
HEBP1,0.06930404578962401,-0.03956188348135933,-0.005077216715705444,-0.0018697686676021172,-0.024494848084264092,-0.022454008048772327,0.11206530641032554,0.07251540338669524,0.024520550193621773,0.02865602321578879,-0.03608738170691657,0.0022754756302646693,-0.006494540627524117,-0.054846539291938015,0.01726497026332955,0.09797396253962501,-0.05420694649232459,0.03928220541744417
WNT7B,0.03929616946139256,0.01240329212623472,-0.01955589220904104,0.02980411502590173,-0.0380109892206197,0.015369782340657338,-0.02432299388220517,-0.054765934303476815,-0.014233430216916206,0.039984314559945056,0.008997647917937649,0.013635815990260109,,-0.020580437504994185,0.018882340080480623,-0.0024746223510541364,-0.0060935188446324595,0.04681978461357791
PTMA,0.01237858895755038,-0.006862698913482981,-0.05671939967024472,0.0755846535376648,0.01439588218458557,-0.08676860785114093,0.1740275284838725,-0.04089066202784711,0.018004395459370187,-0.014987763571059675,0.055794501050521736,-0.10831475665521126,-0.008676655969153995,-0.19536181830783317,-0.11567026590755049,0.03733513585097913,0.030470021468836418,0.10848702824251064
FASLG,0.07650408029884205,,,,,,,,,,,,,,,,,0.02946720112413362
CEACAM1,0.0013581729861503581,,0.024568457310251084,,0.04994878606830889,0.0023246104818485697,,0.0332162231879751,0.043889045091867585,,,,0.12034538586953124,0.04492236356230109,-0.008101970859715963,0.006171537339839833,-0.02166700713406027,0.02952537253382113
PDAP1,0.06879385385337207,0.04766570309965056,0.026270910061466795,0.07451879492467967,0.06336035439409696,0.025077071886773536,0.06339716193758499,0.04563784612748626,-0.04714868207798329,-0.033708002668206914,0.09085651555421928,0.047967365204224094,0.03359555958444534,0.019297678808782585,-0.0118401931329032,-0.05433521783915312,-0.010481206324398392,-0.047192294859437746
QDPR,-0.0539406337571274,-0.06245205733140724,0.08282936119979449,0.019395844034026864,0.006388831006990187,-0.027203548474187475,0.008041839025161866,-0.10649380598430394,-0.03364641040979238,-0.023618898413963904,0.04188587154103936,-0.049174663534412195,0.009337226764953938,-0.1268629350035435,0.022524435543122254,0.09846231369354952,-0.028104786450766833,-0.05202183857102442
POMC,-0.033759450899399315,0.0006090540117891657,-0.015103787806845738,,-0.03370044882956827,-0.0013254171094712894,0.017931968141473232,-0.03333071867408082,-0.020519742351909325,-0.03350579504593558,-0.024446092173740497,0.0002626619413313118,0.036075586862693625,-0.033536827441679844,0.05445063489054904,0.13677242660227762,-0.067092373329623,0.10015935410716696
CCL18,,0.06329443377821665,-0.02562400068406248,,,,,,,,0.04832871968825389,,,-0.022855471934586126,0.05046372896674687,-0.012012023981056778,-0.057450299015913496,
CCL17,,,,,-0.014182889419574612,,,,-0.02205606509522329,-0.029809429459803364,,,,,-0.033318171825102987,0.054991480993193724,,0.09967686539197866
VEGFD,,-0.030034053938408672,-0.008280654912586559,,0.05445987163439222,-0.025162154363267377,,-0.02216678308637611,0.02391194367972123,-0.01731463437059106,0.03938032406549337,,-0.007002859906891135,,,-0.0012224885155984737,,
TNFSF13,,,-0.0007531220198399329,,-0.017548099377505892,,0.05496044985088797,,,,,,,,-0.03389418723516967,0.027011602278706585,0.02479922833937883,0.08594744243280956
WNT5A,0.00595907828620752,0.003705330744708029,-0.04598506893116594,0.0009603466488987551,0.03688640677377966,0.008014234665591067,0.13303053786384625,0.09756418470629655,-0.016114704613593992,-0.028814819875796524,0.017813209671125676,0.061533698732753724,0.05928064323098001,0.0639421355480444,0.06803013865078486,0.11067448765609819,0.0875909717530523,0.0610982943442333
CXCL8,,0.008020664236775072,-0.04133253999426944,-0.09241661489444469,-0.03566626983752822,0.013169678244613363,-0.013903247364290503,0.04363336290118528,-0.04910609119334557,-0.012636020897711408,0.02422973541010688,,-0.07612844055873431,-0.05155233533777975,-0.06749498112935473,-0.13485414433615933,0.02144231806629601,-0.01401942198713988
GRN,-0.1181021454526783,0.045566340080592564,-0.02259918611288346,0.040689403311614934,0.03303532375891636,0.05442318305878137,0.08285777227806485,0.051468876343250744,-0.006260697875766045,0.01754716220788297,0.028705317865461353,-0.06912092830268615,-0.030552100008207336,0.036817165874461294,0.08325114705866403,-0.0070174332761613325,0.06075380476325313,0.13606854074288427
MIA,0.005725120353893472,-0.05100763761571424,-0.02912483134377552,0.03290777866583176,0.0014221507734717862,-0.026776919780095883,0.039945760486913014,-0.027208648655856614,-0.043351487700277976,-0.019955627683824004,0.055288051974421756,0.05031269974415719,-0.03591627884222549,0.12870318011035572,0.09000044800500293,0.12083903435094921,0.0398167300938257,0.007286026850957421
COL4A4,0.01400730145027744,0.032432362633799616,0.05409537435462081,0.016141066136390023,0.01839084513527719,0.0628366166493907,0.020949523578004947,-0.013038938378821755,-0.010933593176748975,0.0038299135095536123,,,0.028585281161394093,-0.019892673367010782,0.09863901039983948,0.012387943568778335,0.05273470991044701,0.041359504631309676
TAC1,0.04218170113921668,-0.004774958661327678,0.004925343262194662,0.09045501248318419,0.010792589483792312,0.008527655927647542,-0.10647559285637218,-0.07117643931835708,-0.011906259625491971,0.0015877184523428952,,,,,,,-0.0290485672714765,0.06249255529145108
RARRES2,0.12591383364935177,0.08315858274370588,0.021383148943033163,-0.07653583048201339,-0.015065124495777972,-0.023751979440888228,0.06635956213293154,0.10801999453219722,0.0007931363769931476,-0.03623333207473675,0.056136286975774295,-0.03610633633406516,-0.10514971328886528,0.04217831803090444,-0.03879637442238807,0.01850128702885956,0.05478130715076708,-0.06430166126667076
FGF7,0.05055060145203233,0.0388086952515467,,-0.028865519456550255,0.051006788233086346,0.037664293944387625,-0.018660451668613118,0.019758111638628246,-0.002719927211917758,0.017345424029864293,0.16169794130653387,-0.07051764513009755,0.10479163288366654,0.22732437023147062,-0.00027262351005605403,0.022623032328536546,0.03395861300932556,0.006660208691874071
EFNA2,,,,,,,,,,,,,,,,-0.004278798045272837,,
HBEGF,0.01030101189305685,0.03382218221020448,-0.022191301323788656,0.05906404706473584,0.030480655769227646,0.028180265389076344,0.06348857142504452,0.10076690385865361,0.04353704817867137,-0.011650081132907705,0.09094910442858443,-0.054268137279690966,-0.061850374050017407,0.09655589154328097,0.0407274686221187,0.02020775663461463,0.06871850429216134,0.07866497990722145
CSF3,,0.049850913971607,,-0.04890192297027564,-0.030322532653265323,0.023517290774068687,,0.09496000439663566,,,0.06981012071021982,,,,-0.056788042455923095,-0.003031983820074325,-0.058798169899403535,0.0021007665178875965
PI3,,0.0021030272495218614,-0.005716530482829801,-0.06478717249022962,0.001033123344629762,0.07563543321795352,,-0.015533291085357132,,,,,,,-0.10452513459308817,-0.11481118075621237,0.015236635774854618,-0.06191468123618663
