,UKF251,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,0.03460403388871872,,,,,,,,-0.015610215029995779,-0.014860257630677259,
BMP1,-0.02837798473229528,-0.01034300357096804,0.09438651054238369,0.0026850904066625645,0.015800234376658034,0.02311414112823345,0.0718943628552751,0.1084617177812499,0.03397301899426083,0.07526336493047016,0.04772322728663135,0.08216169911473795,0.06202819331710406
NDP,0.007833315086734918,0.006459206830691703,0.03176299290646448,0.022530871911001928,0.015879396028853444,-0.005341337195121232,0.12887325950977635,0.04130640896437171,0.019220520454326158,-0.031678498380147,0.1329596025759271,0.042697425243695616,0.12242526276319428
TNFSF18,-0.02528979701665318,-0.013463315981875723,-0.05139621234651927,,,,0.061340708814691426,,,,-0.016098539223958475,0.009976295635279858,0.09930233341323512
IL36G,,,,,,-0.012934684466621448,,,,,,,
RTN4,0.043652776486671374,-0.003855944060756865,-0.0734768882421518,0.06298740048382136,-0.008690869523589882,0.053533800423390836,0.030254017491562965,-0.0034201772293226706,0.05550311898173175,-0.012723732481020662,-0.09781358537257025,-0.0010245969634049051,-0.008956170408402695
HEBP1,-0.02248052948117379,-0.03364623308197651,0.03157245654364062,-0.010176451783655595,0.0170094644327225,0.060068112152034496,0.03800712371687913,-0.0793282116151285,0.034035790769233125,0.09280884939593259,0.013897978842603945,0.058248670702598156,0.08393298512830286
WNT7B,-0.015709237954485446,-0.04332119701008315,0.013989455608999146,-0.013741242033333894,-0.03350821809555589,0.03329151590381513,0.1373867425141278,-0.024981479491833936,0.04112972963337684,0.08757812728557024,0.011103758905834062,-0.006045406194375391,0.05764305407459281
PTMA,-0.02384426209049624,-0.04631166097813328,-0.09320056108428594,0.023229181070271835,0.1020942504573683,-0.03591437924297459,0.06143940578242124,-0.11491678897379054,-0.1267453119186833,-0.05426884475588318,-0.11940555106408828,0.0008521810426195084,-0.04647783471936194
FASLG,,,,,,,,,,,,0.03790798092305893,
CEACAM1,-0.012055895283027524,,0.13326860925389622,,,,,-0.05988761662937849,-0.02340051701669741,-0.02482280191995043,-0.02313192015458502,0.08325369768087748,
PDAP1,0.021654581151226135,-0.0834508481378763,0.06702128904596573,-0.02697614719953212,0.08442244546060204,-0.03448830845749284,0.04003829474323395,-0.007800175604018108,0.03913298392844724,-0.024954330162274087,0.0035616397793388874,0.007581642805742766,0.023598819499626167
QDPR,0.05274356345134379,0.03450754972693513,-0.17065684859078806,0.0029949066645628747,0.04442209257984414,-0.02879386143446149,0.012452546684587618,0.054289138852129964,0.02203383061075012,-0.007938998083907665,-0.09597521424203317,0.06753006018350986,-0.05266732343574622
POMC,-0.021421402489090368,0.009876837424578835,0.0663856054203457,-0.013353662261309842,-0.016881054822324174,-0.027712700105410316,0.10975314576764722,-0.011510596802254932,-0.04033388616452002,0.04307011873219391,-0.030443257789044397,0.0033074650069065286,0.05764573772827417
CCL18,,,,,0.14193015213340868,,,-0.01698382962484349,-0.03247751275969221,0.04589017476891272,,,
CCL17,,,,-0.017007805582947663,,-0.011816201475826196,,,0.11461165297766356,0.06000970845590203,0.027067093478248663,-0.023340867775114422,
VEGFD,-0.01726765122630833,,0.06744403207051569,-0.012475431077722579,-0.03779237594599072,-0.012663789108830472,,-0.049635246857580695,,0.023672821748749014,-0.021706778603166745,,
TNFSF13,,-0.013056607896272129,,,,,,,-0.002091204567850229,0.007450550552189124,-0.022070639764645076,-0.004112779609441336,0.05868923114733549
WNT5A,-0.022646726474589058,-0.07718909888867911,0.06526580658779728,0.049233026972154446,0.09077401152536453,0.01179732025406291,-0.010527682949548057,0.02919322482842068,0.07199312919772796,0.035267609962827524,0.04121269751388581,0.06296165372439202,0.04995436771634224
CXCL8,0.06442682291465382,-0.018572177891884034,-0.006117607031679246,-0.011617663869352415,0.036655762633552,-0.03807516822818912,,-0.1055710031994387,0.13319954393706876,0.0746921394084459,-0.02922077046783594,0.01811884197827283,-0.034928348802310646
GRN,0.026620497422286317,-0.03660247355207402,0.023772255700047956,0.03751981076802887,0.09164293706535158,0.005444656365590612,0.07006779706066914,-0.047635333048143394,0.06697579117653528,0.002458387064466156,0.056645227120703155,-4.669053769305178e-05,0.06304893292356
MIA,-0.015356641425073547,-0.023608865189691516,0.04136447249582728,-0.01418817554958798,-0.04291358262084589,-0.017343639535101728,0.18204458813514118,-0.02628584812637073,-0.12800522802276773,-0.044711260389094065,0.06492721312815733,0.05042025680137508,0.0359859307823548
COL4A4,-0.0131069556706004,-0.012422785566936404,-0.034106516013947645,0.011980762395691359,,0.0642405592592312,,,-0.04386594896214697,-0.029671337675972534,0.030834568135504906,0.03572422841407965,0.10004572107978377
TAC1,-0.04836485076016983,0.05959275868045933,0.0068203373244200985,0.1109280561243889,,-0.005287481559820816,,,,,,0.08274116242685939,-0.043853595334997095
RARRES2,0.01509455873010904,-0.028207680679308074,0.12471419429382569,-0.02061737061705676,-0.01211846075049639,-0.0012650339771431006,-0.0307491914062808,-0.046529531205507596,0.09286334170678277,0.07930248823524848,-0.05895937449919912,-0.011216662641615301,-0.03247436947003669
FGF7,0.012912154028307888,-0.03560579257696499,0.008532271342445177,-0.01818162137130379,-0.056558504744048825,-0.026429294283940516,0.029648347921878686,-0.013036357510878845,-0.0654774899330651,0.02121075600396611,-0.01270991733859714,0.02662897095260338,0.015070752484623086
EFNA2,,,,,,,,,,0.049246824469963424,,,
HBEGF,0.010744126375596972,-0.04086662022658769,0.02586549155392207,-0.032038103184450065,0.11094129603483754,-0.04351235034619891,0.036380390580835226,0.09545606589793523,0.08429437679830752,0.06540136810528245,-0.01823230538994351,-0.025458682536238442,-0.009660984940129319
