,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.03465633587724553,,,,,,,,-0.01710443858737975,,
BMP1,0.03840212754371029,-0.01877840914433213,0.08235258317203702,-0.017486172535357926,0.042059372422162795,0.09853482086361409,-0.01301082100265306,-0.021122725950369767,-0.00214639342497648,-0.06197621685378493,0.025140258835822746,0.03904794977995215,0.012151395346816852,-0.016233513944560428,0.05133001911561801,-0.00920891656551914,-0.007703177481608863
NDP,-0.038242373342064345,0.06142249647991757,0.16251532092197724,0.010482635652882322,-0.015155164383057272,0.014793127702607434,0.009798716421245525,0.07513501715951457,0.0856422450217419,-0.03077249772196497,0.04772670279568934,0.020106498851105922,0.0931661101552533,-0.020829509585641347,-0.005890028033561127,0.027136531320538296,-0.04342034517340573
TNFSF18,-0.0004632315923589108,0.023521822601733158,,,,-0.012038493318768745,-0.026971470284203897,-0.021032727706358452,,,-0.05558323291526427,,,,0.0882430302723421,-0.04389660232572628,
RTN4,0.037043418011307006,-0.01987551596760397,0.057453843102474,-0.03983260818683912,-0.0054375086981558575,-0.025115367588578005,0.04462465054351797,0.05186523968998968,-0.021395947920944642,0.11964022231843346,0.034693865611059235,-0.009513221488736788,-0.1093415442120087,0.001105287799556781,-0.0043185849215697835,0.0015927634444448037,0.01787105553519272
HEBP1,0.03339772690709133,-0.03478030744776722,0.039463842403857294,-0.036425211345844054,-0.024446987811599943,-0.0031325490926966608,0.009970413142265447,-0.01955934340398782,0.05786588078574191,-0.03343456323171192,0.0661481699878824,-0.017454655205575532,0.06209744938460018,0.036801417890796405,-0.03232533462567638,-0.04728432603370263,-0.01220680440578242
WNT7B,-0.005605483236986412,-0.022339490058834035,0.07113586551219254,0.07262795223065908,0.0368292737706315,-0.004882108362779786,0.0836310249899427,0.004203695360259979,0.0239921378539757,,,0.007523621382156741,0.011332804959575133,0.0034668417562067257,0.0444906973234499,0.07165091826728115,-0.023948637961226094
PTMA,-0.0958607799028492,-0.002730212316344838,0.050068690946218235,0.04546666957928219,-0.02068264393434731,0.03002850409518853,0.035425503718392516,0.02215583395368092,-0.02135333689571916,-0.1678423545197542,-0.030441515432789015,-0.07739773437740562,-0.03574225997842652,-0.017663001544192387,0.03027544302571521,-0.061994040882619894,-0.08012525834931729
FASLG,,,,,,,,,,,,,,,-0.014834673751570914,,
CEACAM1,0.0021747586033810913,0.002258610283639759,,-0.0312194021572347,-0.027049651516978128,,-0.0013758204379689908,0.025838030770201713,,,-0.03908444601290835,0.006154259788316435,-0.016322266311784482,-0.03418988944545182,-0.020640269708329644,,
