,MGH258,UKF259,UKF260,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,,,-0.020915613480094686,
BMP1,0.09199593720337026,-0.04510657763940212,-0.018626784441556986,-0.01673791826734135,-0.0020246698490159116,-0.005761811372319422,-0.07034319581169425,0.06955960030352581,0.01217181583259082
NDP,0.03244686234505098,-0.06258469174603566,-0.0066383151587627144,0.012067244179941332,0.030073103027257644,0.06443197185722319,0.013195248833526588,0.01721284514756272,-0.018518881891293405
TNFSF18,-0.02115380433574415,,,-0.015882541444304843,,,,0.07081241930398051,
RTN4,-0.10973613430931584,-0.029309915023928764,-0.022818630054945218,0.021207969093096045,-0.04546276705566114,-0.12556076331222077,0.005899326547214427,-0.038092807963082016,0.0037829205898365177
HEBP1,-0.0012269234100755503,-0.0049355844627536165,-0.0005999762508827674,0.008532711504254081,-0.0004352538652688318,0.024597735428532636,-0.028550896047298185,0.011450490161767458,-0.015388033348449397
WNT7B,-0.0186358390642145,0.02844115613960488,0.04498839196755232,0.04239547742631932,-0.011878755079050698,-0.02899568594769627,0.004998453958212755,0.001936819264309933,-0.016867070355530644
PTMA,-0.03677092348497231,-0.011033564332457014,0.07423510994336313,-0.02551403796700841,0.03990260124078864,-0.014809415225180445,0.04112894808212099,-0.060062930277086896,0.05293796390794053
FASLG,-0.018635844332518463,,,,,,,,
CEACAM1,-0.025876032950782335,-0.015025210403603006,-0.008213742447764351,-0.024979453929918762,,0.029998135769587094,-0.031095715215480768,0.15248210759699404,-0.019657445430084585
PDAP1,0.04454859444817946,0.012499146032185353,0.0023512445843570044,0.004648679063529439,0.028510502481381626,-0.05741146032219166,-0.014688890502343498,-0.045313228835604555,-0.029847488400301447
QDPR,-0.04503079354137741,0.029683237323684827,-0.0009536815371812874,-0.045228535432266403,0.005395704055602138,0.028662212848003427,0.07188779168902384,-0.048794878651311296,0.0267302090027927
POMC,0.09610148477462001,0.03932588267295126,-0.03928834740218773,-0.018428845130178968,-0.0319491379109284,-0.04526484007767807,-0.04226593144613518,0.06584661737660635,-0.032156998410885214
CCL18,,,,,,-0.023308579272834872,0.11351085089907838,,0.08656291160123741
CCL17,,-0.01522893233101075,,-0.019808621416886114,0.023500093071493124,-0.021220107741623178,0.02268069160467659,0.04410681650800667,
VEGFD,,-0.016966712343486373,-0.029774183694776767,0.030546136169008725,-0.010784512049082188,,0.07583444965155556,-0.029084198410426892,
TNFSF13,,-0.010504576688361371,,,,0.07149380966261806,-0.013109641443747808,0.0038913027262638053,-0.022073993726155695
WNT5A,-0.027370584811167303,0.014311529946223667,0.029431489621894628,-0.005880360811007804,0.011585043394828931,-0.03663279820985847,-0.05920200322209911,0.02608083135925151,0.025152181526446694
CXCL8,,0.013383815344347004,-0.058661674593176054,-0.011327472327758926,-0.010043006546278805,-0.11521251836651536,-0.02635490904522305,-0.012341408054489522,0.017152520581495575
GRN,-0.03873271111906874,-0.023298600426695217,0.04674708010563812,0.05185335887671099,-0.007817337966525471,-0.028735974956981474,-0.000410486734888043,0.05812597232321116,0.02233074359773898
MIA,0.052483630437825675,0.01625437601003071,-0.01142957732787094,-0.016016877562113067,-0.012265111258741183,0.1910009366613121,0.032018221322749195,0.09990453318552057,0.07147033756497291
COL4A4,-0.021582578502592785,0.042361152238855754,0.049887598851841936,0.04770864312303044,-0.006415415680737645,0.09260283614382372,-0.017613801529806843,0.04849980722713095,0.04209662949666548
TAC1,-0.018635834193522355,0.04978272476913075,-0.04730682292709289,-0.023971015693546992,-0.01982634899941815,,,,-0.033914693428943744
RARRES2,0.03679885419346973,0.01881586370340238,0.038129614904068763,-0.020114361553724504,0.043318660900739214,-0.0366277958696066,0.03317286359617004,-0.01382530707246172,-0.01738387851212752
