,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,-0.012238772131320335,,,,,,-0.028816009223732467,,,
BMP1,-0.04213577318260877,0.011783136814196246,0.011222652415773193,-0.07839715174387062,-0.033428264562687826,0.04849468479489329,-0.11391253537001474,-0.11001727870619571,0.023938072911296675,0.08169492618178208,-0.06304001243155286,-0.03559532614049247,0.051002673047519216
NDP,-0.04735472295709424,0.07063386518486142,0.03941659343042202,-0.02473841320519848,-0.028992514973749713,0.03793490469912027,-0.03284317397069194,-0.055710458732554896,0.0018986770106146596,0.021883360859447393,-0.0027382946576916664,0.08737466758562062,-0.04100829317306329
TNFSF18,,,0.0927972219969641,-0.018174209197002945,-0.014222979920855715,,,,-0.026700401942718166,-0.029717441680003034,0.07933355939773266,-0.02673264279985398,
IL36G,,,,,,,,-0.015082906475453949,,,,,
RTN4,-0.0025207326334238,0.06582790127739471,0.037227586865927385,0.0836767446442435,0.053859349148360096,0.014566767828274485,0.19536672246885411,0.13090354930647827,0.060162943108989814,-0.09515674215258678,0.002428498382916455,0.07499063987312253,0.017761616195900245
HEBP1,0.04185860529705586,-0.025976032186718633,-0.06265516610113094,-0.06913172337163132,0.04053647497260453,0.010222188945647744,-0.12768411536558782,0.010596314112612255,-0.07033695384080309,-0.0046024421583183844,0.0063235167874623,0.07023495736662566,-0.07568991003484904
WNT7B,0.010682379518969328,-0.012308288473760835,-0.05375640416428287,-0.005569752033596484,-0.025105663046099493,0.013813459707316898,,-0.016577852391774426,-0.02939453643525756,-0.062141574631363314,-0.03458147180089316,0.05689456326980136,-0.04442591995588286
PTMA,0.022464340351455326,-0.007948762648810153,0.019855944282434118,-0.02151676531943478,0.03351666107382062,0.011590735899639661,-0.2575712275070203,-0.15925104603326423,0.03046700378421508,0.010780865427925437,-0.0038298750213259275,-0.06924460809515025,-0.2026511347722089
CEACAM1,0.08894977050122455,-0.004387212190977432,,-0.02391622417769915,-0.022369359017575353,,,,,-0.0427008611512602,,,
PDAP1,0.05889329182681922,-0.047855816476830695,-0.029091640199767177,-0.05880368593494789,0.015511195767003893,0.03548714510608811,0.046816305892262815,-0.07883826990905653,0.04680511317604974,0.04120416657880638,-0.02164357971860682,0.023956219035401783,0.003533476793923399
QDPR,0.00988338561360725,0.09672675510316313,-0.013172607439424139,0.05690838815946735,0.016684930170054704,0.040918938864366615,-0.1825236724060877,0.041013764235155514,-0.054293191032434754,0.025440909625985324,-0.01581516797615878,0.13011075093841107,0.049440723384507654
POMC,-0.021653907729814032,0.07684865428419355,0.04454811826851628,0.019751542144229615,-0.016503221173402544,0.02344917139955239,0.0012436174929629715,0.07002722482515297,-0.02250012792525791,-0.024020329571159925,,0.00490053920970147,-0.06651644146082751
CCL18,,,,,,,-0.09300914260451157,,,,,,
CCL17,0.03982460761409904,,,,0.04401020509654986,0.002039211776468331,,-0.013778663268896835,,0.07808910247301688,,,
VEGFD,-0.008018596527625682,-0.0031203453220502294,,-0.02050322629427285,-0.0040450393309631105,-0.021029174922447758,0.009093061412035579,-0.014767020196454272,,0.08964552400946672,,,
TNFSF13,0.07432419124703436,,0.02978784884553086,,,,,,,0.03614130474611648,,-0.03109846925894989,
WNT5A,0.016739589386574886,-0.008947049352869845,0.035853086676763714,-0.06250360873875234,-0.06623838881098557,0.04701871838065882,0.02747687516438077,-0.020705695894269783,-0.04429527161627351,-0.017887160332975032,0.031326383617255024,-0.03730749158101467,0.026453221266482446
CXCL8,0.009343447777363427,-0.09984568336213932,-0.02302239568085005,0.017341072816979483,-0.043996783032627364,0.038378038851818355,-0.09641554990220494,-0.044398779336667936,,-0.026164235304904294,-0.02251628414963363,-0.08577769439514654,0.056529603031747123
GRN,0.018806126961064408,-0.01797428896558514,-0.029253135535725235,-0.09049078881900499,-0.023780457049396995,0.010160472143677641,-0.1323412423764661,0.0172894559507549,0.024111472876797366,0.09954159774179286,0.058775527166192706,0.10773192954400423,-0.011359270556034229
MIA,0.021809490838090542,-0.06281534755848267,-0.016739410346010772,0.008277167090514358,-0.01826977385643597,0.06053102303380911,,-0.020224110895551917,0.060238226819674064,-0.020743286773038713,,-0.05141138816787624,
COL4A4,-0.0388597066053128,-0.017625740117935173,0.07859703278988014,-0.012060401510509262,-0.018519882210102617,-0.002479089247693939,,-0.019618137864965676,,-0.058523980168225014,,-0.04831658224291033,
TAC1,0.0025114449353842473,0.12454095694157172,0.04198370886571022,0.13189363636986892,0.08619114524698844,-0.04441656687523771,0.09977116295325118,0.1499747272095851,,,-0.06458027389758407,0.07144736641455278,0.15825290646297333
RARRES2,-0.004482846149590106,-0.09937684061483298,0.017261076045810887,-0.11337985888567889,0.03791796935289307,0.03329286575123078,-0.0555122423993767,-0.043200013917476104,-0.0348997958403811,-0.028652379693616167,0.11888951440353222,-0.05488293302785395,0.04674460245721571
FGF7,0.03880416897112898,-0.0030666625541361224,0.0636720124541492,-0.021349903067085212,-0.02838246888507577,0.00645217294298809,0.02329956483332098,-0.052778250405180575,-0.04956240480404093,-0.007520168584542446,-0.029278118120382488,0.040736638006977695,-0.07525384314304712
HBEGF,0.026531242562344532,-0.005898397117286493,0.030617526326142962,-0.03500658724173297,-0.047233698443649566,0.03920241448301091,-0.14418599587446557,0.0195226499579544,-0.011635030807508365,0.0363570998076523,-0.05182552446594394,-0.09160308649390421,-0.033996767795954196
CSF3,-0.023028332827274303,0.002497800751550032,,0.017641040970259477,,,,,,,0.10079920390450675,-0.05082351633499657,
PI3,0.015638495798938477,-0.06350370242106287,,-0.014367559829357038,,,,,,0.1529469541392083,,-0.03451002230079615,
PCSK1N,0.02094946837601952,0.034273839201457726,-0.01145870685125097,0.008166083103765109,-0.07718613728066713,-0.01844716473795811,0.23161277596503732,0.1378069132448055,0.029999726624618517,0.0881386602225622,-0.012468976576675303,0.06312004036549305,0.13249278229714734
NTS,,-0.025632861829677372,-0.018799292667309515,-0.01568317258275993,-0.0211568126266516,-0.02678599491858288,-0.03809464849366523,,,,,,
SFRP1,0.10089372487501454,-0.02361676767043059,-0.018614661113923712,-0.035415544620711045,0.015043941255436009,-0.028669159408158333,-0.060644716126955135,0.06085085774401384,-0.009023991052105742,0.13158509766393955,0.006617538314347224,0.05098221289567283,0.03617258191862868
CXCL13,,-0.02340451836129715,,,,,,,,,,-0.016694598547689985,
MICA,-0.025911773556810788,-0.014651554256553524,-0.029567821438490172,-0.04829357610330395,-0.022449461799854055,0.006246621273140748,-0.01701750088929526,-0.04387968448864285,0.07406765530947146,0.10499993916161243,-0.05170357200178067,-0.029649665397771415,-0.06605538530208993
TG,0.04415792376511736,-0.010666528579584507,0.012913952140868433,-0.015399783323628406,-0.002344240800367691,0.019993433135737225,,-0.020697496439762895,0.034435857813001215,,,-0.010095808873114304,
ADA,-0.02159060727812675,0.02952946627804551,0.036327205582837356,-0.06624865327911532,-0.006548065374662538,-0.015956740139623973,-0.09652934057016338,-0.02594282220303361,-0.004557984451432594,0.049973500063816415,0.030816352350339523,0.029458815322165013,0.10587667576489994
LAMC3,-0.024152881800155554,0.08522884813096608,0.07920931073495197,-0.035729929778450714,-0.018202407767236726,0.001050688034317268,-0.008438575123792999,0.019430100809904288,0.09514768472671546,0.08068932108048064,-0.04406741535261729,-0.0650550088105904,-0.06082947916663848
CCL7,-0.013153012525559015,-0.03103007023856113,,,,,,,,,,-0.07921360961995562,
NGF,-0.030136911133185174,0.001217243352163033,-0.020706989997299263,,,,0.018067468374595354,,,,,-0.010360339779657831,
TNFSF15,-0.014646522752811952,0.024867220823502432,-0.025142825513451865,,,,,,-0.03154016052924625,,,0.008755985835871902,
HMGB1,-0.013207244281721446,-0.028566806888012476,0.004521490103953388,-0.10002789703947455,0.047674113993455725,-0.017938987886438922,-0.09728351983509789,0.0013492543767014082,-0.07062072901567529,0.04386705038785827,-0.022413114632807405,0.055938679387598084,-0.06818121636262557
ITGB3BP,-0.015628837673532972,-0.021629331120512442,0.021132083992571687,-0.03377075940883475,0.022756041025730925,0.013024361319375802,-0.04851530173807684,-0.058791415372141595,-0.0214651962408913,0.05200392291689942,0.10831354225368635,0.01441053277694696,-0.018416058956300132
AANAT,-0.01332683917604649,0.03229780024578372,,-0.011509570044370419,-0.016071670084662017,-0.023916259101565838,-0.020779299673785202,-0.018482758831848006,,-0.002859221332691205,,0.03198855908255403,
RELN,-0.023132408330062477,-0.04852118591139896,0.015261112994348784,-0.021986426744346064,-0.01049596053473999,-0.0003605155650654302,0.01688708027603056,-0.020462009339198887,,0.06575835245851464,-0.019610373357106813,0.10462111789665747,0.006819616847716632
IL15,0.05425015278643814,-0.027745671923058744,-0.017890615076526138,-0.03002164877725535,-0.045586238459698045,-0.0032376896631595756,-0.06580085898873694,-0.01714190455732215,0.008991060845919238,0.06817340455617237,0.031760377353560396,-0.011868910394251598,
UTS2,,,,-0.005788239586608359,,,,,-0.05829037828125239,,,,
BSG,-0.04308881155132117,0.008355864427047876,-0.04953793417472325,0.01716917808712029,-0.06517670155573631,-0.04441915882244921,0.1809270838068656,-0.09982069649924534,-0.060277486451838426,0.1128655000339313,0.1742302624996107,-0.008905843964435743,0.13482154491021223
ADAMTS3,-0.0006162057392440513,0.06270346583777824,0.03560327831925232,-0.06709231271549018,0.01148890329204147,0.06545427635699343,-0.057509825028938824,-0.0156969887746973,-0.004984249996041882,0.038225669571969434,-0.01173852769582969,-0.041473073629893685,
