,MGH258,UKF251,UKF260,UKF266,UKF269,UKF296,UKF304,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,-0.017106948867287662,,,,,0.029412848655933847,,,0.10627998961969959,
BMP1,-0.007966730582394799,0.010854876204775626,-0.05709775641484615,0.04450640695283216,0.03828415497463416,0.029861060239277253,0.06900657288402348,-0.017990601454703874,-0.08516531681319515,0.026880092003199865,0.004826183642941704,-0.0463185635708814,0.027344146250230416,0.11980837801724285
NDP,0.014213416530240885,-0.01699589166729547,0.07479407589932292,-0.010142744128676051,0.0440956938587908,0.02636570057486297,0.08485417842018743,-0.04711390424281978,-0.04825359545736404,-0.020631070980917404,0.022624058526192755,0.02545844691673449,0.003701566430214459,-0.020686191903055304
TNFSF18,0.20767876956293943,0.01717995910155744,,0.09684793910972034,0.03449939300120762,,,-0.02634636528275312,,0.019264017020260996,,-0.0039399052011919195,0.07072119403636415,
RTN4,0.07510603794391277,0.01634336394349548,0.1260501683665432,-0.07355288500984583,-0.004926172429178271,-0.00890612457614028,-0.04316583443961308,-0.0009801082052604427,0.08226427007293881,0.08456703424315162,0.03602457670555017,-0.15496334701489026,-0.008009393015106482,-0.03466936423847053
HEBP1,-0.019849213417089315,0.06332981637994281,-0.04737042005655602,0.011002786721907595,0.04616576058988772,0.029822335441681856,0.09598535768437792,0.0029601625762764594,0.02492638828143551,0.022958584074519776,-0.007783277094596233,-0.014087878306002067,0.05658773630145165,0.12638719645776553
WNT7B,0.13699441185501257,-0.01524898154497148,0.022523024309050822,-0.01699338731641702,-0.07080513301767893,-0.009299053165463221,,0.07251140966637877,0.002586631876318402,0.02225648173573649,0.01858509980483206,-0.033626459916758826,-0.031619412512759806,0.08031995007717069
PTMA,0.0760524036729623,0.059264619858531084,-0.07655529705472008,0.10118052343952519,0.07514483243011957,0.02739720607384986,0.09759057387121023,-0.0052739103732921955,0.055680481369957534,0.027811017414642977,0.003885116327399224,-0.024865730013781274,0.08522776644701609,-0.02348798798452958
FASLG,0.029712555497070237,,,,,,,,,,,,-0.017174638235683937,
CEACAM1,0.08561938184442645,-0.011702676171284534,-0.013668943169706486,,-0.020728620015530677,,,,-0.006209526930595167,0.06227853612087861,-0.0168485176413829,,-0.006030455865559991,
PDAP1,0.016146356110495693,-0.023274359836688564,-0.053697603670697425,0.012740118411314751,-0.04550144302905225,-0.007969471030285873,0.06442147648714207,-0.022528869389724242,0.033798422407482286,-0.024711606227575084,0.04282149750336062,0.05963176891668102,-0.0002566659674648254,-0.0042524432510048496
QDPR,0.12687625916554246,0.020322734430865543,0.09931029874124704,-0.04278159943596301,0.09220639434540132,0.08908854765354147,0.1908239611444235,0.02004141739544345,0.0887088152497822,0.1021247301463181,-0.013663768107942925,-0.03672481601771316,0.020078142368689645,0.11601551807672017
POMC,0.03453189025007388,0.0433489198788211,0.12757093128009955,-0.04402990254426641,-0.003661965867968077,0.038726381496043044,0.05856332995817803,-0.07100259676092975,-0.055271148910363666,-0.049461059934102096,-0.01304418249571199,,0.062215214458504614,0.042234972852262166
CCL18,,,,,,,0.06015101965644467,,-0.028999374579324756,,-0.03731024504264072,,,
CCL17,,,,,,-0.011509621034258186,,,,-0.02427869327558946,,,-0.015566880511825736,
VEGFD,,-0.016761735714862988,-0.013077670914383707,,-0.028658728185072792,-0.008442446219373387,-0.0005151900873362141,,,0.0024010846075367617,,,,
TNFSF13,,,,-0.01618519936035018,,,,,,-0.017478820476700324,-0.018919756080905438,,-0.025364932479297515,
WNT5A,-0.051689656145217165,-0.03365812198479962,-0.037263120091037924,0.059728092851953504,-0.008557296291165296,-0.023792273496667012,-0.05727608164424313,0.013731517049326911,-0.008087969700354653,0.012807719738005974,-0.03647118038687817,0.04608410237104111,0.010702744554979883,0.1338815225951114
CXCL8,,0.005540742148838617,-0.008892768757183828,0.0735328290830298,-0.013519206090266701,-0.007861973009246116,-0.009969243804122951,,-0.03591542054874332,-0.0525162146674818,-0.04722540128896903,-0.016975532308463687,-0.01037097489391217,-0.07379730895051446
GRN,0.08939935001471105,0.018063309659061562,-0.07296495265400431,0.02256021937667075,0.07618154975161116,-0.008906500091005883,0.052972959390009546,0.010222745602571135,-0.02358898252212633,-0.029693360628867745,-0.01447521499103454,0.09413524835082376,0.04584998074189165,0.09065280612618792
MIA,0.07361750600042515,-0.014906715549294215,-0.03968217227510111,0.021710121948760933,-0.04886757829697725,-0.00960150461191852,,-0.07119341828626637,0.04196257332670126,-0.04183595164429238,0.03639973378532498,,0.08118813251517812,
COL4A4,0.02760454133675506,-0.025068655640345553,-0.03129758506863284,0.03154694916955548,0.07260654937312863,-0.016129764165691573,,,-0.0366642704177247,-0.008353386680076458,-0.01143271591364526,,0.05071524537895787,
TAC1,-0.030923208795531877,-0.022662564997970522,0.189034389618124,-0.032989850354359744,-0.07868308788800911,-0.018317341580173833,-0.059201505442796946,,,,0.02430896549905063,0.0016096599273390483,-0.02046424733983006,-0.019777463122427893
RARRES2,-0.1377614288363443,0.010186498603030012,-0.08181581954730097,0.052873966681581445,0.04345238653205766,-0.03040930746908615,0.04085666085650896,0.05046987188367864,-0.0025962678578328457,-0.04447341668770214,0.01444131069773873,-0.017885656355049545,0.0054064631232690055,0.0987184443359768
FGF7,0.025985493758868022,-0.0019262076718158411,0.06297961564282868,-0.009985703329776581,-0.040232951485878306,0.09198306915012247,-0.025475143044346282,-0.020224879161225538,0.01022737717405754,-0.006755404417984553,-0.00606993546357252,0.02634853692678074,-0.06863228579320496,0.0632880988952339
HBEGF,0.05942320112318502,0.03266917784597837,-0.07933472174627569,0.027532894301585675,-0.0038671477421024954,-0.021681011375106057,-0.005791699876099918,-0.032076429978040596,-0.04849450869924185,0.06530720844653355,0.014062180130314756,-0.1548171148740263,-0.015152669739556186,-0.024398221830532914
CSF3,,,0.008383016091234314,,-0.017835046317388522,,,,,,-0.008289738173433597,0.0035164407986839736,0.008753370013605464,
PI3,,,-0.04011702485978003,,-0.020082497550511343,,,,,-0.0535077782121366,0.01018146306827883,,0.0011263092111301863,
PCSK1N,-0.09440825075644309,-0.045883991132990534,-0.011056437066592293,-0.0023210014739416173,-0.04842985603374468,0.003101100116510519,-0.0876628162252355,0.047531020703299676,0.013088680906913033,-0.020428386273729098,-0.0030323952004240166,0.055370696028524624,-0.015484092347617117,0.09128891366792001
NTS,,,-0.043808601333396535,-0.018799293198799267,0.10168453031804339,-0.013177625526118064,-0.04975274110134217,,,,-0.03350831175674403,,-0.024270649710499647,
