,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.03298341499725274,,,,,,,,,,,,0.004762269014708762,
BMP1,0.004994553044814798,-0.05196935553226126,0.05064471542321923,-0.08480919216558806,0.02111557308030187,-0.028293163201893096,-0.07233221504320662,-0.22397819063470914,0.06874292702414429,0.01694254965765682,-0.010830406870357528,0.05186872087370004,-0.07503683876980058,0.07295077349666254,-0.028287246958567516,0.006406619777041956,-0.01832746035180462,0.028134177788134686,-0.03902077045226608,0.0670437040850646,0.047185901197569026
NDP,0.06069755442305591,0.01296338608620136,0.015052941880645062,-0.01357861925183138,0.011204667559655669,0.11535616602588648,0.017896906691926003,-0.028059455725339497,-0.011306367333125202,0.01349641573086492,-0.04550731724890308,-0.01733394683907534,-0.045429793058498716,0.13007446549401838,0.0036376907241045865,0.03651065133315409,0.07818793793728572,-0.013569753780404994,-0.006022504958230339,0.05686966041766111,-0.006566644282962821
TNFSF18,-0.0231063390311184,-0.05562580323498485,-0.006044377256382122,,,,-0.015036104269475598,-0.04897938108166792,0.056700563189857625,,,,,,,,,,-0.031128553053570672,0.06538118551509273,0.12372277092020022
IL36G,,,,,,,,,,,,,-0.018093228387447053,,,,,,,,
RTN4,0.05738200816681499,0.03252660703056264,0.034313615783062,-0.09256524863118129,0.01639187899301002,0.10765467420959818,0.08651207341124786,0.2668848919829091,-0.003595765807195864,0.0384752265120142,0.21597107935519444,-0.03557383414999692,0.11999835686455099,-0.05016898631304971,-0.020774097160299133,0.0960281740331214,-0.10893758286274177,0.10900525851259145,0.017599928188709105,-0.04151159494155423,-0.15552138195118217
HEBP1,-0.03222405501319156,-0.03946481109371306,0.019490598825049027,-0.030897843911182395,0.002772001508845046,-0.06655498289016831,-0.10809826037322443,-0.13822897343562848,-0.01264462478469511,-0.02722683403716093,-0.14426603365629323,-0.03618493024460394,0.030506740695393022,0.04286336167369281,0.021710635842202616,-0.00021725086308654567,0.0539543459721878,-0.024807045262647962,-0.021659474085976578,0.039818536424272855,0.04195381295295427
WNT7B,0.16610217357697668,0.02216846097695686,0.021476956052029345,-0.04289277080051126,-0.015543328799287378,0.018731180680371516,0.07593216409612834,0.18775671953676104,-0.032216380623904056,0.0028069057415142633,,0.031202643644125134,0.06823358967166075,-0.09936110264257646,0.05770833329980703,0.021408689307569555,-0.0051108871984280185,0.044665577207288844,0.03214855194380995,-0.002961265657567193,-1.6396206641112512e-07
PTMA,-0.03421598711643153,-7.621675401832936e-05,0.018734125912774645,0.05029868604940629,0.07169649780025594,-0.08732650779357341,-0.11198540526330421,0.041183440941339244,-0.06158411058536947,0.022340264953946316,-0.24164532171575517,0.0459801813784221,-0.1187298252600055,-0.09474940633366968,-0.0921166642809171,-0.008902577647033066,-0.006351458466837458,0.0009937672657973108,-0.06575653136039923,-0.03599146534204352,-0.012602303342670354
FASLG,,,,,,,,,,,,,,,,,,,,-0.034126111161284695,
CEACAM1,,0.045361518113707686,-0.00520890031955275,,0.027584117246386635,0.010878204148826974,,-0.06445407584651874,-0.021782707060820226,,,,,-0.006660217998705498,0.1433252811271497,0.015708356262286484,-0.010211591713852214,-0.03683769891934565,,0.05499266526055809,
PDAP1,-0.023822398974146744,0.022699021129221064,-0.01382125033426878,0.04394214036863375,0.005445815078779111,-0.019303056776599974,-0.057643700733836845,-0.14570475457149837,0.02274396783885538,-0.05380540837455272,-0.006051246021676969,0.038161111143663204,-0.04396203561716901,-0.09011594364152234,-0.0030450786691479425,0.02451018318284242,-0.03668887913823672,0.06152721265117801,0.012887723899230274,-0.029906729383282968,0.012718355867145374
QDPR,0.11797166911611956,-0.01947163786654128,-0.04091745358569483,-0.043005411059209304,-0.036629845664298895,0.08279430120545227,0.07795178396423909,0.11274625318755696,0.003131801901556962,-0.0044596425001521105,-0.20710420396617849,0.048065349689197755,-0.022027843274778632,0.08050391742714849,-0.034057991769520554,0.052459226787406985,0.10789469971518967,-0.003972930632993014,-0.07324998866660916,0.040741408111514964,-0.026497923172411425
POMC,0.18659438452661412,0.0040633239877210705,0.03156504602691814,,0.0005934728030917311,0.0754301041641183,0.005781476800482601,0.03053301810880176,0.048133229714204556,0.05411851011323488,-0.07273085998042995,0.05379083958348355,0.0732662150406915,0.08365398694628978,0.05265095172950373,0.008920048083139306,0.01758778795969738,-0.04688767804475506,,0.014164515439498987,0.07810277225585932
CCL18,-0.030987500541585406,0.019198841644806272,,,,,,,,,-0.10258912047206042,0.1104611254150214,,-0.06415544052111496,-0.019964872744221117,-0.026840886118891325,0.019049973776964397,-0.06387287508825872,,,
CCL17,,,,,-0.031318091159509606,,,,0.03529357585565827,0.004501237918454877,,,-0.03365511540343515,,,-0.024205091546970717,-0.041962302441157284,,,0.017408215462436556,
VEGFD,-0.001112808446148233,-0.011978805900178122,-0.030241890763922526,,-0.023325054996336605,-0.0403019195555856,,-0.005462878091857698,-0.010497280531684132,-0.02049153659107116,0.0629924165070319,0.00870821121425207,-0.0057132001872652795,-0.07227827512981747,,,0.06351888079971793,,,,
TNFSF13,,-0.033340577252666995,,,0.01872816497642004,,-0.041025132613498196,,,,,,,,,0.010936220391383924,-0.023422726204559235,0.08957718294390009,,0.03464969532706733,0.09730962713108493
WNT5A,-0.006128407511905996,-0.004019925101634026,-0.031021962875547374,0.03888468939295494,0.03693367025985847,-0.03807944879723486,-0.07819719762241857,-0.19200796345094334,-0.0010783885868573227,-0.0438386737428958,0.05818743799826975,0.06972206388927558,0.02286697828278158,-0.0037873248350716146,-0.009695363579178612,0.04314376272387218,0.056642552250735494,0.07542663718667862,-0.03412140722056661,-0.011566170784825114,0.07553627084672047
CXCL8,-0.0901299723639208,0.012259861595693361,-0.016680061421364353,0.0330753445713099,-0.00902539698641193,-0.01095588668339347,-0.03168791385833631,-0.08640780579953902,0.013043209367852549,-0.019082609875238035,-0.062121159029997756,0.023578490278989752,0.014676867589732577,-0.026592636047532984,-0.03515130180031703,-0.06733950325279817,-0.15752038008612565,-0.10514906801156969,0.08563673147771038,-0.037696278011704255,0.0278662862796291
GRN,-0.03242729340540458,0.030811902383310615,-0.040359607283140246,-0.011227898084390502,0.011991533608542921,-0.04606148763634555,-0.014727700832046066,-0.2200264332941682,0.01146673702646786,-0.010436150205259561,-0.10400370430062295,0.019433440579963365,0.036703031909818884,-0.04749640796971178,-0.003784689276257466,0.018550964128950586,-0.12659283653576267,-0.08050190203995215,-0.12756819621207013,-0.01902674855095466,-0.00921572564454881
MIA,0.01220362408447858,0.023039667225876123,0.022827400436786646,-0.0194129092279879,0.07617923565594374,-0.056905428175472346,0.018121747477202868,-0.09422016908942214,0.06729327987167942,-0.023304807394919944,,0.007458374435995015,-0.006818474353167671,-0.04053872766468761,-0.03772949287528292,0.040976930304874835,0.22914375644676716,0.0028605377955073286,,0.13410613890439493,0.07212625450881399
COL4A4,0.0348393001333504,0.006065593786027615,0.021528721933748367,-0.0317689717863199,-0.00200601132885704,-0.04166788008941154,0.0097735578460051,-0.03250270728030185,0.009834683259527596,-0.008325286722122712,,,0.045391460039709494,,-0.025241837238499123,0.05630463330072362,0.022900550876204618,0.02484795899413696,,-0.02060725846860041,0.0534234927852311
TAC1,0.11876057137736641,0.032115796603121395,0.002614215171642153,0.046144897661145615,0.04029631852476146,0.10402768390751874,0.12843333096854934,0.3133919358959085,-0.02003219411491775,-0.03603570544122517,0.17178580397398732,,0.13702466200669167,,,,,-0.02749208431067369,-0.05813195023304164,-0.0008468454844426514,-0.10482092608038371
