,UKF243,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.020688227236628456,,,,,-0.019296712078840973,,,0.03216139233531168,
BMP1,0.12071688499195006,0.035560022508261444,0.02851367967406246,-0.0020575473079956766,0.03877831245196167,-0.09759062462654378,-0.051277036088910655,-0.030001163581089053,-0.003676943682347613,-0.04191861399809996,0.04577631377410269,-0.04754496381348963,-0.026235700604052566,0.06846985731964199,0.07195187343670961
NDP,0.03257404143094949,-0.005024244742253194,-0.01319487984844309,0.049795813924379026,0.0033350499578649723,-0.020079304782004443,0.040296556098885515,-0.041390552155661266,-0.02217067370709808,0.03530155447167187,0.04831593263280019,-0.023559306290323743,0.06071589755687566,0.05930597211540391,-0.03082383875038832
TNFSF18,-0.03189822030967712,0.020721224031895257,,,-0.023967938738825675,-0.0184802259026944,-0.004183495391653002,-0.050146488031713676,,,0.08208742467755926,,-0.03755467895337883,-0.03007506303940145,-0.005241682939982763
RTN4,0.14481763730653793,0.018489919283055718,0.006223729429389687,0.04951545400769932,-0.03192831769156356,0.145460815009066,0.10309295506176287,0.06674825967669336,-0.004325028916863937,-0.04539945491968194,-0.04464733734272605,0.17474527993565328,-0.029115981177787364,-0.055938922696077274,0.029869380432285087
HEBP1,0.019646062408387947,0.006536002185843159,-0.0027308785431819356,-0.021223309220806348,0.008864676033141077,-0.01938058244371947,0.0004988299388188202,0.04977505625505676,0.011551038043287783,0.0031790703387426654,0.0587628944202722,-0.01841250304088052,0.000346691744571879,0.029553386486466493,-0.048530260053778015
WNT7B,0.20028120699443777,-0.014035258522743494,0.007877760941323423,0.02937820627509063,-0.00477660585374378,0.10824590960263825,-0.04828062459413816,,0.01882573465795879,-0.0031874493660548906,-0.028545930036288202,-0.042189624437087125,-0.05524854167763214,-0.017019707274961517,-0.04426795774377208
PTMA,-0.0754450418996089,0.0031534870746685894,0.10063657784038031,-0.03665099311642838,0.09528073490903807,0.007623804470943499,-0.022726827856263145,-0.08204004719369483,-0.04456624208886074,-0.0744060061175053,-0.0513839742145086,0.007900207353620299,-0.02321537825389828,0.008524520089536126,0.04960579273872759
FASLG,,,,,,,,,,,,,,0.04384641756064111,
CEACAM1,,0.018588622102265306,,-0.02040511902122627,,0.019000010125816605,-0.02956600722794187,-0.008208566774141762,0.020609835523283025,-0.00885076539101704,0.040083063395835346,-0.0031053659754708327,,0.014022753874051105,
PDAP1,-0.03298979053028578,0.0008972398681680992,0.05939936503373441,-0.027997551906284394,0.08876076925606703,-0.09913439805776882,-0.0030056654470367976,0.012073596592173018,-0.02358965114571109,0.03119055329684941,-0.01882875695624003,0.03191217860790707,0.05574190509359574,0.020844579904761223,0.022335877066692413
QDPR,0.055337283537742386,-0.028514514279224978,0.013018914542256583,0.11166944400045252,0.02588126968464563,0.03674364505806684,0.052564905662480205,0.06684574870775303,0.01745346996267519,0.07055744633414102,-0.022725812364497475,-0.07278756769083822,0.03091980025899833,0.027853410263414854,-0.020421755622719612
POMC,0.11838681474321272,-0.019138733700846292,,-0.0023279732474690462,0.024899242711024432,-0.008899006719200981,0.028390004641733073,0.01559773308553616,-0.0017625668142181587,0.0430914016719835,0.022676785513375698,-0.034894328707679764,,0.023601491004435413,0.03612000951338296
CCL18,-0.05247503399593101,,,,,,,,0.018773264674532063,-0.046545714041239604,,-0.05878281782276683,,,
CCL17,,,,,,,0.013565132491453974,,0.11701400255951404,-0.03624816525047635,-0.006132192907465483,,,-0.022248293955107468,
VEGFD,-0.022816811855265465,-0.015427606975206998,,0.09168875877153941,,0.01152408335611475,-0.02497945553808648,-0.027449081375875286,,0.07241100129287428,0.08916042218560057,,,,
TNFSF13,,,,,-0.023243900582590262,,,,0.01486158118193508,-0.0185781051322957,0.027246968098368907,-0.032805335331973565,,0.04583884623505533,-0.03715913511969734
WNT5A,-0.016257872046282765,0.0012254225386920067,0.036714282240231426,-0.03987176049646293,0.07994857213686511,-0.0451290116724692,0.0057912321487414474,-0.004968350808027729,-0.026044135990101094,-0.00320568284277467,0.07220786122170854,-0.02360216484475455,0.06600059641696907,0.014995535250945408,0.017556643700356953
CXCL8,-0.06127327525342194,-0.014445496748155786,0.0022897343129959537,-0.012858980973361741,0.059426017398887226,-0.016316060165492075,-0.04469401702501218,-0.06658727839112916,-0.07728540689287706,-0.11765086855085104,-0.021255107784623813,-0.08005717664674761,-0.08658031070353746,-0.07233480022640734,0.007538763652488394
GRN,0.0789956208382585,-0.07085640102159911,0.07127076705270637,0.024941609248842284,0.04924220430908211,-0.07694377781567735,-0.02052658959774869,0.12785083725676272,0.0003109430572938811,0.02172249999902296,0.011021001423476177,-0.10819713229533906,0.14720035326197986,0.046690135379861206,-0.009878627857689979
MIA,-0.014003444165417408,-0.013720234747633824,-0.01751171166871566,-0.010546364880708176,0.0576493446169654,-0.026266606886676567,-0.03294195110011845,0.05592072575121141,0.1611599515106091,0.06736908568799055,0.033405713871195154,-0.09478882195169817,,0.017765105452967025,0.06338801458205873
COL4A4,-0.03841715486365391,0.0321341522384771,-0.03966890882180019,-0.0017082447731339727,0.04506479562960659,-0.02038671235457306,-0.013431031836430615,-0.037535791422876275,0.1111053436823597,-0.0402053732034281,-0.03919072853724466,0.04136856997410586,,-0.010722258329009237,-0.04153096005250878
TAC1,0.11272696806204593,0.028176159848784334,0.013124998310737577,0.09822157369638043,-0.040898282419925734,0.16533082712855976,0.11651389087776741,,,,,0.029858962288820123,0.04156970933883041,-0.02924764470573859,0.036922728179372165
RARRES2,-0.07705249939228563,-0.021180422807275848,-0.02457375612348366,-0.05502057607621622,0.012381141463608995,-0.12495011779308443,0.060063912967728526,-0.023692185992559765,-0.09045771243187477,-0.0457642136590716,-0.03219379203765068,-0.0229591878878668,0.003905298827424091,0.010991725975582952,0.03620917637206101
FGF7,-0.019899210012193625,-0.01741290715842464,-0.006757217172667464,0.014201263477653917,-0.012357180054496335,-0.008267275708708211,0.05501765084191244,-0.0230226657625396,-0.004774217245803551,0.015447708523722486,0.08894829480074624,0.039909037819184305,0.05109077142560262,-0.0013337021924841558,0.06018198469255742
EFNA2,,,,,,,,,,-0.023865574620403864,,,,,
HBEGF,0.0777082491660373,-0.00917348539606958,-0.0006700624768366319,-0.0458852111397526,0.13376038820437816,-0.04446554374661773,-0.08989447529919548,-0.01243029593429555,0.04027308479816464,0.05882954548777949,-0.02500800660168225,-0.06115783080393555,-0.09836015800637932,-0.020992855341246792,0.060194919340656454
CSF3,-0.039073995349860904,,-0.03556387374966013,-0.03064871097387406,,-0.004183400337586323,,,-0.04586028342455409,-0.05215965420010594,,-0.0008872862146445976,-0.04965588024503928,0.048675032463197175,0.02612192606101239
PI3,0.06989790814552166,,-0.051071327990392004,-0.013031417732848593,,-0.02428669636106107,,,-0.1572814223045326,-0.08855035877322298,0.023839275633013652,-0.03781804854798045,,-0.024315048138728867,0.05673891122608349
PCSK1N,0.12312435543818963,0.04586247434079122,0.06607645682585074,0.005438662513370128,-0.04121214730537517,0.08370712859823545,-0.04120886609327286,-0.03346229552971862,0.02551813576166254,0.03862590536445863,-0.03813569298347731,0.1684674047240136,-0.00991604328244762,0.06572874327440802,-0.03968430418852589
NTS,,,,-0.0535591755276744,0.06704869009710393,-0.026510587394063673,-0.027963361603179013,,-0.022453002022574633,0.030614482996107605,,0.10863658704127217,,0.02887302106723735,
SFRP1,0.14003283246018158,0.09314183865292798,,0.07632017780789042,0.05581387100970195,-0.0241404514369458,0.03329323269809882,-0.0565486734517204,0.05531825613857899,0.018087847458446302,-0.08233873575870763,-0.020171298748923976,0.030473377864663743,-0.03388172530038679,0.08513313421695393
CXCL13,,0.025681425875006967,0.0584284553560874,-0.02207158764732032,,,,,0.0033869516517078054,-0.017169140442621057,,-0.011546543033942896,,,0.06707182662036487
MICA,-0.09153327388406533,0.0412743735873452,0.050562835437101536,0.03387329027808348,0.08232645711083166,-0.050278993904633515,0.08598862118268968,0.04496942296267102,5.3990279824656905e-05,-0.019981563879495658,0.030216126497323106,0.01138182564169881,0.08357768554437181,0.05169005209859469,-0.0035417466719143073
TG,-0.03118452581687667,-0.014646684551934897,,-0.016459790407537277,-0.03116287248853358,0.03570140889413139,-0.023620698273965433,0.07306959956175528,0.026486878293900874,-0.035809870809572326,,-0.04405179449220804,,-0.0263870034662246,-0.039049699690850426
ADA,-0.0017291293325825926,-0.030258100185283934,0.018925777778932323,-0.014257609315550193,0.013729567228743496,-0.0625630994373344,0.01739874948497273,0.13313449493936688,0.03933599295443824,-0.0264838429181457,0.0681127931705083,-0.03105781591227682,0.05909057242204269,0.03275860760586752,-0.01073509915894614
LAMC3,0.06901577075539504,-0.026045726302224223,0.04417237980196555,0.031386099533534204,0.02420452603392752,-0.06834712442622183,0.02086745276593969,0.010519511131775712,0.059679079013545126,0.0048868495403581605,0.026433513011823003,-0.016480536709089902,0.056366813120971734,0.020246253289245526,0.009407816072559312
CCL7,,,,0.021129585324620427,,,,,-0.03454679637678815,,,,,0.008753102805971885,0.021569351560469713
NGF,0.04821826245949165,,,0.015260316980606136,-0.02973773876697145,,,0.018693016924993117,0.025789940059864132,0.09781934533750236,,-0.06575494165645925,,0.05108893919151371,0.05535610948427291
TNFSF15,0.03356304332739605,,,0.06380748242127687,0.015838286916329145,,,-0.0539412595777114,-0.006936398027890031,,,0.024170872867848275,,0.037141387140817064,0.004593445115449095
HMGB1,0.17447756356889374,0.0031765452732193194,0.10592295749201118,0.01748664540253849,0.0621413798764241,-0.11234308251103062,0.028831683985586005,-0.0029156125972354036,-0.047288753558401585,-0.030369709990656135,-0.08671976142098158,-0.010036763017345414,0.012845091385757687,-0.024473318700490767,0.03317237352760906
ITGB3BP,-0.10248266815290501,0.036536377280882465,0.05938525521179213,-0.0043403104999309465,0.04938228023304992,-0.0320849233220241,0.05310096262045067,0.04160056595992164,0.04222080137041709,-0.015845883131769246,0.03529279710492725,0.01662370148734833,0.011790926930725998,-0.02322125227538061,0.07904841910346212
AANAT,0.051501093205299595,,,-0.019522465366187076,,0.020626518670753005,-0.021242231997567498,,-0.030307288316729006,0.0069075330715599355,0.06372345159115518,,,0.023752674656164426,-0.026674506771261177
RELN,0.03204742727972638,-0.0025152308148207567,0.0387900656908525,0.020485651862362394,0.006313763375382167,0.08413515032894722,-0.008730761548951516,0.010167329248918298,,,0.000628653291894808,0.00151946296466122,0.1813822242891208,,0.03711271264522755
IL15,-0.014438788163910189,-0.01865965203795402,,0.03496057552065418,-0.011419565288261506,-0.050748121237804526,0.08203662765822094,0.022829013824137424,-0.05552419393688627,0.0618101476889173,-0.0015305958995244485,-0.043454814011092864,-0.011419813304096468,0.00010328303872569032,0.0054328592644738985
UTS2,,,,,,-0.037113036317821875,,,0.16359954038756497,,,,,,
BSG,-0.17285579741605042,0.06564864882135121,0.01917192467863546,0.002703294696168968,0.03402421744393371,0.054899089185966414,-0.04855235729338804,-0.009207390671496387,0.07070033105607018,-0.02605039763323737,0.05285911707520257,-0.014995314955550332,0.0404390986482912,0.05273374247834823,-0.00115836376344499
ADAMTS3,0.06648076755396828,-0.012844411025320107,,-0.03404808981754387,-0.004433582905650433,-0.10928893346341009,-0.031634624051755406,,0.00504063245442875,0.06697794063955548,0.012749053424966995,0.01607012367116096,0.01421008453091253,0.050712378731713005,-0.014187776412258563
CD34,0.038986814361349764,0.0015591563949033315,-0.0021666861428586877,0.006582266812240377,0.07289168995986606,-0.08394244581475765,0.058227594725809836,0.05948335590621768,0.029404692521996404,0.04085906027610026,0.019519308268799582,-0.07358186804994582,0.10222500668630938,0.06311974372650651,0.04452326562815676
CCL23,,,,,,-0.02213737935020169,,,,,,,,,
PLAT,0.010260274724496872,0.008450863338798775,0.0866646762565363,0.013343475331169294,0.11137280609524929,-0.12494483210395554,-0.03728574936631797,-0.07200243552127147,0.12984624690592012,0.049080337019214035,0.0737893669847949,0.10404995739339361,-0.006053374037347537,0.08338478300210772,-0.01182935219613804
NTF3,,,,,,,,,0.1154755848548549,0.09709987632209335,,0.11759220036573938,,,
LTA,,-0.010771217857568497,,,,,-0.020458483200450295,,,,,,,0.024553537113544313,
CKLF,0.018113585185180848,-0.04697941002206609,0.07647710899118162,-0.008910153173600966,0.0818299666650717,-0.1179394912663895,0.022148800788945974,-0.061009405110963165,0.09416541804942728,0.0359280283422696,0.08766711998022118,0.04233953294640163,0.11598447683386318,0.08209657439320825,0.0059700890606714475
