,ZH1007nec,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,-0.031681449513924424,
BMP1,0.09352283225978889,0.0008165815076755806,0.02414657453944461,-0.05971769727334591
NDP,-0.03837117505011056,0.013159774324559987,0.06667178032378154,0.05526805080435041
TNFSF18,,,0.011651178231256174,
RTN4,-0.03982621076244597,-0.026407889050106888,-0.06392692551912667,-0.030683504987449137
HEBP1,0.008124229999287854,-0.012340763854175402,0.03541204855328052,-0.00478633735631564
WNT7B,-0.02058863161644266,0.01414169667887428,-0.008588595819677306,0.054074016315348784
PTMA,-0.12571063546328176,0.02749920208006054,-0.022980564235186345,0.011917831761466002
FASLG,,,-0.027477310355143968,
CEACAM1,0.06803388270062859,-0.025530838924525324,0.10845244473774997,
PDAP1,-0.10005197157532154,0.017501944587728135,0.04428321663936254,0.019239536497818916
QDPR,0.015837171137377756,0.031914608622830874,0.050646766697010105,0.0907972612746386
POMC,0.10857368504841547,0.05494732368124699,0.08375623706736521,0.004867996350326831
CCL18,-0.0375815652571031,0.020118878959874336,,
CCL17,,,0.04161882530704233,
VEGFD,0.00839164054710107,,,
TNFSF13,,-0.02866942097069012,-0.009342876962100444,
WNT5A,0.03193034217714466,0.055539712169943564,0.05262080053591701,-0.03391077900913668
CXCL8,0.07478056185501342,0.02555151442919265,0.007159873022080821,0.054886119531711394
GRN,0.09182495907347317,0.08824925558198168,0.001625235093095966,-0.04668326386451749
MIA,-0.04669869736346358,0.02957875683286945,0.04111993863008386,
COL4A4,,-0.014727434525451609,0.045852854316062765,
TAC1,,0.04936948097674755,-0.0327402806175351,0.09637526265922475
RARRES2,0.12127250489607329,0.059161807660160354,-0.011914541909525391,0.030324292877726176
FGF7,0.009622163829251311,-0.007941222784371859,0.028188457833069017,-0.0014643124038586247
HBEGF,-0.10677166833785275,0.036310515294675286,-0.005410779056283998,0.06865796995707021
CSF3,,0.018506368901164097,0.08264684781592228,
PI3,-0.004140942338388107,0.03449167949786516,0.01871182659887357,
PCSK1N,0.02051646228983785,0.006671686590610141,-0.01121718817396342,-0.0007336023814509993
NTS,,0.004922722658197688,-0.017284004398712596,
SFRP1,-0.0202922336468766,-0.0052883320334482465,-0.037927744449222284,0.017398059929318622
CXCL13,,0.11960991862162869,,
MICA,-0.0013112083810117602,0.02817239130054668,0.04840480163158457,-0.013361838777805167
TG,0.09718310239546606,0.03316325266619799,-0.0421419861264675,
ADA,0.06566570638862286,0.026839760324142304,-0.023297637231769534,-0.006934357510886802
LAMC3,0.025028858718356164,0.053093191404083126,0.003625889578942577,-0.004665127846934728
CCL7,,,-0.027477300584540384,
NGF,,0.04159649484638727,0.077986733732871,
TNFSF15,,0.04452766815982998,0.033253642229248564,
HMGB1,-0.049400793315945095,0.05798041868896071,0.02643623839257219,0.007889699284402786
ITGB3BP,-0.01638608216194045,0.017243108155517675,0.03053756088584467,0.01943859728102764
AANAT,-0.029921098306372393,,-0.029072129881729053,
RELN,,-0.027454385639848488,,0.07794299828621892
IL15,-0.039933220063121,-0.03400171827183408,0.03953137663505814,
UTS2,0.09342788663879797,,,
BSG,0.05177801071267896,0.009881815028910543,0.016205830697190338,0.011945683872063288
ADAMTS3,-0.04267921086892916,-0.0023454253186027956,0.01644921318773363,
CD34,0.08099982162644603,0.03622477559376408,-0.018777069818657354,0.0668916338592628
PLAT,-0.013218235030251161,0.026788960192958334,0.05374428693413003,-0.08228774184022604
NTF3,,-0.010442207720783608,,
LTA,,,0.03787888694911357,
CKLF,0.07125141458491388,-0.0021808920669837244,0.07235003511860551,0.06382195737453857
CD24,0.008486845064159065,0.018961634261820116,0.02877758583865159,0.06344049454683533
HSP90AA1,-0.12513014208485237,0.023606797321316642,-0.008419207212115577,-0.04736064418991078
BMP4,-0.03868152081324745,0.02791770991452849,0.03698966369159225,
SCGB3A1,0.04445429733006658,-0.030485285750872105,0.016999343203005956,
IGFBP4,0.06045984336256211,0.07654737035997163,-0.023773247585429886,0.022135744686026724
RSPO4,,-0.031788089532950654,0.014456800849168285,
LEFTY2,0.08635558613049187,-0.034271020572975444,0.038103994578826204,
PF4,,,0.0054879775019086394,
ANGPTL2,0.17935390941381144,-0.021809318330445176,-0.036353349583546066,-0.005103128863126754
LRIG2,-0.009819204794977087,-0.01746310581903102,0.019822158639986237,0.01223478705750364
ICOSLG,0.0015638567821170655,-0.021936528508844304,0.015578032684099127,0.043302448569792366
WIF1,,-0.02955010827582033,,0.11342567404587807
NPPC,-0.05289430500732425,0.03839667781623726,,-0.0644698619535751
LYZ,0.10007682489523284,0.00138490134736643,0.031726000094794204,-0.022770547440793442
EREG,,0.07342260173378132,-0.02876451804898411,
SPTAN1,0.008316756802745271,-0.021374041123583806,-0.031076331161066537,-0.028114588476865137
PTH2,,0.042517965514222655,,
LIPC,0.19846682170156596,,0.0703994887069867,
COL8A1,-0.10592204864013102,0.023398269699414918,0.014671545313455402,
GSTM2,0.016204492741608977,0.005347159987970459,0.01285043045741587,
IL4,-0.0060100999169075825,,,
SPX,,-0.005090325788412269,0.021902984417160452,0.010755587993606121
MFGE8,0.05530514495388565,-0.017052372328605882,-0.019749710606579672,0.10848594655917322
TGFA,-0.01722055083082962,0.04964445200649962,0.03650658738425877,0.04153055782213781
SLIT2,0.09192640511622956,-0.0023656501469817926,0.02176784202358774,0.07555352434890454
PLTP,0.046217434855728524,0.09459355123640828,-0.051491840601689556,0.0015152030662066512
APOD,0.015065796266227905,0.04426829480807232,0.004385349173303158,0.004680814989794138
B2M,0.15734100304080437,0.09544354955855004,-0.060518494586639285,-0.00954570011570633
OMG,-0.048646934687778275,-0.0750494355362134,0.016857922996643473,0.08834429242529937
CXCL3,-0.025816108648360724,0.022538080863858022,0.054256032508745215,
CXCL10,-0.05094523842870802,0.0271286039857623,0.044635170430026586,
RSPO3,,0.0486365623046976,-0.02788408716934956,-0.029516713978558897
CORT,,-0.03025337912911405,,0.12442128414327738
NCAN,-0.02766438748461903,-0.11139353432788451,0.03560200971504006,-0.007489322265551407
PRG4,,0.005332956633689921,-0.02173275153205667,
ZG16B,,,-0.022009847735489085,
TGM2,0.026970827080989242,0.05835195581433659,-0.061430390831161336,0.01789727683121898
VEGFC,0.2529156286452087,0.02319369286875263,0.04068120506030886,
WNT6,-0.046225315668849964,-0.00639430113550356,-0.0024719048473737333,
NRG4,,-0.041976996992137285,-0.027884090294490467,
PMCH,,0.04060637900498577,-0.00977682768475892,
COL9A1,0.020967188333517253,0.01407343049942009,0.0054193317268560115,0.0027498213184127623
GDF11,-0.025334847238914934,-0.02763022071427199,0.044984031021122015,-0.07000469133716644
RAET1E,,,0.08211035764063274,
