,UKF259,ZH1007inf,ZH1007nec
BMP1,0.02182446672705798,0.0563860284725438,0.04407486163240792
NDP,-0.02406917023853932,0.07790741196104838,-0.02157580358421479
TNFSF18,,0.03611145043111165,
RTN4,-0.004643805905234866,-0.017289133866382023,-0.07461752557807734
HEBP1,-0.017870636371908083,0.02905261981474735,-0.09934297139893278
WNT7B,-0.0019737803240653493,-0.026559135094074576,-0.047259247601741425
PTMA,-0.06647215277093604,-0.044084938757492816,0.00780850352837831
CEACAM1,-0.02130966818619107,,-0.021759026484854276
PDAP1,-0.027277720899199297,0.0282188876333302,0.10688194393457659
QDPR,0.027625881534996306,-0.01511212817463715,-0.017661207636947493
POMC,0.05392392045793644,0.049623159603890875,-0.046516281829429636
CCL18,,,-0.07465073651597423
CCL17,-0.013086379803969518,,
VEGFD,0.04072681395331705,,-0.027110641932980194
TNFSF13,0.04357076447180187,,
WNT5A,-0.013910603883476265,-0.014849217394163592,-0.07542857513190326
CXCL8,0.0389171898567054,,0.008441292220771874
GRN,-0.008326270592604771,0.047681213800118534,-0.07874591987099246
MIA,-0.03870309692806324,0.10631226773629217,0.011589738682473441
COL4A4,-0.02165118574177994,,
TAC1,0.02969790253168398,,
RARRES2,0.05885262167235274,0.09347650657405474,-0.03554367291952728
FGF7,0.012880382833671643,-0.048763444130161405,-0.014581611531089951
HBEGF,0.025749011506250346,0.07559329739642814,0.017462112390232164
CSF3,-0.005165809719855432,,
PI3,0.016452678652623884,,-0.06269157776044362
PCSK1N,0.010693156834574545,0.06793202805662499,-0.0575570886353892
SFRP1,0.026571538708325067,0.06049911388211709,-0.048748550272134615
MICA,-0.0009019655113904964,0.009401060355420559,-0.020541743289440497
TG,-0.010207731374907882,0.089570741958842,-0.0447783608998819
ADA,9.174426699889354e-05,0.06557059760110484,-0.015400450977129792
LAMC3,-0.021935914014517093,-0.04152138893045248,-0.04111960357360589
CCL7,0.09692363976336206,,
NGF,-0.02428263893838063,,
TNFSF15,0.06062655268728829,0.20523066012643926,
HMGB1,-0.04632874688581746,-0.0805849541365577,0.05171390462991665
ITGB3BP,0.045817608468526234,0.014648070907409548,0.10113965738905589
AANAT,-0.022027392316501113,,-0.019704012131527976
RELN,0.05278213585235326,,
IL15,0.07129127148084069,0.010896190629892336,0.1534949424555402
UTS2,,-0.052667679752879476,0.007443159990054052
BSG,0.018536032888682448,0.11801958266584908,-0.07959781474818717
ADAMTS3,0.00589609721533198,0.09788078124052206,0.07102637271815672
CD34,-0.006239537082957685,-0.04291705960012775,-0.029122586030002087
CCL23,,-0.026890787625963555,
PLAT,-0.026684875188053816,-0.003818740801602106,0.031295530407124884
LTA,0.04648989779101402,,
CKLF,-0.005875702611892556,0.01729319956980242,0.09098165444047827
CD24,-0.0393301189518999,0.06947097759729733,0.049652797264448455
HSP90AA1,-0.012713821844311775,-0.011007080415677026,-0.08598696046978842
BMP4,-0.014658217392004692,0.020138290029108465,0.0799711355271889
SCGB3A1,,-0.03318539223447086,-0.019443095062035978
IGFBP4,-0.06797368238503636,-0.08692543191839439,-0.045200221137755896
RSPO4,-0.028782052929062905,,
LEFTY2,-0.023683357046171194,-0.05151690839380123,-0.07554364483077888
PF4,-0.01896779262158503,,
ANGPTL2,0.06751571803451939,0.05037330752035592,0.01866920455088477
LRIG2,-0.04573282151191295,0.01754779257372667,0.05355664061626106
ICOSLG,-0.03304397418130004,0.012251290110902984,-0.11030439735870871
NPPC,-0.019398634581037733,-0.0237589337734229,-0.05021211297581585
LYZ,-0.026837943450081052,0.09718926894213308,-0.10392661376446853
SPTAN1,-0.04333547377457236,-0.0023308390399226736,-0.05334517364317907
LIPC,0.06808682338132112,0.20948435134946028,0.03116230988329466
COL8A1,-0.0331672244935367,-0.0007823028983104775,-0.030414631117751997
GSTM2,0.04616647711407806,0.0638311370424127,0.11057192208104884
IL4,,,-0.04239026493520468
SPX,-0.022988114279004473,-0.031497024329616596,
MFGE8,0.0018168176428943767,-0.02072760474073485,-0.11281703382983617
TGFA,-0.015399582787363014,0.039052874534023244,-0.0008584174534591296
SLIT2,-0.009888725115209171,0.027009396663243534,-0.0313997432711962
PLTP,0.07593875502151075,0.10306096101449756,-0.025722555405806116
APOD,0.044000359678480476,-0.05587856377134214,-0.014312390102882065
B2M,0.08190902179679695,0.06023083363718008,-0.057975526555859386
OMG,-0.02776757697770514,-0.06469204147574463,-0.011552243878117876
CXCL3,0.028937191133390206,0.0979316124701225,-0.036117989360058285
CXCL10,0.018045361000974695,-0.02381871932098467,0.045186744850335206
RSPO3,0.03204034190834977,,
CORT,0.012618167519730017,,
NCAN,-0.013483813388450384,-0.09505768601745493,0.025888576391644387
PRG4,-0.007521243020685141,,
ZG16B,0.044084138920782646,,
TGM2,0.0023225252238866126,0.011160800066803563,-0.08246976892721532
VEGFC,0.054821596837904635,-0.04052761921683337,-0.018641523458753632
WNT6,0.0529046366296602,,-0.09182038685072713
NRG4,0.028371713263646813,,
PMCH,-0.027993283974817845,,
COL9A1,0.013661843248576234,-0.03763707245182614,0.049262642184828995
GDF11,-0.037271531329381616,0.03143445073963065,-0.07738390570057291
SORBS1,-0.008142948702284537,0.009963759354869569,0.05007276600345588
DLL1,0.042631288055478105,0.01628843401132787,0.09332447092819075
TLN1,-0.0251873132409575,-0.008626478896319487,-0.07029491512311696
SHH,0.003176027224290927,0.07296932783793494,-0.024888982987020424
PON2,-0.01854911365799673,0.027864584774931245,0.031063600511994534
ICAM5,0.042785618138208144,,
HPX,0.022267132283833934,-0.02448595105248345,-0.08128597002423468
SFRP2,-0.02572929007982607,0.019593984823215473,-0.07240971411592559
CD70,-0.017512306288691302,,
HP,0.005730807144124922,0.04036773610679336,0.034237950887912635
CXCL2,-0.011146828196422634,0.08231610559397363,0.0905089312530699
NPPB,-0.0013021941584223696,,
CCK,0.014813175566596507,-0.025193937539286376,
SEMA6A,0.009933182539806445,0.05274849948128946,-0.00181347222424876
IRAK4,-0.01277648513298376,0.026348955723418135,0.056743579969621524
GSTP1,0.01136734828162919,0.03576020002562104,-0.05520731423890968
VCAM1,0.04303620767197492,0.021436730574738667,-0.04783425683820961
NXPH3,-0.00859255135578538,0.005257143146677459,-0.07254584862167494
MTMR4,0.038415632615393006,0.063638796545905,0.04022309954126237
LAMC2,-0.03131779127485355,,
IL10,0.007618280434341037,-0.04612371402818508,-0.0855805166836791
SEMA4D,-0.03032116873952529,-0.011920526214845423,-0.0023118104745141316
TRH,-0.008760140905412049,0.02372269617694641,0.13567734705977075
SEMA6D,0.045013755520115745,0.08433828681341997,-0.015573218549667471
CEL,,,0.011009050721688387
PDCD1LG2,0.05410443673538252,0.002840024040148195,-0.039030101340209344
SPINT1,0.027834895093899543,0.009653394536535563,-0.06247220346179075
CTHRC1,0.008209923497449048,-0.005603905157135268,0.01955465747492151
PODXL,-0.012628331468933279,0.029421141822217355,-0.05171970608666794
JAM3,-0.009533279765145012,-0.03600000062999248,-0.05297645871014086
TGFB2,0.03438150683655346,0.11780327432972382,-0.020839018278695828
COL18A1,0.04721842542317381,0.002566918093891104,-0.05575232932395802
NODAL,0.00988380301205763,0.018998613479245384,-0.05689612974697335
INHBB,0.030110693463555147,-0.05898445442330464,0.020899537803110164
LCN1,,0.10537402847610128,
ARF4,0.006184487117011881,-0.0075686994421845,0.02664739647423922
CXCL14,0.09133057508176824,0.010342354265846815,0.01007398513319882
