,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.02094097469347257,,,,,,,,,,-0.016550065022699425,,0.03582434769180294,
BMP1,-0.03877914913955339,0.04390614841419936,0.025197369230113575,0.029381165426066485,-0.0028717259530177575,0.027716989153171983,0.06688393473555256,0.003051861359753218,0.09553582241291236,-0.04626153166410702,-0.0005248143972970932,-0.019781209823626886,-0.0023204692616544858,0.028171651118768782,0.0072418878435275965,0.1671508622720495,0.022645271832377495,0.025335617591391503,0.12782686628629225,-0.019342104290218654,0.020716963559883256,0.029249740480793932
NDP,-0.023809277661652646,0.04792913277789278,0.024193687187208695,-0.008043223442639805,-0.04308777788334496,0.046277633193391,0.025347130475432824,-0.0074245643451549635,0.047846090698306455,-0.036516413217510486,0.08715768128890541,0.07996977899555344,0.03784735537877787,0.043841780182968186,-0.020771284185306615,0.054274747905112795,0.01990989169391432,-0.0032072039511152096,0.0793837013305112,0.03393685472772248,0.12141799814571239,0.10742897961219455
TNFSF18,-0.025604030271815497,-0.015577777023557266,0.001220520100969565,-0.033803388799591313,,,,-0.016689358617999608,0.067796701059878,0.006977498380663961,,,,,-0.027050315379655333,,,,0.028272524597845076,,0.05127722756786659,0.025990830797996887
IL36G,,,,,,,,,,,,,,0.030809546069350102,,,,,,,,
RTN4,-0.03211165890847482,0.0022260062893812347,0.004978054942041628,0.028392434545640926,0.048566469477166675,-0.017338474444752543,-0.003820889612780271,-0.04190111748467708,-0.11058849417187211,-0.049196389690217474,-0.018050847946811954,0.022580721481364738,0.0037089410088083762,-0.030029603614920908,0.050850270869348416,-0.07488740427500248,0.062585681608359,0.003523238202703522,-0.06640995679470392,0.042569553035697524,-0.0356516339018244,-0.04878200824706378
HEBP1,-0.00575490199119189,-0.01029442896361046,-0.06414195424733007,-0.005007125128753267,0.02526756969098626,-0.025859953463414465,0.011952029060660733,-0.023475215905705518,0.08127674855774016,0.05568870204971786,0.03749772561984661,0.06354338482103149,-0.0056403156197719385,0.03852503608553977,-0.02933846209670707,0.07107721562169711,0.024551635603405248,0.02384208766407776,0.0865757511053516,0.024149235738153047,0.1680229414917622,0.015826943738624182
WNT7B,-0.022556348728941036,-0.03247787921367299,0.03191148464504957,-0.020997617259288046,-0.03255375775316413,0.011789895985893608,0.000398588685665814,0.02887579334880931,-0.08667404749928752,-0.006309457575739838,-0.013288785122810455,,-0.06383999863462199,-0.016173009320438084,0.020649044833971165,-0.053612290926066695,-0.037720538160343986,0.08335088353748349,0.007211975457876183,-0.02101072202954701,0.015830480611244552,0.02857280419924032
PTMA,0.011133681493112285,-0.0490914029880109,0.09196570798962775,0.010022906839420606,0.0262121227955825,-0.019593072527479344,0.042928446610123745,-0.04629286669815724,-0.03727749955719053,-0.03278397005168176,0.07121532980394779,0.026673029731200663,0.07327386977721917,0.04593659166951757,0.029657473537571546,0.04109855085939395,0.05789594721533334,-0.0380146379908704,-0.12008944557247765,-0.0025538507540789086,-0.11279929170386767,0.014763965102910403
FASLG,-0.022556355105563034,,,,,,,,,,,,,,,,,,,,0.02092110630875842,
