,UKF251,UKF259,UKF269,ZH8811Bbulk,ZH916T1
IGFL3,,,0.05008763858506379,,-0.017325841373635006
BMP1,0.04075353035802212,0.060368011446892175,0.058164580087710915,0.05532884567802172,0.05517424816712275
NDP,-0.02366130961920341,0.015957769436555864,0.016786077275494964,0.06755676571383945,0.030982964247054413
TNFSF18,0.037146158857675235,,-0.018478102592639947,,0.027890970979121084
RTN4,0.013789838722568172,0.0221486930245466,-0.08845059759733594,-0.051017049687528945,0.03286307215428804
HEBP1,-0.008855028996257612,0.04861710375330221,-0.0004358181621436827,0.021154952015562216,0.03023230149921271
WNT7B,-0.018628560723132515,-0.003567605506619053,-0.014292637148123925,-0.04037721048059978,-0.026019175329536796
PTMA,-0.047194047029501696,-0.00643214374417523,-0.04364574749733267,-0.051112957164397364,-0.002743706995816348
FASLG,,,,,0.040528079044005294
CEACAM1,-0.014296299922522964,-0.014066451189808345,-0.02431613057788383,0.0013468218127693477,-0.02090744089896176
PDAP1,-0.03603190990778878,-0.02968337158974006,0.05194450096838871,-0.0614455750053053,0.0643173434311691
QDPR,0.034286861270520934,0.011370834965042938,-0.09004655311503475,0.08485299595843214,0.0020849770894351386
POMC,-0.025402244093497957,-0.007462014982946128,0.0323299025895841,0.017037911245903387,0.014615030996413073
CCL18,,,,0.07753684306250179,
CCL17,,-0.012758442813847672,,0.02935796782471685,-0.01362001241452984
VEGFD,-0.020476581381422887,-0.027575675705531915,0.05148954265208563,-0.01956087866646515,
TNFSF13,,-0.017072889214942693,,0.009417648256022391,0.09245513656545647
WNT5A,-0.06306472444096463,0.04285967913364316,0.06573567746730125,-0.031990883260395724,0.05054187241455903
CXCL8,0.01461654550587643,-0.06062827212158532,-0.031997463389189476,-0.08276014469760883,-0.008703230412490734
GRN,0.04139984033196137,0.013489109955163111,0.060493054990844716,0.001360870411058798,0.036943721461587344
MIA,-0.01821043949548634,0.030701082826108343,0.022466406731464862,0.06052487320617448,0.042464776687983395
COL4A4,-0.019104016552091426,-0.024760911979609238,-0.012262065105774727,-0.031320025262729936,0.012247930916761855
TAC1,-0.008918616375453872,-0.04238977893162734,-0.04515496321445402,,-0.017904891260054078
RARRES2,-0.048217276433225056,-0.011578522973180416,0.08130762881347679,0.0031043559098348243,-0.015548347965151395
FGF7,0.06447873026457314,0.06200364778200378,0.042674175740961356,-0.019246959241171684,-0.03258772663537755
EFNA2,,,,-0.01859130609828247,
HBEGF,0.03078269014157197,-0.061628616456990415,0.013681992348585371,0.023397676633956213,0.02031215649221938
CSF3,,-0.029501385282174112,-0.012973028866464112,-0.06076358795839269,0.04283570708582835
PI3,,-0.050910484251646716,-0.014607801729086085,-0.08200018908019654,-0.03115556049818515
PCSK1N,-0.0276466439857724,0.029410369627572916,-0.03269141831479162,-0.009377996613845812,0.001537698650585737
NTS,,,-0.01594541302023228,-0.02264997853085855,-0.002011640023773534
SFRP1,-0.004456329277145869,0.005512005379027518,0.05677771091433389,-0.025888027009894354,0.11996269279194902
CXCL13,0.0025420749635500905,,,-0.004647864536053359,
MICA,0.010667514531622055,-0.038545185270161084,0.055830534538257974,0.10458952973081803,0.05271309412246199
TG,-0.019440087414574564,0.02847775704785711,-0.015657285171195082,-0.01364259867063407,-0.02796529048052242
ADA,-0.04016063229293539,0.0020030092270157916,0.017018420139531434,0.11606728631579753,0.04818978054150042
