,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.026481279824139742,,,,,,,,-0.026354910413429574,,,
BMP1,0.020201736867625854,0.020456372875606595,-0.021194085736109224,-0.03811726592255049,0.08039005653383165,-0.15807668383307777,-0.007028855733058499,0.009442317866758821,-0.022849100377876037,0.11045333921002827,-0.064506072071421,-0.059328582336124425,-0.07168973272683252,0.014707702205757895,-0.04633645197495082,-0.006209691708172302,-0.04301586547225517
NDP,0.02406571039408849,-0.039149929909784505,-0.05505462405595984,0.07184751950320234,0.0526839969585185,0.007297216810984421,-0.009878728019250977,0.006050334775919576,-0.019163072958467628,0.03738355643766897,0.046268195314798775,0.05046075487536321,0.10102139660008667,0.045017558340729666,-0.009564486090030687,0.046246962448087466,-0.005352368754979886
TNFSF18,0.03446334148766774,-0.008802992649691196,,,0.0019147196617705054,-0.039323905549042075,-0.02143899105072528,,,,,,,-0.008264737832865621,,-0.04232636266000267,
IL36G,,,,,,,,,,,-0.01745643379663353,,,,,,
RTN4,-0.0046431545391387155,0.01456778584736357,-0.002982694302761722,0.09752481062591792,0.020009860117167443,0.2114740178509037,0.08307504299863798,0.0020034807446614373,0.22391532776467313,-0.015628909234347434,0.06528689609354282,0.025430620440913446,-0.021459331708976303,-0.0009274832880458672,0.10902113040016746,0.16395826573529812,-0.04431673469671396
HEBP1,0.011199654401456897,-0.010837472225734874,0.005741397656971297,0.01408468327262785,0.017786059364929677,-0.054982296507597846,-0.05867743867003407,0.02334653933576342,-0.010661119856797645,-0.004279870009392234,-0.0018812378527766156,0.06236282325301489,0.04778825523478057,-0.005037519016172544,-0.013628851537620097,0.0470192722057581,0.045453620464337985
WNT7B,-0.03140469482410336,0.02686946449167621,-0.014023217498150761,-0.029619777663282363,0.06710265809727416,0.09522392940647524,-0.03333597626912171,-0.0014087254632462398,,0.03378202577215889,0.06963999568258818,0.006578653568523866,0.1201494467806622,-0.03957523523786428,0.051048620815527655,0.14130411247610178,0.03515078724218823
PTMA,-0.03372776810526292,-0.008487678003191368,-0.07818534667746274,-0.045731577223540064,0.019059125675604506,0.07629852328923932,0.06079463211105032,0.023511608720233515,-0.2512343948857914,0.13482766355770429,-0.054704692813878054,-0.04920429777623395,0.00966010755243067,-0.01904224677062381,0.018944454377472778,0.016834140240310005,-0.016002500205262365
CEACAM1,0.04877932305959141,-0.0020569810369028578,-0.036794105200706244,0.06862300387352298,,-0.05174801998034938,-0.03371842542539464,,,,,0.059051172289505585,0.009322672412767385,0.0019374753055597786,-0.004554740982690737,,
