,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0390551200037045,,,,,,,,,,-0.024267621854533728,,,-0.00038467632362075506,,
BMP1,0.06149506785417014,0.09317295643106634,0.12174231050310493,0.011985277953234522,0.1536017823453402,0.012706164360685997,0.02653382685459626,-0.13249899130934537,-0.23210277154533687,-0.1071092666747418,0.008512148853570004,-0.13650410155566003,-0.024445968084472802,-0.2193471775943801,0.003109988833468489,-0.07432886199511494,0.021104167345151963,0.010197256420818913,0.09338342827038713,0.1159935445901989,-0.027683136138873275,0.04704311688714222,0.028732174007058766,0.11768137237958802
NDP,0.0647929769061356,0.17082192031510124,0.042096790493466346,-0.004463102673523305,0.10462137855681145,-0.026288719455829956,0.037773799332953426,0.05767755337784702,-0.011564982240855861,0.05599489846315615,0.01283654409889278,-0.03754139042220347,-0.08095408195664773,-0.030367661046668378,0.0736081595736166,0.014328760591862487,0.09779758300097469,0.14140097925018938,0.039233964537287454,-0.013373212354957188,0.030070352763097486,0.08634875575049263,0.07202190101366554,-0.029134111085070292
TNFSF18,0.017670275674933504,0.05301679912823897,0.010909215870984023,0.027834719743090347,,,,-0.009036051566553252,-0.05799568073866952,-0.04549091744746801,,,,,-0.034795618831029586,,,,0.01076444791978615,,-0.043186461504591864,0.003243233184666585,0.03628177875517373,
IL36G,,,,,,,,,,,,,,-0.0186599880610604,,,,,,,,,,
RTN4,-0.022688140505216014,-0.061900254443595086,0.09526786452069885,0.07941878085036616,0.07169165117699693,-0.015770783158706506,0.07945330897956089,0.2623766927729306,0.3121534715012288,0.19212345211420498,-0.01654930434123362,0.4062518829841081,0.09178119510413459,0.35596876512211023,0.08490719133377778,0.05522030785399736,0.10788757743989162,-0.006166839938706335,0.08536938820479888,0.0684561422367162,-0.03849410070323731,0.09973417602000441,0.0532989516553844,-0.07560972362400184
HEBP1,0.0210075319753517,0.03275018975936787,0.02661063381142225,0.02577362684900071,-0.02383478663369064,-0.008077243105044839,-0.02777250412536595,-0.04940740434792443,-0.08966136670865335,-0.019719223847383255,0.012790777003369672,-0.10061240014861611,0.0421198297341104,-0.015539387426900678,0.08513580510377151,-0.08234060987409614,0.08647505353546926,0.09064856948909436,-0.017630210194078698,-0.012198467870358871,-0.05926021104037907,0.08298430338538446,0.08495640556860928,-0.09515274688792283
WNT7B,0.04756070547745729,0.015348714422556316,8.178405546444962e-05,-0.017904453418646746,0.06404678486702414,-0.005456838704038806,0.039017286729998484,0.0033962578724007508,0.27042266642499385,-0.010310480501978454,-0.05001477922950705,,0.006984213222941541,0.13211514763382215,-0.03830658009232611,0.09022791558638114,-0.012361061973745056,0.03825017883132852,0.05837704016001255,0.04055086947670661,-0.02340816403630355,-0.03349851327516579,0.049787905122618645,-0.020781316656825515
PTMA,-0.07083316025440702,-0.2141366716261503,0.006135839726452653,-0.09206597819854778,0.13304996926367924,-0.015193419946446839,-0.0449271532640772,-0.26844279732539417,0.08130448427070794,0.10141247142781261,-0.042731368660098135,-0.4603720605836589,-0.080528287331224,-0.3710601251151993,0.11031993807256724,-0.033901763211816024,-0.058795071052672614,-0.015674850564235572,-0.033051592810240324,0.049579880251893506,-0.13601168201953676,-0.06439736033909571,-0.08324901083659644,-0.2857200116730646
FASLG,0.0539569239783311,,,,,,,,,,,,,,,,,,,,,0.021852698151261948,,
