,MGH258,UKF243,UKF251,UKF259,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,0.04948157413630437,,,,,
BMP1,-0.013081976299638956,0.052503629125196266,-0.056458749802837105,-0.007220219981669584,0.07022243230236574,0.0646767749089174,0.010509857919947256,0.02230574649821606,-0.030722217764678705,0.005620382297755605,-0.04300564817473148
NDP,-0.0027051875663796753,0.06623739888764062,-0.0632783271275362,-0.02181970360520361,0.012478569955744319,0.03230038544648851,-0.03676413727978878,0.017115503534650373,0.005322047378164735,0.01846806746713033,-0.008115428993362695
TNFSF18,-0.018998240576325594,0.030860151700931537,0.0011403595417675482,,-0.014292936312621057,-0.03327068258268377,-0.010647509681371023,,,,
IL36G,,,,,,,,-0.018081046193115947,,,
RTN4,-0.012614610890640603,-0.12473015654813163,-0.019640917287543042,-0.01682305085280845,-0.04979349288274486,-0.13548958820346785,-0.0036351469887658853,0.004978613673873659,-0.07233325346115121,-0.06857815892488317,0.05045795091860364
HEBP1,-0.03678577786318489,0.03280618883031996,-0.021802613464459837,0.008346073056508713,0.01436156577066298,-0.0069934991728959825,0.05304998235085612,0.008729087572343428,-0.02708976452203026,0.043773780713125834,0.012489365071430095
WNT7B,-0.016736854906301127,-0.05090970156525534,-0.015709235620890678,0.0483288818113582,0.03452821254249584,-0.051837489226502914,-0.030520095349847606,0.014213809249114183,0.10192629882084625,-0.01223440466362684,0.10495470744170751
PTMA,-0.013629261358374268,-0.05304521838229392,0.026577906199804577,-0.00536845907449815,0.07514187497277632,-0.05850462877846314,0.019315284950877913,0.03279907555595049,0.027328013790799695,-0.010573639085599454,-0.026078686138738195
FASLG,0.011321993284371884,,,,,,,,,,
CEACAM1,-0.023239276082800055,,-0.012055893492133896,0.020235035193817093,,0.02788926149065935,-0.016745996129576765,,-0.014472453595395977,-0.023491950763202804,-0.013517655880337041
PDAP1,0.04116487105014679,0.035394968120067136,-0.0071587174669776495,0.0017617179753437432,0.0061760684087405,0.06996158849399779,0.03532850413466064,0.004474364783659132,-0.04704967134516317,-0.013065684334571216,0.02325967912597182
QDPR,0.016262030552625043,-0.022170916348340678,-0.053367647399707493,-0.01538743505152999,0.011461133761814762,-0.09871397745045576,0.027926617448657775,0.009514774108625688,-0.03781156239778394,0.05034982602614213,0.05129133580762393
POMC,0.10448899816115148,0.07619019719325991,0.009132953823321566,-0.03268982737815365,0.08612094402656867,-0.0016419905744932879,-0.012354528249030876,-0.03873883526381639,0.01888080637425777,0.07673760505797478,-0.02211310926482989
CCL18,,-0.02925182975218242,,,,,,,0.05264291459450782,0.01290333731515184,0.0009146449503443478
CCL17,,,,-0.0057567705545147054,,,-0.013279517579130084,-0.016517549018138795,-0.02070895156024,0.0891615503014042,
VEGFD,,-0.03295826226684987,-0.017267648661212515,0.027365939968319403,,-0.016116491038457807,0.1196688410438976,0.019766179219176817,,0.06172990407225205,
TNFSF13,,,,-0.01403451732690986,-0.013861166548531307,,,,0.07446907515874544,-0.02566065263325201,-0.01517942156605074
WNT5A,0.032060124748178376,-0.03088198117954455,0.03785952544246699,-0.005980704286521772,0.02346374052784864,0.05840008918469859,-0.02944250914475491,0.005357229499543202,-0.055089913201168024,-0.01255643210532957,0.0014162358652468681
CXCL8,,-0.08683909296639673,-0.01616840272018242,0.029869953478176198,-0.019716610391727903,0.025746040671362262,0.006433981509173282,-0.024543706951168157,-0.06955670661608145,-0.07743901538107352,-0.03376819071742419
GRN,0.000814350933080607,-0.0256076065812264,0.013042796682884843,-0.05168087761358954,0.01952966877814513,0.04651588983341569,-0.015407057392487442,0.020032711054360695,-0.07227676552379554,-0.016333498895195343,-0.028629757904112887
MIA,-0.021907105675652704,0.0234229320643643,-0.015356639143856711,-0.009239359578606462,0.01833936241991894,0.04149159593207647,-0.015010429503396774,-0.0105024359791147,0.15649072718174256,0.13768867003205468,-0.019339020731323705
COL4A4,0.07587476213841066,0.18150387307291652,0.02304638123402756,-0.008442559801932982,-0.013188287578825177,-0.02207841816534409,-0.013864227203243833,-0.009313884340364563,0.05297051674159518,-0.02619995029539621,0.029963193161115568
TAC1,-0.016736850531930463,-0.04155316259845994,-0.028035177559390136,0.029146510594254636,-0.04912087666394358,-0.06344675441816153,0.008825437176088139,-0.024345704854239897,,,-0.023321807337079642
RARRES2,-0.05933784729656482,-0.018852747140822277,-0.009655249819010916,-0.013600404051956614,0.041365081344961405,0.09748422475189664,0.04225533625532373,-0.0052781724834505255,-0.061596296390739415,0.020977163813423808,-0.014710189788622827
FGF7,0.04835476574385277,-0.005133178353130029,-0.019489734439385065,0.027570202172652335,0.050412725708473785,0.03880816913032617,-0.03160527851273665,0.03526087216985479,0.04562264539583555,-0.0033028937570303532,0.01065396633140528
EFNA2,,,,,,,,,,-0.02232752704679029,
HBEGF,-0.0334369542418792,0.024967416815414836,0.03317833575248988,-0.027951894779547543,0.04995230178014593,0.039957501687679586,0.07134142234324804,-0.023432903049077074,-0.015099263306587885,-0.0025021998606792046,0.011766972497912774
CSF3,,-0.033178216611965,,0.06053686304519699,,-0.02335854146215431,,,-0.062016995445084204,-0.056824986304473475,-0.01937940619822232
PI3,,-0.039304545145158555,,-0.020151880770963127,,0.0028678753791445627,,,-0.11090290061452976,-0.05741946587373019,-0.001513404428756508
PCSK1N,0.024876664795149474,-0.020998215385223198,-0.029677030456486998,-0.05679538812516013,-0.00313659305095036,-0.01837344346484968,0.046945544395692845,0.0001749659493772569,-0.10004000273739415,-0.01807464407946415,0.049964573531825776
NTS,,,,,-0.016099902646956994,0.07696833102132679,-0.015838267966539643,,-0.04831182826762987,-0.02720185475853596,-0.007946750818497612
SFRP1,0.052864144128619,0.06566755226378067,-0.03594578015863728,-0.017753053315859534,0.06303003813918565,-0.04128060970761189,0.009321468761928828,0.012926873038506979,0.0078060396240334255,0.023455223193001074,-0.0339906498440664
CXCL13,,,-0.007212062623851245,,,,,,0.07822174177190006,0.023349519194381562,-0.03161184428368165
MICA,0.05578690402384479,-0.022948902208868385,-0.0341342896241733,0.025396070358581088,-0.010162158174359419,0.08836481334092454,0.027170199613386143,-0.052662105225227934,0.06898410625084493,0.02793631121762727,0.08029387229483427
TG,-0.01938331846791179,-0.026448334274007845,0.022877335289290306,0.010325993252013634,-0.018583531802650315,0.05383286489612183,-0.013378611417638507,-0.011241408260845671,0.0032555515522932595,0.041950349923645956,-0.015949549096348537
ADA,0.04562000319909176,-0.024193436103110873,-0.03386696614678583,-0.005573296153886049,0.057012792533666916,0.040409382391477934,-0.01868893956257526,0.045956846333598624,-0.029515827437947156,-0.01039503056249175,0.02025277157398997
LAMC3,0.022305941778028613,-0.04989195100670987,-0.017882708260906554,-0.006801463612829866,0.015135569137806379,0.06330652987869134,0.019189737332333257,-0.006456068693648552,0.09327630210838272,0.10078204219079383,0.010172144831775257
CCL7,,,,-0.013851461659746801,,,,,-0.031037944962587032,,
NGF,,-0.01911491373067684,,0.11099434645165017,-0.017733673759319293,,,,0.0996274382139026,0.05199396973153445,-0.03327020548266191
TNFSF15,,-0.023647533891192316,,-0.015424280024439612,-0.004697627566231424,,,,-0.01609100888589983,,-0.012034278545742414
HMGB1,0.03501730330615149,0.042855534133625514,-0.016920773746036576,-0.042780568405960014,0.01653143718123048,0.09234898033240208,-0.03219926853668638,0.07169591949595072,-0.029683163061019507,0.002310821411519529,0.04038908446561385
ITGB3BP,-0.04035795916664243,0.03915926229642094,0.0807903061554296,0.013060503754434037,0.04465072222104582,0.08774946757643738,-0.02786998166978489,0.014876762839218995,0.0005565119112361285,0.01192119337558487,0.025781776993519207
AANAT,,-0.0342604604190531,,0.007013374168831988,,-0.021070036525856754,-0.012031463432730795,0.009533264656977344,-0.02722903555167067,-0.0028575086793422577,
RELN,-0.016069284903390536,-0.032958245160147705,-0.03847036735304399,-0.0009837075856251492,0.014575077764737532,-0.023856853112978933,-0.0038152884999700567,-0.02452939270478967,,,-0.014536104300475455
IL15,0.0439053034608978,0.088452768051063,-0.020885177853550093,-0.027657717669272202,-0.015321702051435463,0.11541337082691683,0.053250087102514325,-0.02054932639430811,-0.00677089942352055,0.043135624368506036,0.051229505721464515
UTS2,,,,,,0.05899993668796269,,,-0.02318751659969135,,
BSG,0.04432632555402292,0.09857171675369839,0.013690054338976625,-0.005713210421188017,0.07437720628669124,0.030537256430380275,0.01079584897233152,0.013206242609547484,-0.001650192023090126,0.040830601362309586,-0.016732990769873776
ADAMTS3,-0.026091959504403447,-0.03150470243361701,-0.02880471929680577,0.012706634264333782,-0.024678829629382188,0.10329872123727127,0.06725860573257914,-0.01285196435808099,0.06446190426975332,0.004655125170333907,-0.02057163227480435
CD34,-0.027458386710108237,-0.004849729350762027,-0.015559796901044214,-0.05533962152860846,0.07005324892163248,0.021003354599951774,-0.008851322337081457,-0.004349311726051737,0.08586505888182054,0.07627029398535895,-0.03587373243058144
CCL23,,,,,,-0.007669464235699604,,,,,
PLAT,0.06333922938268124,-0.022972305992023753,0.019783191465753913,-0.004489509493016489,0.008230225746504142,0.1078667027193371,0.016580891833274724,0.027805730768737682,0.02708023819737926,0.012334131012926183,-0.0059551879693119135
NTF3,,,,,,,,,0.13577733288130867,0.03619133220176859,0.005359591702031803
LTA,,,-0.012055894729284509,0.09361436773892726,,,-0.011587553160305459,0.09204307455384225,,,
CKLF,-0.006682128375403154,0.004517672355739163,0.050616596763388366,0.006453909591702955,0.014179381549234022,0.06416108192113595,0.011097567469618107,0.028038699121502853,0.01509858749425274,0.08101219560330122,0.014621920695295696
CD24,-0.019449046739472762,-0.06123102702040887,0.07172345124897642,0.031309644341118714,0.09025573414964953,-0.011013864206144681,0.03507115250916989,0.0014488655390861385,-0.03513226410746831,0.053592510988631076,0.03376523140750507
HSP90AA1,-0.049477583365554516,-0.04553009080116408,-0.012072155999757727,-0.06787003433772705,-0.02199934318210738,-0.07301306956084179,0.07761297429473808,0.03807312505947958,-0.14624727324034847,-0.11882852233644903,0.010828627811373063
BMP4,0.028857454334283023,0.08639107934949207,0.16281798627513522,0.02551956014972985,0.09185452991450707,-0.03267206953150089,-0.023892460294557123,0.001934472790479609,0.06219206763226413,-0.04496743566771628,0.005845126740525802
SCGB3A1,,,,,-0.019558423653084762,,,-0.014339049974490899,0.060863802489672186,0.05481365666425027,-0.02499139919480453
IGFBP4,-0.029881814176072476,-0.04266713093509814,0.006349426091560074,-0.06575904358901194,0.04460978888766035,0.1075592291895034,0.05186530286269936,0.026981753169472156,-0.004475804821217137,0.0084045601257335,0.022727764354828584
RSPO4,,-0.023350826855136057,-0.01948973073926022,-0.02717415717075485,,,-0.013477029757715937,0.01786484738367378,,,-0.016830643782214057
LEFTY2,0.029706137730152706,-0.03911278603121237,-0.012203959459282687,-0.03175635300986701,0.015789647964901118,0.026042106309148456,0.005026526936114374,0.042558257124077896,-0.010041492145718766,0.05482353390553378,-0.022888563613046486
PF4,,,-0.010966474823756822,-0.012085127408062573,,,,,,-0.020464724345092895,
ANGPTL2,0.006681053650029042,-0.020014583403443767,0.028811023514342067,-0.03622134472401543,0.059161715325250996,0.02782020068284399,-0.005482663450918023,0.026737410135695874,0.08341344406970215,0.03713729706981058,-0.07193406807484708
LRIG2,-0.03356384586035865,0.024790410454256936,-0.05612420027886185,0.031327271828959176,0.024514102102582074,0.07526681964257566,-0.010909862126446459,0.033974839010363266,0.0019353473917571734,0.058395463032380426,0.0399431141735945
ICOSLG,-0.033601198997013706,-0.004066193838210925,-0.04112535585369513,0.002975655866989232,0.053806621159361405,0.05837995366483721,0.003536640885877976,0.0444950188315175,0.028402075726332878,0.04403005396435756,-0.021912381076040655
WIF1,,0.04038961604992825,,,-0.055481736188507866,-0.04233943269983278,-0.01039990465138052,-0.03884671260164114,,,-0.015645713643805206
NPPC,0.046010444828558456,0.1117796716863218,,-0.01874701287997674,-0.016569813491145335,-0.0408409371774828,0.0065159076331843075,-0.03419597418648609,0.028180703926014117,-0.005353440250562478,-0.004996721464141726
LYZ,-0.014513517323624034,-0.03811410695977961,-0.00011524811867676838,0.0003536652158434425,0.040471833205153136,0.024158411645613366,-0.029877496765255727,-0.0005166154402564344,0.04893613395594761,0.05437955489610916,-0.04507292240847774
EREG,,,,,,,,,0.022988919501182262,0.06851028699021366,-0.020962850596588
SPTAN1,-0.017705003987291634,0.04575566512984392,-0.05212886060293811,-0.037614589822092176,-0.021713357098684938,-0.040533252637128814,-0.021850313828087425,-0.03794428048023155,-0.03446454599144095,-0.0015081136524066972,0.03950735401371234
PTH2,,,,,,,,,,,0.029011354438634427
LIPC,-0.024816450016364587,-0.010988072652901304,-0.01650513070832299,-0.02171787402058487,-0.02376003119239502,0.15394715440084084,-0.0009984815339662584,0.09726594752964865,,,
COL8A1,-0.03306552481647184,0.02492424138010254,-0.025611203263592654,-0.004721800450756457,0.006507224169520334,-0.021091555479105323,-0.06092766393938473,0.011671572342919637,0.03327330146732337,0.05447433818716669,-0.01024477482308459
GSTM2,0.01731259973849958,0.05450094813446853,-0.024030378764498823,0.04804499641583868,-0.012956562191679653,-0.010480448107869338,-0.03204221673985341,-0.01155068655640451,-0.022934905284689555,0.05743740649825866,-0.03573212491885075
SPX,-0.016675848966051884,-0.043767987564691954,0.060879796318576415,0.012780595148684754,-0.01725751420324262,-0.04694771191157736,-0.024463738851764193,0.014622691424571363,-0.031293885855726775,0.006593469020788438,-0.023886770861941437
MFGE8,0.05334509796226269,-0.013091518910851271,-0.022160777533585002,0.0017283535770261085,0.071861106067564,-0.008722852949079691,-0.03899300444628258,-0.018187312753572625,0.04205376431848773,0.022714944621036574,-0.00437245212174555
TGFA,0.049861714702885314,0.04485578832712159,-0.02069002322944806,0.025769011354731745,-0.003890005345412202,0.023355096630947772,-0.008766725571041125,0.02800126324096096,0.04267976505856133,0.05277929060603206,0.0022038155926358705
SLIT2,-0.019948245492187468,0.0005699405442948222,0.029191220159844825,0.003419569372702456,0.021109087842679272,-0.025501656394949373,0.002346610429235505,0.011981780717767433,0.04089980924632898,0.032618547375361795,-0.007180694873362174
PLTP,0.045801403914951265,0.08167613371974508,-0.003116408180522255,-0.054962138798938034,0.08396123412623178,0.0889333827905828,-0.0023883259548403936,0.00233553259958736,0.015044661451108382,0.005067119772775729,-0.001647217950091205
APOD,0.023726680092459183,-0.0731757806530909,0.00532198483460327,-0.035290890812921555,-0.0611057254924815,0.034829913081210945,0.02679430929522963,0.03354855512703125,0.18125233445357863,0.08692440305721175,-0.023063995826862242
B2M,-0.05939693508965131,-0.016413820581453357,0.0011436735193995197,-0.01178592631549517,0.0516017556613386,0.07157685297397018,0.057199877090088,-0.010212026538302454,0.04834207018984989,0.12622975597575187,-0.023593767978070782
OMG,0.0008633641607928708,0.05157225759002934,0.0031512000311666346,-0.03886712569034207,-0.012981173427210954,-0.06806244628810669,0.0007984600334419839,0.060379587012404715,0.12190756956209192,0.06980630224406942,-0.0019478945515845304
CXCL3,-0.015609447839113796,-0.06597147118642017,-0.022546028577832024,0.04335514416425711,,-0.027663950756290967,0.04286202903139621,-0.014799238034044716,-0.03065580039466726,-0.012987187577566828,0.01201247411745466
CXCL10,-0.004798757781482353,0.08755918661858673,0.029502273265437817,0.020479680413051454,0.13810232410753076,0.0967893402771158,0.07452359419023581,-0.009058841087811341,-0.032050659957121294,-0.012703760500954224,0.07767961098109363
RSPO3,,,,0.006767326207791188,0.009142228650825583,-0.022958060520544606,-0.020355016207720004,-0.01546491851820357,0.0417525513696322,0.012725635438350332,0.05136555395148372
CORT,-0.01938332252401052,0.08248058065682781,-0.019585429587677946,-0.013539856706421605,-0.03525057228444631,-0.05330392507529842,-0.005184978897062504,-0.03255371224764749,0.11473688777010835,0.09420200039240527,0.10996273941475405
NCAN,-0.003955198791741784,0.11512634455444018,0.02493231786677325,-0.07723661470266086,0.06356740894619721,0.04320153819516707,0.010206476657892462,0.028544945820410887,0.10567661882989184,0.062230257729688376,0.016230385553120008
PRG4,,-0.019801407450702847,,0.007408212484995964,,-0.029971369350656453,-0.01722310901263333,0.16621788675317314,0.05570611116711088,0.09916221929988975,0.032325292325222355
ZG16B,,,0.01125555007433857,-0.016076317791565736,,0.013981967290271373,-0.009207362886350112,,,,
TGM2,0.06839775358205623,-0.044044159973596196,0.013764420714337445,-0.00342575103859946,0.06347591080292878,0.07232311551778677,0.09247682225378243,0.04890572182493267,0.06168823248823608,0.022892297560461204,-0.007124113903351936
VEGFC,-0.01938332377204141,-0.02563705071423486,0.11819897869779428,-0.01260689319926427,0.01535365616330572,0.029677079698778405,-0.024793156636533472,-0.018452428348104906,-0.02843790449634423,0.006919329197874703,-0.028725141101299777
WNT6,,-0.03251461023751046,-0.012203959779569541,-0.019158358014850472,-0.015715345353381416,0.023461447544253864,-0.020490657698756486,0.06853143135082936,-0.0370665165656878,0.014211865385287062,0.04387131815213959
NRG4,,0.02398869887463915,,0.05249294838625269,-0.019238487875844253,-0.004424500556481687,-0.017688834909469545,-0.021526909944640345,,,-0.0050120032512196416
PMCH,,,,0.0022931252221942665,,,-0.013477029107303687,,0.010263615393202724,0.011103920909607497,-0.012796411144532505
COL9A1,-0.04992717689524403,-0.02289824750742365,-0.019678516919824297,-0.017606809728213893,0.12294763211636384,0.041636450852005756,-0.024676935075396696,0.10324593535880122,0.022463715367829675,0.03795192256079178,-0.03134612557118005
GDF11,-0.03349983597544667,0.05014785152735101,-0.016980720976602318,-0.04097023722344522,-0.005711687181837971,0.0922925958278559,-0.013329908956571452,0.05661249204754153,0.009319126604904629,-0.03473472144283463,0.003020268503075538
IL24,,,,,,,,,0.01541347514097276,-0.020138424720058806,
SORBS1,-0.03830956018644579,-0.04048331127786457,-0.006092261831335696,0.002873974144031865,-0.0631025327157322,-0.039667030609766056,0.029074063880612417,-0.022015394434359382,-0.030574356439414512,0.03795415406291763,-0.053096948407474476
DLL1,0.10679962359931976,-0.011869509195353728,-0.03930962421634154,-0.04186048586902671,0.02769417762524532,0.10743573693113108,-0.022841884192728625,0.023629487643446474,0.10203856499526927,0.10152367217514986,-0.02151970756346435
