,UKF243,UKF251,UKF259,UKF260,UKF269,UKF313,UKF334,ZH1007nec,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01951542394600049,,,,0.0919706314770299,-0.019802426686559106,
BMP1,0.024838153552675036,-0.04184568735497621,-0.0069994347509157555,-0.027620506020994806,0.11250175011174625,0.04174686801289562,0.07227475063377023,-0.15678175688783308,0.0628208727932719,0.03924956275632776,0.00016442252537296964
NDP,0.053346950292348025,-0.05432580563622042,-0.03297606896243953,-0.01986000726126709,0.003918552284178217,-0.018306923632846125,0.04858550336913576,-0.023731948921541533,0.0717881016113909,0.0074515188843015095,0.07227932384753724
TNFSF18,-0.030228040782811383,-0.025289795427246402,,,0.09180343673309935,,,,-0.018559375335136574,0.042110134759710975,0.02770303824443871
IL36G,,,,,,,-0.01877827720490209,,,,
RTN4,-0.039683280516332735,-0.04265197323252892,-0.0026248817786586527,-0.062219162067967355,-0.12914250207529665,-0.04390445684629815,-0.13276949201643842,0.12126468781616251,-0.103230462041937,0.004175100291033922,-0.056851769402964915
HEBP1,0.05032623180977367,-0.04876993494495641,0.028169557840187466,0.023462638630786663,0.08328809714622479,-0.030397850852097726,0.03707336308541997,-0.022432656152136805,0.014203978051863929,0.029087544758676028,-0.0020731116980442503
WNT7B,0.012316157019015473,-0.015709236967195225,-0.001852827418954623,-0.05563470164345228,-0.017072534882320967,0.06855046848411969,0.029692516241847,0.05146176766265181,-0.03880915524016788,-0.031382276247329574,0.04852849228424094
PTMA,-0.03705345788018068,0.024305930804712755,0.022355129108590263,0.051605234635771685,-0.03991724689417346,-0.01205365208809172,0.0963412975673433,-0.08397799441845288,-0.06909107833453645,-0.020818372105093158,0.03156279976774396
FASLG,,,,,,,,,,0.029812735000961058,
CEACAM1,,-0.01205589452534166,-0.016749538013860907,-0.014777319648623886,0.02653929823949439,,,-0.029538313171993135,-0.026667884731580608,-0.023895986155989816,
PDAP1,0.08628647416628563,0.03851872887392903,-0.004211586642427176,0.01975141154477279,0.12200911885158262,0.006915146254071891,0.042184804148878735,0.019775963823275764,0.07903737964246799,-0.013408165354355196,-0.015704161058460803
QDPR,-0.00782422254414744,0.08337561088558268,0.02768712217592399,-0.02115670992254364,-0.14134270503957116,0.02272547806024622,-0.09937914304220534,-0.10664204423654772,-0.06126636207412114,0.025532440351882433,-0.017383129261910314
POMC,0.10848275659642394,-0.02142140114280347,-0.0034646189662825054,0.024068502551674205,0.06837436958254621,-0.021208901335167694,-0.03133364194296726,0.05263679894796669,0.015938291994351723,0.05974078228479476,-0.03254040818930763
CCL18,0.029514232200482764,,,,,0.02478731560584086,,0.02967869819977614,,,
CCL17,,,-0.02346549818381131,,,,0.048867275496384095,,-0.02372722108673876,0.16754590407138645,
VEGFD,-0.01734832832760624,0.02027579035071532,-0.014329231091180327,-0.014138102775176672,0.026357925156845118,-0.014329591079065652,-0.029390956305547885,-0.04899583162169638,0.014137995239562948,,
TNFSF13,,,-0.01618597547383615,,,,,,-0.025444376137496366,-0.008269406317395596,-0.03630344189209928
WNT5A,-0.012470619532786612,-0.02361996012973887,-0.015674731970961808,0.05415457240478931,0.12366309984601849,0.015378072960781891,0.03812824545761189,-0.039434319171554225,0.00036478290579850767,0.027112177313904556,0.0528196254580281
CXCL8,0.014854095021713067,-0.01616840410583826,0.05206248759604782,-0.023400613736734695,0.06872160115126603,-0.053042734430857115,0.0921694295996709,0.07664441459684487,-0.004389567051743284,-0.009520709660747535,0.003623214994810095
GRN,-0.04548430082678718,-0.07149537615164918,0.029552069616726538,-0.044287631166925134,0.12807018976607684,-0.03894021581239042,0.05324545177083881,-0.07179620207932445,0.10648766752895596,0.05900224736365943,-0.050734562401546356
MIA,-0.025146783119902972,-0.015356640459943222,-0.024050410527346116,0.017900522873743052,0.03611221160132421,-0.019433499856082465,-0.04025226157626877,0.08915992159463035,0.058589330132909914,-0.001020216038527215,0.0008379686163988529
COL4A4,0.028703081883765122,-0.012822572376902774,-0.007561725703762436,0.08511396183347412,-0.019231001763179458,,0.03138712038515751,,-0.03654986609358988,0.07958299171717495,0.03345361083032596
TAC1,0.01779149957220964,-0.0483648477205479,-0.00860707461436119,-0.0028816985673195267,-0.06062661887262691,,-0.0691980151294812,,,-0.020464246951237445,0.00936038317046372
RARRES2,0.034423541478020306,-0.0034845444207224755,-0.027683739640661766,-0.03166717210677415,0.10904079820884624,-0.016514893670043083,0.1300297971419078,-0.024833853660739556,0.013442817588726884,-0.01453850894897568,0.02929840543897755
FGF7,0.0285493158635823,-0.01948973610968391,-0.027977484706403304,-0.027070355058689582,0.03179059671813697,0.04302760964168321,0.10019076777765154,0.018858891494174558,0.0015527344383352213,0.01989406137352831,0.03366562010623905
HBEGF,0.03333305268272692,-0.02036848552066709,0.019015253084200948,-0.0949032684491652,0.051888234113818536,-0.009814912613150135,0.030721771842344862,0.01291777296616821,-0.06857877522897063,0.03272288765456684,0.06449085241997533
