,UKF243,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01755368996236505,,,,,,,0.03308817964522741,
BMP1,-0.015010543101512775,-0.044129172357214946,0.015016433514651187,0.09318872837779926,-0.05625350217285693,-0.00914029835127275,0.09398495740159218,0.10321602761837123,-0.04588127553848952,-0.027831401051265723,0.03830966944303521,0.03800559534152056
NDP,-0.0008479236097992135,-0.017884097841529892,0.031608178774526756,0.04450964166960572,0.006908617312649335,-0.015253794905940038,0.06294083668065281,0.13875074568402232,0.01840921375846222,-0.042398394350273545,0.09795652757776152,-0.07264830380034328
TNFSF18,-0.02481610371640719,0.07361549272263243,,0.031958070124116084,-0.010647509681371023,,,0.039252607530096836,,-0.041558807644300574,-0.02152097655938696,-0.025685321284603328
IL36G,,,,,,,0.05309714828328372,,,,,
RTN4,-0.07580184213062924,-0.030779144987060986,-0.0018712197223363933,-0.15347406321459534,-0.030852934575337766,-0.022041457829485682,-0.03133874083105063,-0.007981989911747634,-0.05471366978174379,-0.07558105613721067,-0.03382802719758687,-0.043119056265693075
HEBP1,0.08055283261396695,-0.007829803716329275,-0.039159930133690485,0.053995809625979004,0.032020286179257285,-0.020408228485661567,0.009425275647752179,0.048576132782039254,-0.026643227934442532,0.0009827360039496899,0.07847585701203655,-0.047363240707957235
WNT7B,-0.026824973996017364,-0.01680714099099846,-0.027801496737762433,-0.03509843878477826,-0.030520095349847606,-0.011878753825469582,-0.0244604064376523,-0.02613148627103949,-0.08478913337243,,-0.017570091366704076,-0.018196056237525408
PTMA,-0.02529375892224818,-0.03362521138669925,-0.009957995611882667,-0.03902081010197023,-0.0017540554445373696,0.03157794856071713,0.08272354794647889,0.044496154347818125,-0.00031921312450166727,0.06036336674570081,-0.05630865002709285,-0.010597521432597148
FASLG,,,,,,,,,,,-0.024422852405975273,
CEACAM1,,-0.012898469829130156,-0.011866028033239556,0.05701903011881424,-0.016745996129576765,,,,0.040672457115020724,-0.029222894900890917,-0.008338860872794155,
PDAP1,0.05392600475294035,0.03840301424700158,-0.015760614932631874,0.08840678946880669,-0.026996527847505104,0.01094178523574159,0.06990599068234805,0.08348240641257597,0.04534255713066447,-0.008524308473388973,0.042870956496636005,0.02389230965898513
QDPR,0.035852066986161196,-0.017140176318705735,-0.021223898764074545,-0.10926192408619005,0.07385700815594784,-0.003967719594499169,-0.040268578372053034,-0.04181628521767992,0.03474379362944376,0.02651988799618174,0.019952449655883435,-0.014751806504857426
POMC,0.08056682050299763,-0.00890959727794558,0.0013930309887799485,-0.008748351199667716,-0.012354528249030876,0.046014910375581274,0.04303271946196494,0.09022494573919146,-0.022611412333947527,-0.02220626416581053,0.020424890080868306,-0.043152708597965085
CCL18,-0.015230126553730001,,,,,,,,-0.07084308324415951,,,
CCL17,,,-0.018607155693125786,,-0.013279517579130084,0.1591284646274959,0.07783153288678407,,,,0.09279100125108383,
VEGFD,-0.03749732352193411,-0.018474470218403264,-0.020730426225144084,-0.029407139354840586,0.005259467852332676,0.06719083312971637,-0.021788546992824894,,0.10080167867434027,0.06073305139688434,,
TNFSF13,,,-0.012834799556676924,,,,,,,,0.03619904097766016,0.04206107991819753
