,UKF243,UKF248,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.020174433976450603,,,,,,,,,,-0.020120873876696296,,0.011980936838725045,
BMP1,0.016663861937016015,0.04925092494242718,0.1381316133263034,0.0011750858926773684,0.11209031811117376,0.15034089261765937,0.04713650643471865,0.026935266319598267,-0.03231110994803905,0.012033445315496362,0.04118618435448296,0.07529713186308715,0.04695051156271346,0.08477992779095365,0.0465738143096176,0.12717855771822645,-0.020424944308553225,0.2387244219233806,0.0711725815381082
NDP,0.024551095259346914,0.02866449090801395,0.044911383955507304,0.0023602768207267085,-0.0147047682345706,0.03396305046948277,-0.04961594981502109,-0.03923558351489217,-0.047568173530891274,0.044180668626066386,-0.010090614404672966,0.1484954932464484,0.012822001997400537,0.023354119716619617,0.025283921438070987,0.07267361275243818,-0.030417139146595665,-0.028814439170513018,-0.0037113070678581554
TNFSF18,-0.023606107671068716,0.00020798853555374007,,,0.12693232633742987,0.07453408290345753,-0.010647509681371023,,,,0.18878055625010698,,0.07404101351526238,,,0.10113659687606057,,0.050517314192781965,-0.028252160524764446
IL36G,,,,,,,,,,-0.01375290994419053,,,,,,,,,
RTN4,0.0011711982552055108,0.010788390197407271,-0.01671945596932833,-0.015496743696830883,-0.0905641043174943,-0.14625979301211536,-0.06804835570005344,-0.005648255550674616,0.037102171309227064,0.005676004643464565,-0.07582989067391757,-0.15035902185772013,-0.044532647261266343,-0.02549346032864711,-0.017112610728134275,-0.11841083054841359,0.06489326702252722,-0.00022156932977618153,-0.023169343101322088
HEBP1,0.05632773787592939,0.00959391767057048,-0.012397855304102362,-0.008340007331859649,-0.020787915992503042,0.055891853230973655,-0.015579390204947127,0.01297236120496423,0.00012898363690617368,0.008326488603254245,0.0018770254757936825,0.030350718184130415,-0.04700635135050909,-0.023828968834535783,-0.03597411769520421,-0.015251829579253626,0.05577479378698349,0.09123672696798059,-0.02461051420630856
WNT7B,-0.009254153983441007,-0.0002015470702682292,0.015802145349545084,-0.03395070319990672,-0.017292106883890178,-0.04089550473917828,-0.0033511327875439564,0.02349402165378953,0.0683056409922577,-0.015116032933254355,0.08179878726047925,-0.07840103040759423,,-0.0077370921600678775,-0.007518959553651762,-0.018518374293215786,-0.025860407247953292,0.18621202311769167,-0.05198489793894528
PTMA,-0.007541628265575425,0.06887239914247804,0.0244740001153155,0.01382894991174234,0.1183287962344223,-0.10133878003867497,-0.05502079360386893,-0.0468995744859886,0.011780927928122978,0.006003051562412722,0.07462169259187883,-0.047340891392774434,-0.03575439208509134,-0.22464852799903268,-0.03594432522004846,-0.040604393631692354,-0.01905052187653154,0.15249337400799232,0.05377303872508221
FASLG,,,,,,,,,,,,,,,,,,0.009452523840189636,
CEACAM1,,-0.0006408762162105199,,-0.0022074882516316,,0.06268985909354317,-0.016745996129576765,,,,,-0.05903794194724703,0.029402022809033673,0.049137655849695795,-0.019563782255841038,-0.02981601772056692,-0.017163928396483053,-0.024347203961555878,
PDAP1,-0.017594593935356034,0.047342947781229223,-0.01480784523879536,-0.027214707033944678,0.09105881398655244,0.09036052610794201,0.05101426199252139,0.01120795938955719,-0.033445320409389905,0.02428929306841656,0.09017437438115322,-0.0995385351990294,-0.06728636371647387,0.06862532602629969,0.014675728319201437,-0.08883717734550088,-0.03803157160783427,0.025120239354806742,-0.017891412599181113
QDPR,-0.03784734738911608,-0.030957248170935998,0.051043152096295355,0.029516929276065855,0.005266078018660337,-0.15456756295627422,-0.04753644370613496,-0.017117612535037303,0.04730231416555467,-0.021183459189227084,-0.05954709573588193,-0.03945544028205259,0.042706697767180356,-0.17538056339387406,0.041980000958732645,-0.08145751162409935,0.012783178201556403,-0.02044409365801889,-0.0002027360303080078
POMC,-0.044572270828066876,0.06212358126013653,,-0.0035616525297557837,-0.005552941689764275,0.02566200337477602,-0.012354528249030876,-0.017009368662635617,-0.024222574713694916,0.020154363294127904,0.08750922272469319,-0.08309693973637994,-0.000878036628075645,0.010025359925054194,0.15983422157464736,-0.025899587506697984,-0.001839050037671552,0.11452565359296493,0.034018262974914275
CCL18,-0.03165773138084867,-0.033173344030927025,,,,,,,0.029499551192702114,,,0.18286077508485568,,-0.0363165477065308,0.026657473716979737,,-0.05910820477867442,,
CCL17,,,,-0.02272273418551967,,,0.02858993631809978,-0.0025084259873606055,,-0.012563673678998983,,,,,-0.01387955659684096,-0.02652820992376027,,-0.008464335582980164,
VEGFD,-0.03566901019399134,-0.012385594782157077,,0.021533377978682093,,0.05800724936017957,-0.014148202783512946,-0.013415702993883677,0.029972059340373274,-0.013464878220679016,,-0.05703128382789395,0.06067490527096929,,,0.08340857373845793,,,
TNFSF13,,0.0021327421959709968,,-0.015673633491363727,-0.015064717779420585,,,,,,,,,,-0.026632784367953043,0.09536636819646628,-0.01927394121925446,0.03396805088275725,0.11917092991427497
WNT5A,-0.04969543993788332,0.008829539521846641,0.00294616472037073,0.04105608984820852,0.07903952972705906,0.11021521457789533,-0.041310582742531535,-0.028493916053873844,0.011176903002904054,0.054664654480658104,0.10638326846259578,-0.06702966645396913,-0.002695477327073941,0.07103404186967185,0.021858216696144992,0.069939857692829,0.036396195548916856,0.028464853474602946,0.01724282179209637
CXCL8,0.03498250199491969,-0.020376833222045195,-0.1359144225896239,0.05545036675736299,0.09917764560387758,0.056123815122983894,0.010803130687065005,-0.012493285962063758,-0.04296955125658203,0.002671161509578847,,-0.15924544926766054,0.05117098542197789,-0.05246725837138747,-0.02418335052247551,0.11070397690376262,-0.023109554998367105,-0.0009730610409643696,-0.05824862474608456
GRN,0.10587038579522019,0.08837050201144853,0.10263260110234654,0.005855718248521323,0.014831849482959942,0.14692685774530984,-0.034691038387646436,-0.048551482580990894,-0.05682492362873413,-0.012728220872951767,0.029354579329027578,0.021585434199735347,0.03238921365950215,0.04813402273495127,0.026482948979536035,0.14640065698331492,0.01360182721006963,0.09940409689546793,0.06504952036595966
MIA,0.0035269245861361855,-0.037718749465865585,-0.04741668378893127,-0.0287328169862225,-0.02723991514493106,0.05958052861872467,0.09523732350431689,-0.015257536834799499,-0.022194898018219993,-0.01844076778573785,0.04290144342588579,-0.0900172067604692,-0.027543912491390835,0.005143807892679423,-0.03815329343010887,0.023316902255708396,0.00048790678831564353,0.15401818495732025,0.014246502582695776
