,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.022046857531376016,,,,,,,,,,0.03942133782360588,
BMP1,0.06396926315243628,-0.09170007158960247,-0.06024530380649242,0.007574837279141476,-0.07248162378073299,-0.02685717402914468,0.042475110903600136,-0.060448272013317185,-0.05113096730884267,-0.004468891076004571,0.0825420631860649,0.045187758781876794,-0.031334342239410305,0.04531478150433225,0.13890602579460712,0.03312691688499088
NDP,0.03461462085803478,0.06090208931649573,-0.01847399418211353,0.03486306252281788,-0.015946779627015076,0.040595184244933774,0.0347126733588178,-0.06787862780723437,-0.03246637090471907,0.046211914535648595,0.012216848745998404,-0.05259358640742562,0.02077467544500321,-0.0012054271580545786,0.01187570890740148,0.020147014632997787
TNFSF18,0.0424839824209939,,,-0.022505104408296336,-0.032738921569293186,-0.024481584898324797,,,,-0.024507779223137773,,,,,0.04299296615501092,0.0941261145442968
IL36G,,,,,,,,,0.1528433623203763,,,,,,,
RTN4,-0.013527249830064383,-0.005933663309166326,0.0034101858081976738,0.06421044003957622,0.08604863691397138,0.0015827746125469267,-0.0829585484537546,0.0838233683454557,0.11643752005361067,-0.046033394453699965,0.03607706671737679,-0.054440588016768286,0.011292052091354268,0.019085348430305456,-0.0903449018429113,0.051545500542327316
HEBP1,0.03510234656056656,0.04912775383258115,0.014595101109630226,-0.032603058187689576,-0.014089560818402501,0.014860444038797296,-0.014240290963030797,-0.03973024616669144,-0.04169152855318852,-0.011829239224977665,-0.014236482766959258,-0.03826679540977236,-0.015812610007103486,0.011556022732110939,0.05197368443974451,-0.0393194243011224
WNT7B,0.010906414939278037,-0.008384446342974122,0.05401253679061005,0.03689159643865991,0.08162123692649485,0.00371415986759911,-0.06403144950415816,,0.029309258991606676,-0.026980672832838767,-0.037328721689984086,0.14932210168505297,0.04165452652117436,-0.024409161863169743,0.07742333277325465,-0.03392735397697309
PTMA,0.01359050791932553,-0.0447134639787603,0.016710511182573315,-0.010558812860552913,0.0053053359717152365,0.02131253864426248,0.012219920767671701,-0.1211581809818475,-0.11494233874348263,-0.050013685240798585,-0.027310289214419286,-0.05024369832644995,0.026766974381212078,-0.018544819602774803,0.04267436384381508,-0.054936708390616075
FASLG,,,,,,,,,,,,,,,0.04659727543039682,
CEACAM1,-0.0214742355642082,,0.05096524321774904,,-0.03430742462632395,-0.022699948659635153,,,,,-0.033476995518712034,0.06817680490547369,-0.014243237696007586,-0.016200715728124062,0.051946355345421476,
PDAP1,0.019351704909487587,0.08899577396909078,-0.02241000797907815,0.03827645579414307,-0.016962266273295206,0.013172712202160309,0.012310011723050943,-0.0322961285704838,-0.040909613993165325,0.03028659798694577,-0.032275050843437604,-0.034868505887681485,0.013624232270852077,-0.07190923626067873,0.002432095740898674,0.01585752553827486
QDPR,-0.008035228334420757,-0.054049149346921656,0.03476949229168444,0.07738090802699192,0.02241668925946181,0.01842856849521452,0.013492551816584854,-0.11426816475488562,0.0206301892783425,-0.08857908706270637,-0.08324459477748385,0.012372996613657723,0.05399671918686956,-0.024273554101315892,0.03997124327722165,0.03681830893110306
POMC,0.041059260669357424,,-0.004434862404580524,0.061281275056790596,-0.05553580331896412,-0.02840649515788516,0.03500530151457618,0.007157855528450968,0.06635966566593375,-0.053980108713729456,0.0017004135373496476,0.01560860421690787,-0.006718422508842298,-0.026502242713958117,0.0816543344716328,0.011603138503130576
CCL18,0.02693050709713421,,,,,,,-0.0645800620306354,,,-0.023735740237372332,0.04942408675126797,-0.034781043271758634,0.013534744991422654,,
CCL17,,,,,,0.007283247863864473,-0.009564333509011065,,-0.01274398138204823,,,-0.014063966340448339,-0.020561007796586303,,0.12825693543948205,
VEGFD,0.013768942004939928,,0.017999250819693176,,-0.0369344002971179,0.0389316602049959,-0.021200523907448667,0.07548728803117372,-0.013658119570768103,,,,-0.014243237696007586,,,
TNFSF13,-0.002739570106667189,,,0.011655445673433467,,,,,,,,-0.01088240709913731,0.015598436662729,-0.018192317949642333,0.2410963516529986,0.14195946287990094
WNT5A,0.003159811479162269,-0.021746086674360593,-0.00015888059136730907,-0.05705493958990537,-0.053018195200764597,0.0009750244456505951,0.050236616054704995,0.1107820706501252,-0.07018605135870397,0.047193451598163946,-0.050647293067143516,0.001361943457893427,0.007067906674175001,0.09451922022125867,-0.008139170819646846,-0.034807370285407035
CXCL8,-0.01911958406620299,0.07459148645660968,0.008513555435259378,0.03051231435772884,-0.03368786600435465,0.020202175768196187,0.07208064505870854,0.002193188369738937,-0.04106473946056924,,-0.007225683024077028,-0.00971919322004066,-0.049237703751826595,0.005432384270809098,-0.042008115534462764,-0.059494180491288795
GRN,0.03335284067703027,-0.03569395774531514,-0.039050859160411615,-0.06184014799946908,-0.06261322577077189,-0.03073505043386788,-0.0005227559413933212,-0.09072051720486209,-0.010522710790302764,0.058712688956693584,0.11465390876333792,-0.009239656401927978,0.0035453057098557587,-0.05226615214061741,0.06399875729790173,0.027300206373462338
