,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.030008377594236815,,,,,,,,,,-0.02420349233156849,,-0.026755947271777554,,
BMP1,0.029917815810735597,0.03566233659806836,-0.02778741505071422,0.049306072900487205,0.007971495346416186,0.037795817026655944,-0.06716204887120934,-0.1965298778437903,0.013884626798248334,0.03489977754637552,-0.11489959144277555,-0.0957608035834926,0.007049694851378698,-0.021765858986285743,0.08445765321657674,0.06593038269246088,0.042239687323341046,0.05454006211974656,-0.05754579321606708,-0.05405072318769002,0.10957717783898477,-0.01130021480718655
NDP,-0.039082885097842225,0.017001041167315874,-0.025455970845732784,0.011294641203145137,0.061917622091453774,0.032183972627121256,0.019111394787552242,-0.07200152580261802,0.015954392214748064,0.03425752145833737,-0.05380485000874375,0.02351451741604415,-0.0859470806732282,-0.07547928961807131,0.009198362569486085,0.047585064440321616,-0.02619894280965984,0.05757918679400026,-0.014034633097854764,0.16250575358202377,0.0721128529840252,-0.043054991252465896
TNFSF18,-0.03217505978283709,-0.0396820073563986,-0.0030461323232074313,,,,-0.013507395884826695,-0.009356453562412461,0.052913812639403285,,,,,-0.06983894233297464,,,,-0.024960634424818613,,-0.027348948562847787,0.00832733589446166,
IL36G,,,,,,,,,,,,0.10057916779861734,,,,,,,,,,
RTN4,0.09828913597543995,0.06456742063016453,-0.00482277475881701,0.04207110283394348,0.06078767637814153,0.10455158981798132,0.17273812475293363,0.2496059817706388,0.04233836706616225,-0.02571607552775819,0.20875264525475043,0.18435149269023757,-0.06311554466345991,0.11772877285178882,-0.03622816639953149,0.005136057727108929,-0.012831423808664226,-0.14029141563284533,0.0586724880417863,-0.04489371859460017,-0.047477714268750235,0.050032374020633645
HEBP1,-0.07531139845627127,-0.03432430742674644,-0.0221346913243482,-0.05027102180705477,0.013953835064447712,0.00517394488104996,-0.05440095279939981,-0.06768702749225326,0.004188001242434866,-0.03367556256532954,-0.04666712119288047,-0.017546537482184352,-0.03849422223630328,0.03329389637168144,0.05744573942039565,-0.006016808818226888,0.02123663664417483,0.02207272714987946,0.04007151280637543,0.15844222802219282,0.0657930337645148,-0.09523347468732013
WNT7B,0.15358682161446746,0.03770240057905517,0.004166426113086609,0.02979982680797151,0.12690412484636734,0.0194909101263182,0.09251262425953169,0.12693181672979975,-0.011988649992648075,-0.0327573504789861,,0.11903804848944403,-0.04471643261046832,,0.07615736008820495,0.04456698654034238,0.03531582322241743,-0.052194705845078786,0.008020556595221716,0.056532431061166975,0.04212885920221638,0.09744215360362551
PTMA,-0.01609963063128635,0.050047983121953375,-0.05940953520384768,0.06797132091822301,-0.019388685961381356,0.03963111909581341,-0.140254979907994,0.00622097857816076,0.01998012057011784,-0.015057385595867622,-0.24527202469155251,-0.24641598800412046,-0.04432786815118128,0.0654047757871636,-0.019516505027290628,-0.12631304456988696,0.040256885361904395,-0.07892332026641685,0.021473417553002423,-0.13911311290989276,-0.02216501364514877,-0.20386571296948183
FASLG,,,,,,,,,,,,,,,,,,,,-0.019711328074031406,,
