,UKF248,UKF255,UKF260,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.021438599553618643,,,,,,,,,-0.0360954254636317,
BMP1,0.05783260524860628,0.07681503347434611,0.08519691970033295,0.18511720997866468,0.11156480021174336,0.04617805898662193,0.03675945002529212,0.08118096688923346,0.07414499002911025,0.07040514790421593,0.020171696968259965,0.05329854968098874,0.2206443448889585,0.05607394419109559
NDP,0.04553318467609391,0.0007143418781261837,0.022894703278696762,-0.023921752191098867,0.06677285022096167,0.11045228978194367,0.13955871151338134,-0.05136286323600016,-0.02326547043335465,0.10709857183376699,0.07807925997161719,-0.06631197675262737,-0.05335866336787493,0.018940357070274156
TNFSF18,-0.02723212701441202,,,0.017095587514830198,,0.02127788250987011,,0.1430343769371598,,,,,0.08550672593594581,0.021864685212663285
RTN4,-0.03548493619941301,0.014979371329647507,-0.009198873197537377,-0.15728014123605993,-0.02706648607627126,-0.059080865071058315,-0.0421428097957988,-0.01559335240461288,0.00636898435865252,-0.026780079616701116,-0.1006572887877074,-0.04917301909278153,-0.006258202043192836,-0.06533225847757974
HEBP1,0.057801467981795994,-0.032229218074015305,-0.04286776283535244,0.1190878287474013,0.012230308748986429,0.10910805412039284,-0.013735130851301389,4.514349345445528e-05,0.017744541872195013,0.021595966673200427,0.06491536475346849,0.015321485830137968,0.04999132073743815,0.006935239383227126
WNT7B,0.09438876721441021,-0.04847031357924819,0.007539847001086693,-0.0236088339633925,0.010666098291193901,0.20327780887874963,-0.043796395791670044,,-0.02999195194629397,0.020864394495813125,0.017627639597538883,-0.031243506400655045,0.008932264528643567,0.050933110598848814
PTMA,0.06025859626211976,0.07018488784025324,0.00704016212462012,-0.12282869955043692,0.12608079017059998,-0.0076828963753415,-0.037864281509004796,0.02617421922312995,-0.04328614398042765,-0.051551801613238135,-0.07707885884449657,0.00010878535436149868,0.12508340766973117,-0.026250470404621546
FASLG,,,,,,,,,,,,,0.02138634067417787,
CEACAM1,-0.01733250252925024,,-0.02118288779560213,0.006317114521282798,,,-0.02655580658884518,-0.016818797647369706,-0.026897262896974864,0.00010559395401614591,0.01502639978500182,-0.02073676959431276,0.036578972792153844,
PDAP1,0.006824979747693459,0.03291155560807458,0.02521367780912618,0.15477227878454392,0.09404073615309795,0.009107677051183665,0.12744588267715332,-0.005188893456192388,-0.003174851254874373,-0.08159197725756709,0.028114830967394037,0.01195042355749802,-0.07937030785071114,0.056767412814587144
QDPR,0.011309719105118849,0.039644387247325254,0.007765322981521005,-0.1577007027435137,0.04062629314099219,0.018968492792877763,-0.00022172259434282923,0.036210578469900216,-0.03978258549607355,0.025079883987212816,-0.011067660520842045,0.011386867063853839,0.005917404827213261,-0.04296858830680265
POMC,0.024327104722252628,,0.017370840343032188,0.004321940933392774,0.11613229472761576,0.07114925018338422,-0.08600713665976818,0.06271213524625914,0.0161694435298209,0.02598309376143368,0.026113290084482477,-0.022688263546822594,0.11488521411933465,0.0018892153898182763
CCL18,-0.021629325511864427,,,,0.15997728370894734,,-0.0998047201536646,,-0.01907060162737897,0.05593594163994613,0.03859301238022264,0.0505473013666928,,
CCL17,,,,,,,,,,0.0014329296742296533,-0.016139491659000686,,-0.02837496502019845,
VEGFD,0.04205949401861636,,0.03400343326063676,0.04206757002586882,0.010916903372263621,,0.08248667903286147,0.05065750466482789,,,-0.023600678211620863,,,
TNFSF13,-0.016322188295294842,,,,,,,,,0.014566382731055922,0.010500304093875151,0.057881086529789856,0.028951121553151674,0.11757863978953174
WNT5A,0.07552578946320913,-0.002756610182967161,-0.0014556426146874455,0.08290918385105953,0.057324519741866004,0.162254537833588,-0.017020545753212483,-0.02498913034707017,-0.00013550254574912874,0.004228058824140692,0.06208843568471946,0.002962522472556015,0.05518972297513839,-0.0059812047629882945
CXCL8,-0.03514762700005791,-0.0550978849267088,0.018695789134661783,0.1166986807489384,0.027489340174353866,,-0.03363198426647548,0.12363767050175319,-0.011169987467323332,-0.03880582057444041,-0.038769770716485255,0.0207659923989111,0.00040480563512728594,0.03471162179876758
