,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.008658923125923883,,,,,,,,,,,0.08152008550796672,,0.00979272642242274,
BMP1,0.026704455838094082,-0.07562808210979295,0.032847132993070446,0.015091150678836155,-0.17204253675835834,0.014338120677025204,-0.04505177738060674,0.010482812852028636,0.23676547090064673,0.035973596595805346,-0.03231013967295975,0.049949023783037304,-0.04692390563599702,0.024995058780058765,-0.035809373805792674,-0.04259009565543235,-0.01713194687310467,0.11273058145610364,0.032850446445076724,0.05463560984064533,0.12687044107077888,0.016255800006277913,0.13431329593451058
NDP,0.005239681647021989,0.08976272140454193,-0.06415280463573313,0.021883489536629382,-0.059492840214693005,0.009321946318542352,0.04502987693157771,0.014537687231982267,0.020253471764351928,0.02683931997101398,0.01969206159816524,0.09948786919396811,-0.04636452015984102,0.09334267864251294,0.13796499888804734,0.0003757392887484376,0.10007695061448671,0.10270786069721086,0.10214455400289488,-0.0037588347348652463,-0.027557607361667485,0.007054210762420339,0.006371992372390914
TNFSF18,-0.016052720316376338,-0.03444454899734785,-0.012243203236907231,0.02788444959162054,,,,-0.01696690516544854,0.07243938558236329,0.04416665877760317,,,,,-0.027738332629365967,-0.01885357350821909,,,,-0.04334530695787556,,0.007763819916327376,0.1574794600625302
IL36G,,,,,,,,,,,,,,-0.030510533039660847,,,,,,,,,
RTN4,-0.094945922980157,-0.2125670537181623,-0.03511256816119561,0.0167827101395015,-0.0603751946494061,0.00044202758010273256,0.09758426959394517,-0.08170949242212573,-0.3295859110987959,-0.0397062619871544,-0.043861042320710746,-0.05614312706414886,0.08448707975272766,0.0007886517715168042,0.035248409074145726,-0.08795172833747356,-0.0318975509364721,-0.05459264245418665,-0.1773984392439919,0.036359789485879965,-0.15362109958363046,0.14400059769749451,-0.1586715116561761
HEBP1,0.011611596788419843,0.09256549039194803,0.051873505324291136,-0.014527636246766045,0.0897094300942292,-0.0016491332866036055,-0.05383141199463456,0.047129170635388094,0.11158043913627323,0.055360367112201,0.007192124115031177,0.044330747605816,0.0650659786243697,0.05629518324008258,0.05903354796009619,-0.01410014497740095,-0.01263482588077444,0.09917060105005714,0.08235529096105804,-0.021173864959802377,0.028205243323822494,0.031178978966881245,0.05325618878860146
WNT7B,-0.03466440242435287,-0.1943717721570161,-0.029141870726953872,0.010913761104513859,-0.04628758674674977,-0.023663897744172234,-0.06900239355223371,0.029581401515632835,-0.10715740958250854,-0.014768626349627507,-0.010749566008366242,,-0.048751433651503,0.04080317293523117,-0.004544175048985462,,-0.033434221466597726,0.03166451659757899,0.036597826037664524,0.005320650920119521,-0.05759467393496363,0.12799921562953312,0.06191732579634792
PTMA,0.0583441093425072,0.07449847161620805,-0.11554039334716387,-0.02566270181009412,-0.3070994900912214,-0.03600897444804162,0.011847848924822492,0.10342043172728169,-0.12743590857623147,-0.05484228447406912,-0.034819164512814145,0.06796103704032098,-0.0727523882229016,0.060737547532602215,-0.013291108329528333,0.004728539798313205,-0.05861677282284046,-0.07507777862239745,0.04121395915715586,0.02675443205835313,0.024865368204385913,-0.002903253585533102,0.07526902430222392
FASLG,-0.034664412223890634,,,,,,,,,,,,,,,,,,,,,0.03689428540297258,
CEACAM1,0.07332199990636303,,-0.024667681470100677,0.025857242086166563,,-0.010528101173020617,0.05494267867649493,,0.09051319095776461,0.03222237491472408,,,,,,-0.013735280516093951,0.07934038466867963,-0.07524813548999358,0.00895699161500814,-0.013385773372489296,0.006486929341753085,-0.02482323319410388,
PDAP1,0.030422352619413312,0.05017811125098938,0.005293720297491413,0.062322770611457086,0.1028305084265051,-0.004526236143657376,0.012133781395249742,0.06764952319912317,0.20101499888501012,0.012272093666203588,0.0061653441851228135,0.022319691558699964,-0.07736122380915561,0.04243448617352415,0.025053690535725832,0.013946426845676558,0.09572113660462155,0.02250566571889929,0.04292037089068185,0.03608093577281345,-0.010812256022929722,0.02128325117164195,0.08097465601538324
