,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.031389988549416784,,,,,,,,,,,,-0.026554070663757035,,
BMP1,0.03302940635451425,-0.042253355862440306,-0.01429410039837786,0.03249538061991959,-0.06315508626125606,0.034506861945473456,-0.11462035899922235,0.021482867953947687,-0.29139426173060795,0.004781209808263856,-0.0226525336505537,-0.12311692856349599,-0.1025602761510336,0.08635684169930441,0.004132144188846503,0.11861769352972418,-0.028081029266723845,-0.013552657604511293,-0.060262865122173326,-0.005942574463702788,0.15940637808005173,-0.007493220069881854,-0.0008009601126572202
NDP,-0.03232351074956358,-0.036631361026416,-0.05272975509292077,0.03769798527149843,0.05834049229383202,-0.011839500006850901,0.09690194178792255,-0.008397370673211915,-0.03988804313107936,0.04684412546628341,0.01827566252859009,-0.1200892679949413,-0.0073813479469253115,0.01734772347765877,-0.07465678299999393,0.040876216087367585,0.10761387323190831,0.07313036373186468,0.003706615869609697,0.020601241487606052,-0.02860448914707681,0.033530117659089635,0.015818240525767066
TNFSF18,0.10285754523012139,-0.028800774582430504,-0.03810330420815521,-0.027397727914628855,,,,0.014686484442269634,-0.0594512615583937,-0.02967458684283578,,,,-0.026346369644958612,-0.10072951522205337,,,,,-0.008350726373075932,0.09849905912591525,-0.03201924886803123,
IL36G,,,,,,,,,,,,,-0.07059041176051947,,,,,,,,,,
RTN4,-0.07456191329615153,0.2590787658874647,0.020333450176519816,-0.00990532339574432,0.05198087726354083,-0.0043840945471821085,0.20245268025633117,0.22255440352743028,0.4101448656713082,0.12657653987230158,-0.018024907594523094,0.38720425151908083,0.18360975122321907,-0.06217012832694497,0.053037286661372494,0.013442360705834988,-0.0021417857907597812,-0.05359051583100856,0.04777992276118387,-0.003268633451873616,-0.04383217045290726,0.21760544282096897,0.017328497093401014
HEBP1,-0.032401194809876015,-0.12125656863208115,-0.03358862750835999,0.07325443956869347,-0.03419913850274064,-0.005344792485313027,-0.03942603968733393,-0.06440037714095168,-0.1591072360342326,0.03045973535134242,-0.01751449691465758,-0.1116928500900085,-0.034918569035718196,0.006237476100578226,0.03174073366735675,0.0017868401045757797,0.033478933845513294,0.01315235063773422,0.001974151620251563,0.018662778690305436,0.05418228697163122,0.006010294858406292,-0.030443655523739836
WNT7B,0.12220087610904691,0.2186928554188195,0.0499090329947758,0.002413414263395676,-0.03528709797501621,0.013526166883717638,0.006065047131924399,0.10169855284128504,0.3115436224860959,-0.011084729272877332,0.03836353261906808,,0.12093664796958585,-0.029004781430891823,,0.04762715551165943,-0.009461938838321422,-0.007742924829991094,0.06572041779304606,0.03831603158479123,0.012929244930983722,0.04402202550399905,0.1122026939398566
PTMA,0.07222593665681924,-0.013197390531187961,-0.016513264652418456,-0.0038657257399432425,0.07058823647681055,0.02535378496142693,-0.12540522169959864,-0.18323705211547814,0.0411671709042822,0.07330305867944098,0.010733025779118456,-0.42732895256745335,-0.1516863315154026,0.05193525659926691,0.022535332755992815,-0.1475419560445979,-0.12733763412049845,0.008309004268631412,-0.04925880348985218,-0.08235371844630028,0.11076832738351756,-0.14383512543463337,-0.10614731052175548
FASLG,-0.016485147707189434,,,,,,,,,,,,,,,,,,,,-0.02303033642762437,,
CEACAM1,-0.0019975195899492298,,0.02815067765126039,0.1360672032322178,,-0.00989959699203871,-0.018314284342819807,,-0.07990253706736368,-0.01535832636462835,,,,,-0.014595060744363932,0.1269839952538076,0.10559517814576976,-0.013359101653875084,-0.01339180283713952,,0.05960366067568394,,
PDAP1,0.05741665767405144,-0.04306963958309308,0.021322117610158942,-0.010462940362905727,0.024200918420079213,-0.007960069407304782,-0.08507827915757504,0.005990375892055376,-0.23742064824731868,-0.028312057883412553,0.005598808969597929,0.05133235405035751,-0.07920595167919339,-0.04256960837792165,-0.04465598515834803,-0.0020814499257193627,-0.07017605207043565,-0.040447583146781235,0.013376560805060984,0.057538322371230306,-0.03311316197074987,0.04817108533539866,-0.02902665036822387
QDPR,-0.025070061235401533,0.11797897087006293,0.02753864784192615,0.022349239338907676,0.033196906624201335,0.050757618285663955,0.1790332757371239,0.03937840465022167,0.11391259057660261,0.080306516872504,-0.03191717825670448,-0.38009256766284044,0.002867172522740854,-0.0639217480670878,0.017793422750088266,-0.1681708759214791,0.09447109900403605,0.1406991710567848,0.08591955640498547,0.014293113266083348,-0.007089443061227619,0.09755643138940702,-0.06508912224344733
POMC,0.040826916106210774,0.22248826638163396,-0.024574179693964155,0.050496180296834316,,-0.039777540562303,0.14454258395290914,0.028209545337102276,-0.024321880813639233,0.007284810816123842,0.024263688011000994,-0.041067845922013055,0.05479410902622209,0.027167135815257874,0.045197374631253125,-0.0023535210351497853,-0.0010996811234464216,0.04003530966783091,-0.03703320932270243,,0.12579991388390802,0.06268087902132218,-0.0019305611854645477
CCL18,,-0.038624206836453887,-0.03816008247759541,,,,,,,,,-0.10725218221653872,,,,-0.02192263062549804,-0.045007850375720644,0.044921839827657205,0.0025458142602729746,,,,
CCL17,,,,,,-0.00550949208496519,,,,-0.037009987257613695,-0.015877737241583204,,0.06432582487376387,,,,0.03751470366956418,0.0005924202975393499,,,-0.020874413213030293,,
VEGFD,,-0.04351819183789445,-0.03077517454964135,0.06983329243136799,,-0.007726669177929362,0.08729005104519967,,-0.07943324575218046,-0.031531931402681415,-0.03565523611095923,0.11214139764925851,-0.024888132257048688,,0.02188428905897864,,,0.03188156006282798,,,,,
TNFSF13,,,0.049701500867223754,,,-0.0020669034615532307,,0.03996226786803998,,,,,,,,,0.09259559974557201,0.011793097892174512,-0.040708152039211944,,0.02746568823350981,0.0551526722852952,
WNT5A,0.002426667073203135,-0.054768803451639356,-0.019402197223629562,-0.019108458521075428,0.006639767222760765,0.03514372784165378,-0.0953169502925659,-0.08645069217334815,-0.22493006394464274,0.04174072496420313,0.002184645152123152,0.08003470956894097,-0.03251010232979973,0.035050768177310655,0.0014559045113023837,0.10941375570291208,0.04244366409191497,0.011802617858126307,-0.040888479812751385,-0.057526241237346946,0.024189840883661693,-0.06796037185660823,-0.031144044396011157
CXCL8,,-0.15885434335285437,0.003417789274175915,-0.01751605851379387,-0.019304513096491265,-0.0054769318201393965,-0.07238201374624637,-0.020938619006255432,-0.1030918688231332,-0.025318915039449358,0.032160029490251096,-0.12201666150755865,-0.019665940938242487,,0.048944452601919104,-0.038598242786035755,-0.065425869949655,-0.1385137105780077,0.013119651763032123,-0.03689588822887577,0.004486610311249723,-0.18112856518832007,-0.014125918882854721
GRN,-0.03602511719557075,-0.1420832634018861,-0.08378131843475019,-0.043971918086578556,0.02918284531213482,0.027929907453543224,-0.0719650645034094,-0.09860292386841688,-0.30155335657385485,-0.014504728454105147,-0.05024635582799768,-0.27752263398999494,-0.013197392807281438,0.07207318350199594,-0.03368950943320064,0.11075090586092422,-0.0520295906029754,-0.0643647436878473,-0.07942938136789084,0.05127449373073846,0.01793122360414422,0.07715421958327442,-0.018124695493921292
MIA,0.1289578476862759,-0.01818855471008418,-0.024108956080365895,0.021840284301230688,-0.04702568666578626,0.02005813535979292,-0.0465113958101602,0.053979722663051906,-0.10564256872742275,0.0015489325755974578,-0.018364043085398445,,-0.014597014240285347,0.0535467480355144,0.06084680627302064,-0.03551869873674298,0.21488283223358892,0.19310293292739433,-0.05600270254539239,,0.10595388432802234,0.06263417476841258,
COL4A4,-0.019091809749473877,-0.04380865492162132,-0.0033291538241074442,-0.01573974707787039,-0.035783948955539886,0.058281788560040855,-0.06598024493644569,-0.03564387186143796,-0.028955045218591248,0.013915344734809381,0.03758372731063633,,-0.021403785578286958,,-0.059246083334657806,-0.027717054908287925,0.07716910190354076,0.08728180385765423,-0.04088686574766661,,-0.06130158945818072,-0.09368681991369708,
TAC1,-0.016485138738298866,0.2562219159872471,0.06578925014053442,0.04243509553750038,0.003105110790354765,0.08260091330940432,0.22845376859636043,0.18330471673468302,0.35732185943324696,0.12439912725158651,0.02898015220088954,0.31236807415084,0.1448074646163537,,,,,,0.03974431504966975,0.10671190945847901,0.07806147788637315,0.15762411779242455,0.1997889414860525
RARRES2,0.03659842478836314,0.06625677582138573,-0.0021598517424698004,-0.004923839275339071,-0.003479287572217617,0.06654004272669979,-0.1700901089078647,-0.10152267624911225,-0.35511033146158777,0.08303038270930563,0.03813041637033322,-0.09624837582442392,-0.021403849305535592,-0.014044006360570047,0.04117953941422156,-0.018521122999566594,-0.0725350953726409,-0.049589138790175166,0.00996091722076964,-0.022161930129659915,-0.011156649066392918,-0.1759266520531235,0.08332000840224156
FGF7,0.06874341155171154,0.0028445731877552363,,0.08819392305918325,-0.04255339598231563,0.02809821286188494,0.1585603703820801,0.010700899442196588,-0.07609544516503029,-0.011191070731476564,0.05654341460397101,0.07756856298227609,0.01319834946927878,-0.0090927067970251,-0.008433835166751094,-0.004052976854892015,0.04170435515291993,0.060839023671653523,-0.0029454805030067403,0.049949609803268756,0.013702712176230184,0.09717914359435646,-0.08096262181622849
EFNA2,,,,,,,,,,,,,,,,,,0.017020281452957156,,,,,
