,UKF243,UKF255,ZH881T1,ZH916T1
IGFL3,,,,0.05442476314494833
BMP1,-0.07440950834650684,0.09913700602900831,0.008097401966645698,0.04400620706795864
NDP,-0.10113230191830329,0.008998058634850889,0.029780187145965774,0.026947483640482862
TNFSF18,-0.018985867634820148,,,0.027871396964514888
RTN4,-0.03370980819894032,0.040374438527345936,0.004078420698735356,0.06986209131772277
HEBP1,0.02130945031583292,0.049321566029235486,-0.02993601374460417,0.0016239046867982177
WNT7B,-0.04431322610976175,-0.030606268476306587,-0.02094808198785802,0.007430652348476741
PTMA,0.051041838190962405,-0.034739424677702885,-0.027943209918564117,0.06629666567993744
FASLG,,,,-0.003987108902509743
CEACAM1,,,-0.013903546677970741,0.0013005150785785969
PDAP1,0.05227623357902098,0.0043083868067311905,0.028082074019989238,-0.013177799787810848
QDPR,-0.05141773959427169,0.007084283749975807,-0.003959060147089572,0.0920204461079348
POMC,-0.03584848658307934,,-0.022744375916970292,0.06021784248570471
CCL18,-0.025461609596575802,,0.13461491873966627,
CCL17,,,,-0.03577985977546443
VEGFD,-0.007977690148737927,,,
TNFSF13,,,-0.015612751068413795,0.015547266099705921
WNT5A,0.10584844964660586,0.023922886867483225,-0.023562583680297084,0.09681522166042035
CXCL8,0.10576081216294797,-0.029514520711294047,0.10835342575175058,0.0007108559175425753
GRN,0.016449763070533252,0.06142886664240512,-0.05965598666071748,0.0752365082227147
MIA,-0.03144229938785229,0.059930109915243016,0.01753193419793571,-0.013810255703364504
COL4A4,-0.02887926924398793,0.03965313613549407,-0.028020452066618805,0.08994605743008824
TAC1,-0.03616903327239167,0.03347843541489909,0.008674083770867272,0.0013005480863450736
RARRES2,0.006767025542795333,0.023631837389188576,0.007510567003795622,0.05247066823329882
FGF7,0.014411925688064335,-0.020699124017528315,-0.0113135807915289,0.05734565194139429
HBEGF,0.02939747659457927,0.018845045706919618,0.026507348948876498,0.08221279703806778
CSF3,0.054137309505593326,-0.02172486875775253,-0.0013720947407156448,-0.03767067264871076
