,UKF243,UKF251,UKF259,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.014337203512409727,,,,,,,,,-0.023562644823617845,
BMP1,-0.03386131905519361,-0.02182251809472014,0.016312472291498806,0.03612129363962363,-0.05156493466779171,0.010898647753719536,-0.0638191855650738,-0.02210811870502331,0.11998602123150508,0.04474915619811692,0.03679814809063498,0.02998114647140351,-0.02340372358117082,0.04970899324212677,0.07502150810508755
NDP,0.0013349323744998491,0.005116674196731522,-0.02633076330150173,-0.031237558952559703,-0.05519125598523037,-0.0563385731749781,0.00801699277259064,0.012957256658021724,0.07403781096017813,-0.017327316420501747,0.06814522120397415,0.002867998143307048,0.0013893041440664214,-0.017419484256137277,-0.071995002329848
TNFSF18,-0.023606092013659763,-0.027397729454258567,,-0.01893053756560527,-0.021290316801284338,0.09622985073630912,,,0.09668604035727392,,,,,0.024004296272037925,-0.023414032492027864
IL36G,,,,,,,,0.1383277774492715,,,,,,,
RTN4,0.11223432413796672,-0.012504295897631551,-0.02104639153812313,0.055191333656748776,0.0633373696947286,-0.07663480867016817,-0.07254065393669429,-0.01763907099676753,-0.01987508765407763,-0.004328282397645764,-0.00998327596813374,-0.08217463524239088,0.04889325372528961,-0.03426880085116097,-0.11714973863878217
HEBP1,-0.03638506384500953,-0.04481821729440372,-0.056852012525339606,0.016716962240714145,-0.016953807690545584,0.036397774319145176,-0.012723373813221441,0.05585677643460811,0.045322790439045114,0.08520795018525101,0.058705741695375964,0.048346893258357705,0.019403215718869486,-0.0022943029676061625,-0.012788379867472135
WNT7B,0.12893644390796832,0.002431594139011806,-0.028071514149326463,0.032164399832230565,0.15607559629219078,-0.036180043305471865,0.022999709223033484,-0.01657785612714247,0.21936696043250808,0.24666472823574037,0.09238874564650355,0.07980625946610082,-0.032415438457684666,0.0020596749583489094,-0.030230595243925344
PTMA,-0.01880596873921499,0.055201384559415784,0.016145928716184872,-0.03825522843239138,0.014611806393601767,-0.07701023601974522,0.07432382842071096,-0.01870513891520729,0.01805781461069802,-0.0951242130673665,-0.05458898576255054,0.020732723868095097,0.05118991080052135,0.021145932263524233,0.03482912191319743
FASLG,,,,,,,,,,,,,,0.06051933467830218,
CEACAM1,,-0.013060767434224829,0.14163242969701775,,-0.028016844304714995,-0.019851539066845565,,,,0.040643561846898144,-0.017325773589498585,0.02191194723884646,-0.004494931437051826,0.0455525061814386,
PDAP1,0.03893357303183298,-0.04023073107811214,0.016379035303666464,-0.00031908428575632764,-0.0313990211760461,-0.02711083711649346,0.01094962263320353,-0.03309078615548305,-0.03580638625800357,-0.055900609416286516,0.03671860495082423,-0.03165932757835078,0.04266763775382317,0.00762078731457993,-0.03762996697222838
QDPR,0.030507357114736653,0.0307591092075915,0.012684078355510844,0.02096505254094152,-0.06432213693180479,0.02948087700481697,-0.03108191528308945,0.009706313407557541,-0.06367606256784934,0.058455634513833406,-0.03159008212431828,0.028596909521515577,0.01738576356483549,0.01575273516337805,-0.07049265081334384
POMC,0.10593297435233989,-0.023206899981854746,-0.00945948936756865,-0.011839798095930868,0.056019390962995144,-0.014645674004122807,-0.030672850390316576,-0.032315296065635254,0.08507994323058186,0.028232448634547932,0.06554870392860081,0.04645874727182136,-0.01278537583895255,0.042359486188663246,0.03971756509352979
CCL18,-0.031657710382975844,,,,,,0.11644387232994435,,,0.1652675055798106,0.0318870767744147,-0.002443317720701757,0.05929730594265962,,
CCL17,,,-0.003120607867914081,,,0.053055350832612806,,0.034361290748902394,,,-0.022333367930185703,0.012284295012961837,,0.07119231509099595,
VEGFD,-0.0029454259911124796,-0.01870692897603575,0.03567046382873633,,-0.02401866174873112,-0.016771985261987456,-0.02072381762622409,-0.014767023523800544,,-0.03991059160574859,,-0.031453330963350935,,,
TNFSF13,,,-0.012959455411968692,0.001458406308677576,,,,,,,-0.03207388575240904,0.009239720204477967,0.007646172991100299,0.02377567648952615,-0.009682229053002282
WNT5A,0.10321898848944437,-0.05965107590494344,0.009464010718121968,-0.018881712117029645,-0.06854146867854799,0.006622392699969149,0.02893924807018854,-0.028122126550212338,0.06211617233853215,0.06747757396625001,0.041472989242444,-0.002460609837492858,-0.036050628170111974,0.021611024247091742,0.0856859683240401
