,UKF243,UKF259,UKF269,UKF275,UKF313,UKF334,ZH8811Bbulk,ZH916T1
IGFL3,,,-0.01284335398983861,,,,,-0.021486818656788285
BMP1,-0.0037222160901337815,-0.00566835713091622,0.0022264553832456067,0.015600259333991985,0.050084206097674604,0.012938193350080097,-0.012504774103692166,0.06498597219135947
NDP,-0.05503802170048439,-0.00876271161009733,0.0005046031388969402,-0.00589839568047653,0.005202295718258103,0.027244756738538052,0.0717897198899149,-0.02674975167683245
TNFSF18,0.10107611715001041,,-0.01907199510685783,-0.014339159142729778,,,,0.034649312468571926
IL36G,,,,,,0.0834093336200426,,
RTN4,-0.08805968614010479,0.02644856341839446,-0.024858916776934147,-0.03454149429638371,-0.0532806452730827,0.01973994738288993,-0.04798363665071586,0.003978371066446444
HEBP1,0.02255511382117548,0.03289523846246478,-0.025297332676160945,0.0017310280938530342,-0.0521850940239194,0.049714130143424476,0.021665386841345006,0.05499196093011759
WNT7B,-0.06307143968636594,-0.026695716414714903,0.021407006876708698,-0.02653813684100264,0.02163131389913118,0.007259256847078881,0.030424834406689517,-0.02558731127887735
PTMA,0.11604960565238323,0.05609476373609219,0.010435750190117856,-0.038677460890473137,0.030697038232120947,0.009704188426710593,-0.04786706882314808,0.04477095101124489
FASLG,,,,,,,,-0.01863551049069837
CEACAM1,,0.007577904255624839,-0.025097659301006183,0.02724435941714569,,,0.18644161957834487,-0.025928575789520767
PDAP1,-0.0050776488473423574,-0.0499819598888488,0.01767739337372461,0.0345042325759809,0.03663256653999689,-0.01791946851443041,-0.03805762865031786,-0.009389454754395152
QDPR,0.059373334862565914,-0.04047041778700892,-0.015699922085637977,0.012018037126544482,0.023859632606184917,0.03814621520077708,0.0351739930841241,0.01896528165761022
POMC,-0.008201822331809787,-0.008256626000039619,0.04032871962558086,-0.016638026355228753,0.045738182893896154,-0.02946575504226461,-0.018935689157925765,0.029450440677063157
CCL18,-0.04159889107006679,,,,-0.021004942953095046,,-0.009776188545368146,
CCL17,,-0.017867072278645695,,-0.017883723199517667,,-0.012563672860904911,-0.02021140790428591,0.07941303274801349
