,UKF266,UKF269,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,-0.012443411161902857,,,,,-0.017325835485764288
BMP1,-0.003981786838245327,-0.06818384701510323,0.017022867280525173,0.02079835011237717,0.011359247611576799,-0.004076000396602911,0.014795106039913285
NDP,0.0032379771917097197,0.04824912803922349,0.0016030703229160004,-0.015904810678916727,0.010277176774863494,-0.033732005073076096,0.0249338485362521
TNFSF18,-0.013966647727821385,0.0026401212525101617,,,,,-0.029225586923054967
RTN4,0.10734834444655221,0.04793596463947247,-0.002326832461750807,0.016204756218176797,-0.007060100580029357,-0.005348204310180647,-0.006405352727013342
HEBP1,0.04960645727900204,0.01022599748974945,-0.03146424027973868,0.07480791583680164,-0.017100515731940994,-0.02060082877946648,0.059567431159613084
WNT7B,0.02002436941665752,-0.04137604271167197,0.0037173139972968916,-0.025427434202782862,-0.007856538945097235,0.0031288169641753793,0.007289852928323614
PTMA,-0.1004700987564283,-0.014168011046178304,-0.010416995652309274,-0.04373871733180312,0.016316669489217447,-0.015080820031250509,-0.030435553220829473
FASLG,,,,,,,-0.015026691206009177
CEACAM1,,0.08791728742122001,,0.007345915726505796,-0.01605573685466751,-0.017006893398305457,0.019807764627734713
PDAP1,-0.04905596648706247,-0.0296271366145126,-0.003735813238309031,0.017368815145336745,0.0075336746616073685,-0.025357341647447258,-0.032862141099081255
QDPR,-0.0155635719537926,0.03250736721240462,-0.0340746449535055,-0.03252846179459248,0.021464375652436047,-0.04957095952896634,0.0031905071016524633
POMC,-0.003871435265948715,-0.03134482245013668,-0.011319598577841164,0.01503531113678973,0.07315602338421053,-0.02782104347833611,-0.023900864059020036
CCL18,,,,-0.008869049749249144,0.07131755983208263,0.025667731031708642,
CCL17,,,0.025424210082227096,0.029279769817798052,-0.02317746411978302,,0.1073854856582463
VEGFD,,-0.020846051563642533,-0.019861939538874086,,0.03376649254187798,,
TNFSF13,-0.01354473468891411,,,0.0192474318978692,0.0410702489983925,0.020772449178996788,0.07268139262415692
WNT5A,-0.036989496463887446,-0.055954935176993466,-0.03066383657301053,0.0019420369993464325,-0.010861952309933018,-0.06930185083056184,-0.02821586421421503
CXCL8,-0.019266506594925657,-0.023191071160172067,0.044379700192300885,0.028824365820569887,-0.028530394396798702,0.03006028230051263,-0.0025836267482903337
GRN,-0.056851551311472605,-0.08688368592127713,-0.01605038999098587,0.044405670197176346,0.014060519666061437,-0.04207350026628617,0.044813751997804095
MIA,-0.02449149257151336,-0.03554575242804128,-0.0092292258060529,-0.004967361163037308,0.027156292841495067,-0.034762283340784295,-0.024173150649896277
COL4A4,-0.01288721664449056,-0.012262058085782093,0.016765845803470947,0.06067745370084762,-0.025707745161879462,-0.023118314361495553,0.025100909765760054
TAC1,0.065594086743231,0.05043813396362357,-0.004322181293547493,,,0.06561350121624682,-0.01790488517540383
RARRES2,-0.061533237326266615,-0.07051580027386053,0.025879542223030492,0.030856764945899937,-0.051154146777806594,-0.07257094262967761,-0.011991558872930779
FGF7,-0.03693693014869462,0.01140556522426393,-0.018357444010730816,0.01437098569990938,-0.02441152619260186,0.0018991911146216086,0.068722233867108
EFNA2,,,,,-0.015259903381044805,,
HBEGF,-0.06137781452249544,-0.032565821979462055,-0.04513809130297888,0.06352078967192187,-0.03556213048986297,-0.007330667419636474,-0.0023656643012996037
CSF3,,-0.012973021439447022,,0.0679704101329188,-0.04594516838994631,-0.024381704805419957,0.10074278274421918
PI3,,-0.014607793366166816,,0.025336373485863393,-0.04127472745284962,-0.07076555637300821,0.035580760969853596
PCSK1N,0.05665667769676017,0.05706576407635264,0.038827631603520395,0.05513302238112436,0.02891239947507892,0.003177214626262962,0.007824966177246278
NTS,0.0566842545175315,-0.01594540389153487,0.021797174945114593,-0.031545014871720255,-0.018591296498290225,-0.000978532252383883,-0.001355300868569692
