,UKF259,ZH8811Bbulk,ZH916bulk
BMP1,0.007574120041705894,-0.05214963340509002,0.009122353847937456
NDP,-0.06341195221067585,-0.019894524719215493,0.015796850401402798
TNFSF18,,,-0.024308728173287022
RTN4,0.025816864638481974,0.03759764883259375,-0.03915901367947913
HEBP1,-0.014407723099143684,0.002870344533133576,0.05014707434836229
WNT7B,0.06487900062903225,-0.029892569161843113,0.03950567813454122
PTMA,0.019542944184695252,0.026586805830642577,-0.009713859274207445
CEACAM1,0.014811178941440207,-0.014481558073078783,
PDAP1,-0.003369463499203988,0.0077543191374262604,0.021044684310463996
QDPR,0.00793585178026019,-0.018112409208327938,-0.049231566140210535
POMC,-0.01583232470624024,-0.03392512016807765,-0.02779110525846867
CCL18,,0.01017581590828856,
CCL17,-0.016496629969522007,-0.020905038222506937,
VEGFD,-0.018379067504283777,-0.014481558073078783,
TNFSF13,-0.011379006147495508,-0.022723061827347124,-0.026444428863177882
WNT5A,-0.0168201369158496,0.010140715503814957,-0.015272515221707828
CXCL8,0.023497394310776736,-0.0944780943130336,-0.013102968572260539
GRN,0.03718273205475055,-0.06518408463794748,-0.10465982858547482
MIA,0.003095918851777107,-0.027695174933897143,0.0009331911118401841
COL4A4,-0.032508918933736794,-0.023187238795673262,-0.029555653413092572
TAC1,0.024927693263645037,,0.015450445611749916
RARRES2,0.01027977773637224,-0.053650905411881555,0.05879304543666657
FGF7,-0.009462839383356559,-0.029720999056401458,-0.0071991311613665895
EFNA2,,-0.01376375179803281,
HBEGF,0.031220549635645137,-0.03003340014480992,-0.019994506127933454
CSF3,0.009994934693023866,-0.06504288142903794,-0.031089165754314498
PI3,0.029073829536023648,-0.04478049516790409,0.007656919352768873
PCSK1N,-0.001185360529665833,0.040292848832856644,-0.015635009905117903
NTS,,0.05766082232352224,
SFRP1,-0.014393947302387237,0.033771996341045066,0.0013206304365249281
CXCL13,,-0.03536300200259471,-0.025217536545531955
MICA,-0.005015978465198571,-0.015419039976714077,-0.05187569132424473
TG,-0.015533349633428447,-0.020652265096570845,0.0457997221927621
ADA,-0.04860118684724544,-0.022739819465811644,-0.01559680959479681
