,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,-0.017760859572056642
BMP1,-0.02590950703891464,-0.009244755783941468,0.04452521374942206,0.03038167421329071
NDP,-0.016111546069027195,0.03787248667262285,-0.028394950756577768,0.03277555290578298
TNFSF18,,,,0.029819799651834056
RTN4,0.08326495858278042,-0.010294773719786786,0.07136290092104298,-0.051838939141334625
HEBP1,0.06814387069989133,0.04976541757481181,0.020221825673510902,0.016880856336009685
WNT7B,0.027542492427775074,-0.005353825687092564,-0.021514601776477266,0.029466354986297315
PTMA,-0.09159637852520518,-0.03598122820015654,0.04371937685610054,-0.0066484310586910865
FASLG,,,,0.03806764097519753
CEACAM1,0.026501610786855256,-0.015175140732945847,-0.01427955410097144,-0.021432386099447854
PDAP1,-0.005225048248539409,0.0011110774978041757,-0.061312216274330554,0.062478794723263134
QDPR,-0.006819386806988657,0.0006232493339022945,-0.03623406491051962,0.06090606610997115
POMC,-0.013559780785391832,-0.022605980614915245,-0.023359474666546847,-0.0013559717885588208
CCL18,-0.025795936552275918,-0.0001492201138060496,-0.0068657142871182885,
CCL17,-0.017965874763290483,-0.02190626833475179,,-0.013961984451285596
VEGFD,,-0.015175140732945847,,
TNFSF13,0.14195585899482263,0.010318157842391667,-0.016034982203472815,-0.022749888303878654
WNT5A,0.007626822759074039,0.008739741671430984,0.05768220143798243,0.060199540868786164
CXCL8,0.0203952135697678,-0.08580375917626949,-0.041898270115101395,0.050116820044531635
GRN,-0.050492944284626896,0.03812971924616963,0.02084076815961017,-0.013722023993570179
MIA,0.04935087905667336,0.07624739875875604,-0.0643844662492549,-0.050759624716490176
COL4A4,-0.011643074674190113,-0.024297773081950975,-0.02877823698415912,0.01564821153793922
TAC1,,,0.005150281073862367,0.025952603672013037
RARRES2,-0.019847300252193154,-0.067380358176998,-0.008497538117078384,0.07231532108964733
FGF7,0.03066993527975269,-0.01059869122644885,0.04069414203097199,0.01788421074701221
EFNA2,,-0.014422955699550578,,
HBEGF,0.02030596449282818,0.03527027092953384,0.02179007190128157,-0.012008157371351795
CSF3,-0.03958016939029746,-0.03740925496439593,-0.02047169137178221,-0.014699815736881049
PI3,-0.012144971117290583,-0.07322281005559216,-0.07122910133930377,-0.0319378160612172
PCSK1N,0.057492781932718916,0.07036035694611655,0.021793019158883785,0.010485621298007987
NTS,-0.021813238772211196,0.1007648171189329,0.026944250725415536,-0.021768422621550133
SFRP1,-2.3065298729788468e-05,0.07430191391733923,0.031535216459787976,0.018139863071707115
CXCL13,0.04169599394662908,0.008900360553815262,-0.022279705929323112,
MICA,-0.00380812587578577,-0.017082152472453812,0.0220446258745011,0.021700167938404614
TG,-0.02387215583429322,-0.021641388841797383,0.09198564773511814,-0.028667444564749858
ADA,0.031060309997965153,0.0632012559292877,0.00844116995434109,0.052151917989986876
LAMC3,0.03296824262639227,0.08900557645165721,0.06641976926581433,0.020448519657027854
CCL7,-0.010930537844195447,,,-0.015403981970165855
NGF,0.026643550815227197,0.09937767712329829,-0.01257123402565996,0.07106518991765971
TNFSF15,-0.009688625409532201,,-0.012712568886300426,0.14333205351321027
HMGB1,-0.00993838154804449,0.048983904731668124,-0.010267064763552027,-0.06737648525670305
ITGB3BP,-0.002865199980481672,-0.01907693320630661,-0.0156308264738872,0.03725218667276952
AANAT,-0.023622318166300744,-0.019409391977010703,,0.08408615983941323
RELN,,,-0.015355405523966291,
IL15,-0.03317341367557802,0.014863402710361236,0.0528975819410096,-0.019712130833424678
UTS2,-0.02011613277910174,,,
BSG,-0.03426690666036393,0.019484497810558717,-0.027925201978065275,0.04646273142817034
ADAMTS3,0.007944358436172874,0.007846759687577549,0.0008946377149125267,0.061370554063008446
CD34,-0.014537087893383926,0.02872019003831774,0.03363346352699616,-0.005138494403114971
PLAT,0.09736085550970776,0.04651213200829088,0.02397050591982887,-0.003591262100408632
NTF3,0.14539934979268992,0.09555095469789264,-0.025017457046961022,
LTA,,,,-0.0029499838564305777
CKLF,0.021429432985830495,0.06839295424926557,-0.010728078660557017,0.0040019589574849385
CD24,0.10224885276777433,0.027502845145611677,0.05248352057816449,0.07115198414551288
HSP90AA1,0.03225094948443906,-0.06049935336428483,-0.028457250421439564,-0.049849936292787396
BMP4,0.06638129412091393,0.06999854282034505,-0.024278400310242358,0.011963063813276057
SCGB3A1,-0.030165466605955163,-0.027609243597847388,-0.026399994201678656,0.05592001805365688
IGFBP4,-0.03136198098224037,0.052735498457009915,0.025279030966265333,0.02278729646849454
RSPO4,,,0.0028346279460589267,-0.014363952052011679
LEFTY2,0.11378900454846673,-0.016583807723071827,0.0386539375930687,0.009540931564395703
PF4,,0.10798564576364725,,-0.021934721187492068
ANGPTL2,0.05569464674989234,0.05172178098126452,0.047597009939500404,0.06044835108077896
LRIG2,0.052356341135127965,0.01775911497351122,0.030322906558909245,0.07625960760189213
ICOSLG,0.02523960338391853,0.09817744338139639,-0.009300326742990033,-0.04886123003156357
WIF1,,,-0.016527555990680606,
NPPC,0.047445691914930976,0.0073702956611233885,-0.02583845503804203,
LYZ,0.01209032547006015,0.02596759958347528,-0.011466744274713302,0.005376189169340904
EREG,-0.05465638315881342,0.011594432643188272,-0.02214438374925521,-0.007122633406549734
SPTAN1,0.06414879888540936,0.03258421842991984,0.026432139405137094,-0.020985109339598323
PTH2,,,-0.02827496641219325,
LIPC,,,,0.003316617745536574
COL8A1,0.04972669506504229,0.06992904950270522,0.02716482373905868,0.03713348861292824
GSTM2,0.004074480900914654,0.002730700954999183,0.093102926849908,0.0688189757072692
SPX,0.005602121874663568,0.008031667414590838,-0.0006537639132770535,-0.01146630812935754
MFGE8,-0.046128283794810425,0.02321166904803741,0.0031479020795147127,0.03939078124791191
TGFA,0.0018018024942469222,-0.0015441595400898904,0.053982042991157206,0.0425320091768143
SLIT2,-0.03176821582108116,0.046908045806109834,-0.025400214696021495,0.052129564252889886
PLTP,-0.04487765784626246,0.0678237444117859,-0.0038450783809010265,0.004542347000106053
APOD,-0.00656087654976582,0.07124609530698382,0.061744343862740914,-0.0004535110634733077
B2M,0.018489531658069498,0.09325970206167311,-0.00483530023201393,0.012580582176248127
OMG,0.030162083095630475,0.02594937840223596,-0.03360839040894412,0.027085058862730473
CXCL3,0.01379178175541484,-0.0387279542991132,-0.041240976294409135,-0.011263417262863864
CXCL10,0.034685665826397594,-0.017731366142069632,0.02304129560278907,0.026719348026549416
RSPO3,0.017675159619005454,0.04002850014223842,0.03980590567020024,-0.01563202959801877
CORT,0.04318105030334559,-0.013833678684968632,0.09924159534045932,
NCAN,-0.008364096633877879,0.05748400214029043,0.04473605902044422,-0.0356970007637982
PRG4,0.05914111346411362,0.08004124587332902,0.060920971721733025,0.0677015505692729
ZG16B,,,,-0.019491458591561275
TGM2,-0.006952527118145591,-0.00527584995319775,0.042669713012287884,0.014586749674382156
VEGFC,-0.03465312262262118,-0.02771765028555866,0.006363456314217884,-0.007358757669839479
WNT6,0.06822323695339738,0.03704992570263305,-0.023595996263888825,0.012114192138627466
NRG4,,,-0.007766892015184267,-0.015632031349996335
PMCH,-0.027369142246226486,0.021700546777925354,-0.0135176577103448,-0.006788096860964671
COL9A1,0.03097411006421992,0.0541024680863891,0.026906438041303004,0.07677142401850909
GDF11,-0.029338119192503558,0.04377440028421955,-0.037195577093802445,0.02948188747296852
RAET1E,,,,-0.01714822732236721
IL24,-0.020405772946473232,-0.013008857048407298,,
SORBS1,0.10897976349584891,0.006489151693631756,0.033819484396260195,-0.007399436002553704
DLL1,0.029810281925408782,0.01048692550517755,0.03341806033873397,-0.021734391852854876
TLN1,0.02715760411726312,-0.04817989315320341,-0.005663150464978684,0.021002654821563535
COL2A1,0.004204342873159226,-0.03390506097496991,-0.028477123706491598,-0.022749886545233737
SHH,0.03478718207589401,-0.016658829808332994,0.018548859179330253,0.03485847852234192
PON2,0.03959060215969724,0.10269048983389462,-0.046700791064389,0.006445691887897844
ICAM5,0.07496453707187092,-0.009562416399018158,-0.05030854673098837,0.016734498213014967
HPX,-0.025697068547672394,0.0334830180754007,-0.03741749250359642,0.03864965491659849
SFRP2,0.0015008456091862156,0.06920497214698171,-0.010892114432206938,-0.014702649026839999
CD70,0.04874101023741859,-0.025408839543550263,-0.03418988722432237,-0.02384948831750661
HP,0.009061649722894265,0.024908890409797695,0.001080657214385666,-0.004811450396808441
CXCL2,0.05900119142140547,0.003842045324881623,-0.03576660737780724,0.013125962409664032
NPPB,-0.017163639527110214,0.06264875854269576,-0.02020353656098208,-0.01585695486179434
CCK,-0.003167958271551054,0.013896236859272045,0.007110293412420333,0.09913319881567643
SEMA6A,0.08623843328341108,0.03936387901832036,-0.020727210038965355,0.01682659792202569
IRAK4,-0.03405828452113678,-0.012374243772334835,-0.05315273614081949,-0.006874255536120123
GSTP1,0.04575335548613047,0.028037971953406807,0.0007617244519887677,-0.009229040780234059
VCAM1,0.051445808065931437,0.00304127849014608,0.012389274628970636,0.003694737606698756
NXPH3,0.015506751354931934,0.08279203162701845,-0.008777544768675533,0.02473430962120342
MTMR4,0.02292780265857275,0.02395098192661208,-0.022940362040659606,0.04619740207628908
LAMC2,-0.02508703637157889,-0.01708427951980196,-0.013120995262596812,0.051555186361784376
IL10,0.031248541669334818,0.005287342519622609,-0.03267396250415294,0.003975953024527111
SEMA4D,0.014676110617624381,0.0643199560555591,-0.013803757261207531,0.02400923093200697
TRH,0.04545596748262983,-0.00836121410728048,-0.0068107236921534165,-0.017760852835976983
SEMA6D,0.006147850504582362,0.018145755778563998,0.021962385595245385,0.011540980828065197
CEL,-0.030901424015529193,0.01681239637209354,0.013028544052395678,-0.041527854511383716
PDCD1LG2,0.03002974619738295,0.017927230307584092,-0.04711852722341152,0.011295780482259616
SPINT1,0.11380668076178778,-0.01765739674441345,-0.018779654856086767,0.010900833362905813
CTHRC1,-0.031070322439035576,0.09286264367672106,0.07162168131009392,0.01311996364918926
PODXL,-0.029687966282211018,0.10370178220696519,0.05812034982154135,-0.030859105953400023
JAM3,0.006048585942302104,0.03243228493912583,-0.02294608960643229,0.07609861664978376
TGFB2,0.08605647431420536,0.05344639251565939,0.05257711546447603,-0.017196547974739757
COL18A1,-0.015208088007939147,0.05431765678439971,0.006748530090117515,-0.010268384102836453
NODAL,-0.03050459476651181,-0.01606900285533896,-0.015004842175612133,0.07547118297360474
INHBB,0.021103022776433097,0.0055134923148454605,-0.002848234218572536,0.02918686431934792
LCN1,0.05052709556040569,-0.015175140732945847,,-0.017960741090878123
ARF4,0.015487148534362302,0.012796108663160152,-0.02087547264415557,0.02019959989399867
CXCL14,-0.006331246140388685,0.04092137382352151,-0.062274739051423854,0.015484353106496377
LIF,-0.041741366947638726,-0.026221710264985553,0.044627445907053,0.040725085036815024
IL17B,0.04950285902934662,0.02604612358293165,-0.018667417946766525,-0.0012740202301032468
MMP1,-0.044609698938582104,-0.02501243867152732,-0.01351765663982902,-0.00029265708489424483
MATN1,0.023678336003853478,-0.026840614663469733,-0.019238778235789473,0.01852572552757008
ADAM28,0.01636020871521045,0.02598680823299069,-0.031962070265608336,0.02767472565387881
