,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.021561446295060082,,,,,,,,,0.0858084958417444,,-0.023562641555682082
BMP1,0.1541571355091513,-0.00791376253609159,0.04185729219058548,0.11238796296283261,0.033761944099497995,-0.0060076211065515145,0.10890686158623121,0.0029842562874594814,0.0042903628336465995,0.08288801390239188,0.012035201788641915,0.07526498546534921,0.012908958427769903,0.004233810907106216,-0.00032464956144399485,-0.015737981669027123,0.010921338462889072,-0.034161749202084105
NDP,0.07952735710777276,0.04859868247725167,0.09196848273851357,0.11652577276004511,0.049786363859824795,0.006954523457643256,0.038076564932401066,0.038931874341891465,0.009933509641426945,-0.03970830809541097,0.02592992152406221,0.05474344455720653,-0.008473924637571649,0.01631220266568141,0.10198911349944406,0.032782293102853244,0.026469991556809812,0.07713278306506455
TNFSF18,0.029663507508689197,0.13814424297023584,0.07606098083151341,,,,-0.007682065255788269,-0.021599655607657947,,,,,0.012929861386233739,,,-0.019900361552742992,,0.07027813394735677
IL36G,,,,,,,,,,,0.035775708760546664,,,,,,,
RTN4,-0.13643317999541021,0.021316418454784103,0.07060279152400865,-0.022797837428378178,-0.018841385633094315,0.031404601139569874,-0.15783563523760996,0.024469057726112416,0.02765056122790616,-0.0050010047724934024,0.0007010357800772349,-0.11130458201534521,-0.11426820207275405,0.03710786288623373,0.02018867441458752,0.003784695728563896,0.07012729952941026,0.020783809862979466
HEBP1,-0.008318412230932309,0.021455290085657542,-0.016087545918298692,-0.026238611577656668,0.03342753116572763,-0.013291148486860931,0.08291103818330224,0.013075287089420334,-0.02104411567556699,0.0011728324410561328,0.010397863322595336,0.12159847419415531,-0.05168827435353753,-0.006216475003760628,-0.016021707964621528,-0.02845000022785345,-0.06480899193667473,0.04953596835777565
WNT7B,-0.003500797532642221,-0.04953081814186762,0.00866451710525505,0.06420854477460841,0.006875824169804173,-0.000279679741258747,-0.08506549687966307,-0.02090126943512832,-0.015630376890434814,,0.0024228382914871626,0.06755831682662923,,-0.04977364867141607,-0.023502797917616843,0.07129724621414936,-0.013056841842907306,-0.00876776152154811
PTMA,-0.1418052688206878,0.02693975161112697,0.019285854636236464,0.06784751357644211,-0.03303890180759292,0.03534496910080571,-0.04470544252343275,-0.04459087336735059,-0.07681078863717955,0.04662374778983606,0.02208718202099836,-0.04768884952938409,0.07171235640430673,0.013293407314198724,-0.03803993113635762,0.022168250869500795,-0.025954834776701817,-0.12008237047923824
FASLG,,,,,,,,,,,,,,,,,,-0.020435870982731752
CEACAM1,,0.042334975009114394,-0.016246416174717608,,-0.023330087642902786,-0.018762220603672823,0.04554226450199576,-0.017207675412555058,,,,0.12817564186742994,0.05426072234190008,0.08265848690210381,0.019305383780461274,-0.028594741925425007,-0.005617238091580694,-0.01398931692099467
PDAP1,0.04945048218643442,-0.008408234883118716,-0.031767690374241216,0.044579757129971996,0.011192304608561257,0.009459185375615315,0.14633644829154277,0.007876180509293387,0.0017632736761719022,-0.04467580751610697,-0.028636519274195624,-0.07029665926174451,0.03889718287746802,0.006887263808729746,0.04792548865324251,0.04548741365131996,0.027216071321283338,0.01964646487441763
QDPR,0.07951162942654981,-0.006704973074539134,-0.014755775030925634,0.10402937474987164,-0.012271655789223894,0.0041307371371524775,-0.156795914694341,-0.005805504032331404,0.015749890960692643,0.06446216257273912,0.025662816648197095,0.027454130475527562,0.00517801524891174,0.05689363630789173,-0.034628778986390496,-0.013931433013294931,0.0032166878451285142,0.01678805600480956
POMC,0.01113887645501781,0.05791929688203626,0.050447193045132475,,0.015068494735370192,0.03361199898906426,0.09630709412158707,0.030714781113928762,0.022677802824665905,0.01954511061349058,0.00949047456587072,0.15323990033428853,0.016457782182019962,0.04165823765936922,0.005646422668652175,0.028784516921089492,-0.03742889655188116,0.015453872182446584
CCL18,-0.029956993279645374,-0.02658320788670192,,,,,,,,-0.051063721972667106,,-0.04348955316463572,,0.024157598356847308,-0.007035034615781586,,-0.03459779589417028,
CCL17,,,,,-0.03045267074481643,,,-0.026938975866525383,-0.019346024958721706,,-0.004466450056834692,,,-0.019787052239114568,-0.029747133196559417,0.013177216367793529,,-0.01852282169660521
VEGFD,-0.033752775453752555,-0.026583216328115503,-0.008905337790662663,,0.09040598771283727,-0.017950630391213456,-0.002712293361198043,-0.02870120025585524,0.06671706694812567,0.08466431378412528,0.039749901000888516,0.08431679892807349,0.03749373346075048,,-0.020606747153888966,0.012585186533705668,,
TNFSF13,,0.013728450892933654,,,-0.006705940079966747,,,,,,,,,-0.01549839852316281,0.07227723949608597,-0.007508599579721106,-0.025692859050659496,0.06685428207827161
WNT5A,-0.025004536023865084,0.025034283658877124,0.06972107451568609,-0.015302361367627259,0.04356886135906072,-0.057952539052513075,0.08706819241555125,-0.014021760791237091,0.017683377461108967,0.0046988890056864135,0.001954256658788364,-0.04733780221165576,-0.07900873708138549,-0.01000585000189577,0.10896882261347773,-0.009337590653335679,-0.004255841903325118,0.03395956439835059
CXCL8,-0.12922102705916277,-0.017133173848425186,-0.02178839748741224,-0.04144238941295397,0.07255791103202819,0.07452547837092391,0.007601394143900068,0.018227442199427197,-0.013214850915504076,-0.008645546146761907,-0.027678912719468332,0.05295800503565242,-0.0646012362912216,-0.03894211646516879,-0.023888631036127494,-0.006831856573671894,-0.07170216030306482,0.0016912699442150892
GRN,0.10828314887639456,0.011813017802886882,-0.007486273193870636,0.15516722222243043,0.003565882662704408,-0.013185408883064399,0.07449014536960821,-0.0006796498158213845,0.004194715216117971,0.021427504007838057,0.011550113617214962,0.09872640812288387,0.017679251173720316,0.021384017369584857,0.02445200285601172,0.016129859196040576,-0.062437541900124266,-0.029163937054285122
MIA,-0.0425357367823245,-0.039717646645181036,-0.004674916920417907,0.0858094905945749,0.03228317946553859,-0.04045923624075956,0.060571508860061754,-0.0027534925463292468,0.07343944071030242,,0.038178775743121715,0.04773162058470944,0.003784382690506178,0.00486528015297223,-0.01550761432566384,-0.01452872795379273,-0.05431345774562767,0.00924879249650814
COL4A4,0.06690400534618414,-0.009714130847026495,-0.014902192006667174,0.002884471051664196,-0.010219884613203079,-0.001514345823349604,-0.021247204921826867,-0.028125124260777318,0.014835183201823919,,0.016360802160961616,,0.012810123476716034,0.044779342734074454,0.05300561459988706,-0.012117601202458006,0.069114180066218,0.02409269583801413
TAC1,-0.042554870011753836,0.0498785738737646,0.031798845521690176,-0.016679913831042576,0.01085760856097953,0.007519060009977592,-0.07690309155384133,-0.03463774752183675,0.021543547400141222,0.0880170393125657,0.01853744516880924,,,,,,0.008154762092091771,-0.024350132599973488
