,UKF251,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH8812bulk
IGFL3,,0.013096731864741714,,,,,-0.030977390251818435
BMP1,0.02458168954586992,-0.020985643002337774,0.016599494449509013,0.011007988246453238,-0.06158712079297609,0.049286975615230245,0.06841655385771395
NDP,0.008362099482562384,0.056467734661201856,0.05820864876956539,-0.06931294338071269,0.0678208566575815,0.04234153825491349,0.04540852238962248
TNFSF18,-0.014469458565558936,-0.021025139075109934,-0.023454320148030137,,,-0.03219190850179234,-0.03194643578365255
RTN4,0.0015306040379769368,-0.017060476021887733,0.058674543588671094,-0.03488838873785541,-0.03385980529152916,0.18098018505878932,0.011475060450527095
HEBP1,0.012870642536670456,0.03070123113397678,-0.020500996144421264,0.00712296389950708,-0.05274731800115453,0.12091611512908487,-0.007262467655123823
WNT7B,-0.024972053425117047,-0.05860212832295606,0.02008984328818474,-0.012182918027081085,-0.02264210228718648,0.04845051192636824,0.08076021888609067
PTMA,0.0002940645280220591,0.06432798606908707,0.0420483055712082,-0.006246402660071884,-0.03719349401698915,0.020832313677679612,0.04935615609170052
CEACAM1,0.01568399609102595,-0.02766788552046344,-0.004495033533041226,,,,0.1279573603252065
PDAP1,0.0512507325811785,0.002263422924163834,-0.00480166925714904,-0.008815313676841689,0.10452038893856003,0.014583718466466031,0.07438298887341196
QDPR,-0.06782568417528191,0.09511399353499422,0.05589873778160997,0.01603588642864051,-0.012368139062517257,0.012446582006833443,0.014359627449097826
POMC,-0.024158910636939576,0.023168356780846108,0.033585832760789365,0.015451175793481351,0.08066244046137315,0.007222040286858015,0.041465512325732486
CCL18,,,,,-0.0014928870033826308,,
CCL17,,,0.009672615234409623,-0.015079037304993272,,,0.021664491678243025
VEGFD,-0.0274493715226038,-0.023719501610921595,0.058821130257061975,0.03964339854637163,-0.014116245055070031,,0.003983710925417053
TNFSF13,,,,,,,0.0397049504659136
WNT5A,0.013859074099985465,0.0333582843266201,0.034856836483948696,-0.036474945906420676,0.07156550476299246,-0.026507772171908084,0.05509921739020129
CXCL8,-0.02570196451762883,-0.04716350985204938,0.0012648459800546625,-0.010300164005783288,0.1135669901139005,,0.03386543040736448
GRN,0.02806807961024884,0.03448493932431991,0.06471247934859829,0.01948537654769177,-0.02192118994667358,0.06576422241481093,0.05162562580265798
MIA,-0.024411551420150557,-0.029613526400837357,0.004420004404809611,-0.012579167098225465,0.06911779764011029,0.003029879301291802,0.014328270610766351
COL4A4,-0.04105295859270068,-0.013952277995233976,-0.0027315672489695996,0.03644472936825334,,,0.04523474949616225
TAC1,-0.000795306070335341,-0.04858705266698443,0.032214652097685446,-0.01588941097290439,,,
RARRES2,0.02352002529620164,0.05093210791362656,0.051634021054690483,0.059696314898738743,0.18541184478398412,-0.039114650674667385,-0.05054679516008947
FGF7,0.010776585658319262,-0.03976186793612564,-0.015590355465489128,-0.0027480317703460016,0.08759196925400056,0.01952322065888097,0.013123947549839083
HBEGF,0.031273283866043805,-0.05584155122348465,-0.023042117156921303,-0.028404825698614227,0.07642910723927157,-0.003406059776746324,0.031215719982651758
CSF3,,-0.014761241570953675,,,0.10073300518940446,,
PI3,,-0.016621352836194356,,,,,0.05525907029726347
PCSK1N,-0.04181386206730122,-0.07264909358611954,0.04609563110547793,0.022497989475113063,-0.02225103396732718,0.0946059092903021,0.06881635404439915
NTS,,0.1522939095453663,-0.026515121932032103,0.08709389355605485,,,
SFRP1,-6.441455289558418e-05,-0.04369521949271032,0.0032270218228865367,-0.015079037456851562,0.028938586300831164,-0.048269850339493076,-0.06824397146701582
CXCL13,-0.04634152375708872,,,,0.07282971703849253,,
MICA,-0.0005820879007777111,0.0349039189541754,0.05051521183278161,0.021174954313313055,0.05869385098771708,-0.015080263428023764,0.1356835188029501
TG,-0.013344083388677168,-0.017815497917743787,0.020237055607191697,-0.010912633815077632,0.00012229963843432288,-0.04125543392004983,
