,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01553329501481627,,,,,,,,0.03654054043718448,
BMP1,0.006720396649142351,-0.0074784007642696585,0.0837857302870214,-0.02160665719867342,0.07666057483350547,0.018669406059316895,0.002081012341435062,0.007498859434764844,-0.013386799691890898,-0.03656981102733192,-0.020726814525914062,-0.011268476124973984,-0.0008214779338674536,0.09608279697819391,0.04229200598660717
NDP,0.021192756691299976,0.04294095150048447,0.07267547676938017,0.0013374999339391994,-0.046713619067610034,-0.061953852366623624,0.025757562665697613,0.022994417139814885,0.13324128862112034,-0.004624582540432195,0.05868215913816052,0.10701936185170749,-0.04315852628618428,0.03315655092006635,0.07676750107407083
TNFSF18,-0.02687048048633482,-0.022852784403699047,0.0658305487454225,,,0.04216039051464229,-0.014795353584691301,,,0.013754890313712024,,,,-0.031350885418617476,0.09736326485174004
RTN4,0.046133897816145616,0.07634026336215417,0.04845706660395477,-0.00721285374536124,-0.004671790237314995,-0.04844884437078553,0.0038861985255755245,-0.013259582369319248,-0.11126271412151015,0.05173459838396891,-0.013532547879715836,-0.038676679120097424,0.006014261046323858,0.01422995816030018,-0.038206959815371914
HEBP1,-0.0014804997054735816,0.05943951737767775,-0.005062141617899171,0.02544949351742626,0.04277155434587709,0.03646800395258483,0.006226111427871878,-0.0354124113721019,0.10683278550969988,-0.024163605009523442,0.04780288845252864,0.03440406567677736,-0.0213735449108449,0.018945844242633042,-0.02491059292129292
WNT7B,0.1164676594716614,-0.018883624578634,-0.0003545485509273366,0.04929940283436595,0.036339787093528204,-0.011000285634937988,-0.035154424304165204,-0.011566944684741598,-0.022128715367287406,,-0.04084132151738399,0.020315614429031483,0.05214415179871416,0.0491099635834088,-0.05132813472221342
PTMA,-0.03200847326102292,-0.050390084641216706,0.05666420518681461,0.017444856439167218,0.01898306843254828,-0.0748075938989775,0.010422073898719663,0.018492390000707792,-0.09322056171016103,-0.07518030089066714,-0.01723482151722395,0.019393263318859363,0.007961387329210088,0.004788462344103971,0.02432349787482829
FASLG,-0.02367205839363717,,,,,,,,,,,,,0.05794888825106278,
CEACAM1,0.11396196743739659,,-0.02796666226254349,-0.03706890958639219,0.12055944985878987,0.06996714250177596,-0.02326956643189989,,-0.047066821046985174,-0.0383449518356919,0.039362999824940445,-0.0005263039244415079,-0.010428340399766402,0.07000263851160764,
PDAP1,-0.03663299012616026,-0.007253544523295282,0.031500479103787615,0.015323165108946763,0.03529267132180001,0.04995763455123269,-0.006424535433376838,0.011961110655898983,-0.04161055310850983,0.0672008348346021,-0.04148837436682351,0.013555504084697875,0.00841783105550296,-0.01815216849142702,0.0033466003332777716
