,UKF248,UKF251,UKF259,UKF260,UKF275,UKF304,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.027147250504851637,
BMP1,-0.010729310409574016,0.024346278280520016,0.043589372542263145,0.0007863030082301594,0.011818977413514228,0.005031035213127428,0.06641222094992505,0.11689239826320325,0.1603663154856598
NDP,0.06531325769899564,0.021967620751604706,-0.008131285957569746,-0.004631736239118139,-0.02272411699981692,0.01819599077758954,0.024392087853015974,0.03149428722423748,0.022133998150892738
TNFSF18,-0.013768952924328825,-0.004772069854141367,,,0.04080105983815703,,,-0.009769072405260478,0.050999430746180616
RTN4,-0.06402726008375233,0.002921799430558194,-0.06894072771331634,-0.020293729395008717,-0.023454069576705712,-0.03504553196052513,0.036188517974838894,0.029376425850565088,-0.11734150076460498
HEBP1,0.00956588340508509,0.003987483736286449,-0.026027407307178552,0.004836826599315915,-0.06481055929966521,-0.019515054005867942,0.010309856157733423,0.015927085213030604,0.03160761265900342
WNT7B,-0.0524333154827239,0.018800945026817006,-0.02198642585358665,0.029389122072712055,-0.025216213387293542,,-0.016598208360132028,0.09039124770857764,-0.05173720792960955
PTMA,0.07347627758068416,0.08257505086375559,0.02314065492044664,0.05626929786406397,-0.038824593942866754,0.06892207345608527,-0.06354536872116452,0.06375695840937368,0.049268010155644866
FASLG,,,,,,,,0.08459868266917263,
CEACAM1,0.06611382892914977,-0.005921390877201534,0.013990283847415907,0.0764242613850966,0.03870855402940859,,-0.014947341050243422,-0.03275913263082217,
PDAP1,0.045349186339559686,0.026287178465084857,-0.012213559522901967,0.05410483062142536,0.06543333453251185,-0.005210849767246277,-0.01642630076612249,-0.019921660501388622,-0.05941606692717418
QDPR,-0.043818137017045865,-0.0041799959933763705,0.037626085176254535,-0.04363004029971066,0.05050129352817368,0.04833987890365593,0.02421375877167079,-0.030341595222104587,-0.03539930334895619
POMC,0.00761426019977095,0.08612485131807249,-0.016291895868981176,-0.03141107379440765,-0.02117501020360671,-0.01080643883558962,-0.010364602476403964,0.06529055954604525,-0.0008785418828453268
CCL18,-0.03173344622937453,,,,,0.04393353869308196,0.15632447779767034,,
CCL17,,,-0.021165928805189117,,-0.022760393158606593,,-0.002541339906023732,0.018851507807268103,
VEGFD,-0.03173345630623002,0.04615777715166968,0.03914789949855586,0.033949125663843956,0.023382448797847313,-0.022142145887395298,-0.014947341050243422,,
TNFSF13,0.06028500255506934,,-0.014599783982344959,,,,0.048148698430432416,-0.010979072813682433,-0.012798226981924713
WNT5A,0.005748944888977807,0.03410102635359681,0.02994438424553316,-0.03862338768968368,-0.031313907277727836,-0.07237119132308119,0.016814381377756447,0.07254555344976316,0.07772451701058791
CXCL8,0.0008222595234283012,-0.02845575638091788,-0.011005837611119422,0.025319744181507564,-0.003162491970861668,0.0050860719642731285,0.015356958699560708,0.00436696384200706,0.012327765698117658
GRN,0.0456839303553074,0.021278382292630335,0.05372307898175291,0.020245306845397267,-0.03674981855294899,0.021526321605986137,0.10164352335787105,0.11928633822290122,0.08228513745658372
MIA,0.03844832382918581,-0.015133420463318668,-0.0018271772476282496,0.04646196175626864,0.08682534226980887,,-0.01546121046559741,0.007399804093257943,0.038069575475045796
COL4A4,0.010562086358871174,0.006064816005443348,-0.05101274683112639,0.019510221809642774,0.0234005750484734,,-0.0239330301714337,0.02279752575782159,-0.020304675617275805
TAC1,-0.013630628121447306,-0.0025227272166813137,0.006868757887507642,-0.0498997484978314,-0.06903292762262384,-0.03305815349094869,,0.0927074098437711,-0.09676805547734645
