,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.03433521240240563,,-0.015954311611953202,,
BMP1,-0.04443430297414507,0.09023621160596688,0.005769826330443142,-0.049575963141513676,0.04134592508320294,-0.004949205081050427,-0.03839761152824415,0.08484919969049991,-0.015317063280868305,-0.07746156406898232
NDP,0.015132155152829556,0.016440677738574893,0.01932532081253262,-0.0872064737286567,0.027446389587646336,-0.011226299584174256,-0.011411937256768636,-0.03856195805463149,-0.11857258569456142,-0.04437923118502035
TNFSF18,,,-0.03394626248144915,,,-0.019900362687945105,,0.08438318259791196,-0.028861140417667484,
RTN4,0.0443239958399214,-0.0006718791993727694,0.02303970186230062,0.03241129481447185,0.031629446321804124,0.057003931313499845,0.02202007052474687,-0.0016069156404571456,0.053151122301720595,-0.020262412221594375
HEBP1,0.009464450100068446,0.029254645306827927,0.08157004065726013,0.044439367039403474,-0.009549223924191266,-0.035220546923467023,0.0356299841895741,-0.017372629332465927,-0.027638738374765947,-0.0399404219939976
WNT7B,,0.053239461683820336,0.04180093116663529,0.09483527288068969,0.0126258726601033,0.009527604071022142,-0.020366671197185545,0.030493630750764323,-0.02051693775431483,-0.03426637971679169
PTMA,-0.04197468266028557,0.1246242327038815,-0.009709166681608119,-0.12932149203985246,-0.10026855132662119,0.04079212936306313,-0.0030043345528007323,0.05351166851350517,0.013630585865824564,-0.08887847620316706
FASLG,,,,,,,,0.19102072102600973,,
CEACAM1,,,,-0.020560980336364408,-0.03215623795845637,-0.028594743556591928,-0.013517655880337041,0.06667784071059672,,
PDAP1,0.04614214804393025,0.04842033403377817,0.051033089253714255,-0.025961015638746948,-0.017849508191120196,-0.004956201260985697,0.0020528776208520636,0.0024113765223875133,-0.03059629557100456,-0.12442901692664653
QDPR,-0.023045449813366255,0.03479698199606663,-0.02807129758223308,-0.032156663890555194,-0.04250468966218279,-0.02891586710542311,0.006728276863204163,-0.003254301895267326,0.05452759268979156,-0.07031977164134849
POMC,-0.021968030617019872,0.029821261916831,0.07121251972781345,0.028848252499255777,-0.007806993956532406,0.02540058552642302,0.01171601004210196,0.06633437079404932,0.013226565992233433,-0.051305130940898856
CCL18,0.0821848773208245,0.04770552917579679,,-0.051955648297381384,0.02122254173036859,,-0.021899217593255818,,,
CCL17,,,,,0.05539592642972147,-0.02544160547845753,,0.2804219582722163,,
VEGFD,-0.02072119496934707,-0.01837867834779222,,-0.02152077208695151,,-0.02683304124557251,,,,
TNFSF13,,,,,0.11489536216998578,-0.009024742329448866,0.08285164774734476,-0.020435880688356813,0.06847410554435412,
WNT5A,-0.05169025677534895,0.004228882121283011,-0.03682243265999264,0.11797332021006797,0.07082452472377718,-0.026943579994173097,-0.04892274707251869,0.05085153914871004,0.004012237022569628,-0.07972315489384543
CXCL8,-0.04721667478360127,-0.04269083799780885,,0.17674034054591076,0.05628491389587886,0.1566460411005627,-0.04262258290950375,-0.019250181061517452,-0.023565404680202694,-0.08112487756458224
