,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8812bulk,ZH881inf
IGFL3,,,,,,0.03387484070545895,,,,,,,0.003610247077467903,
BMP1,0.01926419058635616,0.004845491746051482,-0.04104909658473353,0.03491373849920907,0.0015354765440145626,-0.0789497727272268,-0.04516919372184219,0.026258387533266047,0.008464102639374846,0.017077660215194915,0.019257231881268065,-0.028543387333591765,-0.02100402520557385,0.10106697534790075
NDP,-0.030086262731572683,0.034692919318403834,-0.04523594764410122,0.05992651256960695,0.00946401288951541,-0.031205656599209854,-0.03173817032811802,-0.026823951281361138,0.05232516061482838,0.04787647161978052,-0.018736052425823668,-0.0008653556150695482,-0.00531425947568615,0.09404968425781382
TNFSF18,0.010263159473464362,0.07313196802148444,,,-0.019054965483765247,-0.02330987661912755,-0.012224650409295013,,,,,,-0.021163669884695726,-0.04154596484588417
IL36G,,,,,,,,,,,-0.024451474378363928,,,
RTN4,-0.05069479216287794,0.036195124118770815,-0.003540865823803557,0.00044593589567391563,-0.004837058146167275,0.10448304067327452,-0.05765944622400519,-0.004363354717464346,-0.08713723218645152,0.02535418735608618,0.0923212350578935,0.1135887135793884,0.031570743752960935,0.06793681646695872
HEBP1,-0.027574221048743873,0.060233062704905055,0.005586782116849152,-0.01655209471463321,0.024750313379198117,-0.07783460366331857,0.011472661857836892,0.05601638739009961,0.07407631141319333,0.04994845555521552,-0.007366422044485772,0.020791035769379376,-0.01750249211883291,0.09783978767379342
WNT7B,0.010218722047862186,-0.006704710669547223,-0.01229680163578258,0.02472335410333244,-0.043931941405478514,0.07334097609578075,-0.018008791657995793,-0.018583736335735537,,0.055877048613677954,0.05074075154955445,-0.037720552393618274,0.03236379205545763,-0.04154592176583955
PTMA,0.07037435781267774,0.034987388220672995,-0.03563717595811433,-0.013622676313530943,0.048510717087639925,0.05569745405107276,-0.01319731352154204,-0.02400496110208382,0.17206550842415444,0.05566419827057011,-0.053249623314898124,0.055763169737736644,-0.020835047961152674,0.1583096666739804
CEACAM1,-0.02130226010418618,0.006824644939444651,0.01282802056480639,-0.012960563386437517,,-0.018278621789790492,0.03795316512106235,,,,,0.008982790808554223,-0.030409984107266093,
PDAP1,0.08030800596101237,0.026501835226449638,0.047177852803048745,-0.04945211581812969,0.0017230684982644953,-0.06178189421518306,0.07537926384794183,0.03178128840299632,0.03926273976974399,0.05988469716677513,0.02275927509888843,0.05333150835079349,0.0004884463032664427,-0.049734693615927625
QDPR,-0.01451030101661601,0.0043412555990916145,-0.0004102798047565905,0.06467741151100935,0.12632899184054505,0.02995220503653199,0.021084058147804847,0.030062011348262495,0.21299278591366486,0.06849095746491261,0.015209123878660694,0.03435014719867697,0.07413040079324912,0.18978272399053578
POMC,-0.020114837536595,-0.03985364009009083,0.03565168505247139,0.0037439980724755023,0.037765969408016166,0.035972465453038546,-0.014184517632362911,0.02646308126042029,0.08433761591939855,0.01349752426830476,-0.05238754592980942,0.021570652026223037,0.007185050394905599,
CCL18,0.04116293331095861,,,,,,,,0.042339794484412545,0.05313300354895171,,-0.023984888651178937,,
CCL17,,,-0.024187467101270104,,,,0.021184169343814063,-0.023001456042781438,,,-0.022337116021757683,,-0.027056679726189456,
VEGFD,-0.026583216328115503,-0.03212575635628844,0.01662810830008476,-0.012399933244910835,,-0.026297027289218473,-0.01624387656118944,-0.01687184617377622,-0.047088487544448894,-0.01503742920086984,-0.02393937909553451,,-0.02853644608536331,
TNFSF13,-0.02006054809160409,,-0.016683973474957727,,-0.0184793414292175,,,,,,,,0.023880245709373873,
