,UKF251,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.015610208454247073,,
BMP1,0.04351991076578448,0.027059331642046287,0.08389317241849283,-0.07321318880794722,-0.034982547966749725,0.002409116503615169,-0.06494546992330605,0.03317317852694337
NDP,0.03141407167810767,-0.019261751906814204,0.06068308539900695,0.05633863865495354,0.0656278150805022,0.004139999872400277,0.04888176229330531,0.05898864213143388
TNFSF18,-0.0011020340499379385,0.04224184039877945,,,,-0.016098532442504903,,-0.0006324761979188703
RTN4,-0.019876797546624046,-0.11198140888118531,0.04329800773618553,0.00011073595241384549,-0.007531203357984547,-0.0032890418201917703,0.20116571482064774,-0.02611943963667023
HEBP1,-0.05190287678926643,-0.09713160367520435,-0.004045166628085437,0.04674574293357309,0.0070239483066167506,0.013931062735864991,0.058997533377679656,0.0606714908290976
WNT7B,-0.029249258756210126,,-0.00047378800561278535,0.025983449251521,0.08439012922953291,0.04685763837218533,0.04747799678336664,-0.05323027181522227
PTMA,0.034831034824259595,-0.02402525166580376,-0.11108565921347907,-0.020454544703954875,0.023365489121896645,-0.018905058143250258,0.10405082533710128,0.029023336758263667
CEACAM1,-0.034343889080422484,-0.018137308431750876,0.05147616931690887,0.008455659544599134,0.05275790566507293,-0.02313191041034423,-0.012926245455734736,
PDAP1,0.016138129859427575,0.08236692961082032,0.04174064045850113,-0.06947715418077198,-0.04176026406281278,-0.006015181003610024,0.07088634785481465,-0.013071797750469917
QDPR,-0.05792736775011697,-0.030938509915839966,-0.12672903885821152,0.08025127563635458,0.05891475543112067,0.028331332914481384,-0.03309595055714174,-0.0007189605189655892
POMC,0.014845844056222189,0.0470413807247323,-0.006574977654729665,0.05766378667246369,0.05984377661251131,-0.026613843480659243,0.030133186520270434,-0.008929455885645397
CCL18,,,-0.02373573658422079,-0.028878290767204377,-0.06143459546346819,,-0.04703359496332763,
CCL17,,,,-0.04117764631238609,-0.06964484673787462,-0.020581158122935254,,
VEGFD,-0.02810183326593933,-0.04770530129935357,,,0.0323451997819122,-0.02170676945926187,,
TNFSF13,,,,0.1092524938571025,0.031503244013424074,-0.022070630467464953,-0.022913222157764996,-0.03453644682224809
WNT5A,0.002839920040305531,0.02372545637059137,0.09187980032520678,-0.04053349201278186,0.04629017228218997,0.018129608625781675,0.009877972079963656,0.04968030946495376
CXCL8,-0.011217251751254825,0.09300855066739361,-0.041790501287631475,-0.15085577560925156,-0.20873998737502536,-0.029220758158688166,-0.11741403047919301,0.07046994595848664
GRN,-0.0018945796904957272,0.05724092008759481,0.08572201288854543,-0.040950256785754396,-0.033704770343892985,0.024432520843563014,-0.13168718711700372,-0.022684358230077493
MIA,-0.02808873415960764,0.0012279193767736854,-0.007195012608632244,0.29435582856118947,0.17204810698766504,0.021070267937312866,-0.12781010164930842,-0.006797958261362767
COL4A4,0.06043645684094517,0.025437843253196087,-0.030009387351001827,0.10588059158225534,0.06892753212302599,0.037062718512937416,-0.029551479192494293,-0.03859970875829312
TAC1,0.04126154020103941,,,,,,-0.01710823611099053,0.06278110401625195
RARRES2,0.03139288738567988,0.037383899815685975,-0.045085824908713226,-0.10826145735706537,-0.10638551446127677,0.044438888678425395,0.0010430938250966624,0.036012369379199154
FGF7,0.06882339311822826,-0.02540064822357078,-0.05417987386211799,0.14657785956283723,0.0514959100138312,0.018760736636431283,0.0778106315334866,-0.00498013232839437
EFNA2,,,,,-0.04933746971939023,,,
HBEGF,-0.024825693087135545,0.09672020455771568,0.09421316343734425,-0.011224224282065855,0.0258649837480464,0.08084420539926664,-0.06931936581095181,-0.08387300318275254
CSF3,,,,-0.13755464124901165,-0.12456345163825318,,-0.06867683465759972,0.03450954613976801
PI3,,,,-0.19879012998260234,-0.1842697928257716,-0.017487050536488667,-0.090498359803988,0.05700668559895766
PCSK1N,-0.07214846604494911,0.017309558412579265,0.01000276612367862,0.02983351846567617,0.08378260794934402,0.020972526382063903,0.09014138363844683,0.02770124299421572
NTS,,,,-0.0057765933047020076,0.04828971805911538,,0.10944065340773795,
SFRP1,-0.05684830494504993,0.01141823282930783,0.06344261427775719,0.07971256357218398,0.07224061014452664,0.004137950583774137,0.04459262290474631,0.017298462201952452
CXCL13,0.05669939049103464,,,-0.000439550054038904,-0.038656329842184055,,-0.0461639843783828,-0.0026731546317451055
MICA,-0.01318177165959518,0.06103858101626995,0.021045079021556962,0.12148011452432929,0.0558009437395394,-0.010243391441455113,0.0534364795595347,-0.02615599184722547
TG,-0.03055976590753943,-0.07372497335785169,0.07240866184823917,0.00828230698227832,0.0002706699850831525,,0.026087300359713544,-0.03629357552196972
ADA,-0.051446106738841854,0.05456173299390704,-0.060938073870030876,0.0017844977478284358,0.08223779121497009,0.042976139556401116,-0.03803080330746294,0.1159026898295283
LAMC3,-0.04973783194751364,0.07691309017433386,0.10008795753445368,0.08186304106694209,0.08653508535971607,0.008179276249314096,-0.034880728820174935,-0.10406623212578796
CCL7,,,,-0.01689006247019262,,,,0.04362644808647799
NGF,,-0.04684667457699102,-0.03527280312365624,0.11739497423735168,0.053883178914399185,,-0.02069625404904664,0.0010921422184610454
TNFSF15,,0.012631682775362217,-0.03562254889268011,0.007775406783539694,,,0.005112199028637934,0.012030806201442529
HMGB1,0.024486581972077627,0.014093585854877288,0.03125509651593037,-0.05589884446135102,-0.021949822012172715,0.04883638869838686,-0.022213176047305317,-0.04063178435772615
ITGB3BP,0.04021865632464196,0.06788494466349702,0.043637120573883595,0.0583454144629902,-0.0391499727487364,-0.04108969271098889,-0.053598406752032764,-0.02007611360080296
AANAT,,,-0.024721764610402958,-0.0034170192686025116,0.09441283310603708,-0.025458232311749963,,0.017049899354993077
RELN,0.07253183572124781,-0.018128524051234603,,,,0.01973333170714509,-0.03492259281377023,0.007923049460367794
IL15,-0.03419843808118663,-0.02324199787746433,-0.005477346906008945,-0.02466545349315729,0.10179452843410011,0.03465606785541543,0.029933024994517908,-0.014046336540661989
UTS2,,,,0.019152066473933634,,,,
BSG,0.019023888784580115,0.031963829417328685,0.074150335955935,0.05179585415274499,-0.034538949918507894,-0.013940914965244695,-0.12148433929223129,-0.09734279843460504
ADAMTS3,-0.016144327792162825,,0.04644325433867388,0.09851122399767416,0.12146478759025825,-0.03944585553214817,0.17938603917044854,-0.03722637896296653
