,UKF243,UKF248,UKF255,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,0.024902863570584043,-0.033327923200147866,
BMP1,0.0674945512505713,0.02139820997317361,0.008898533165072345,-0.012542489936544299,-0.0015938281746349316,0.013150069598227723,0.030506577443373446,0.037449873834801736,0.0006110208162896329,-0.05602689986694635,0.0514012272233963,0.028885867673353365,0.022254460041312252,0.1065260132038053,0.06257278427326464,0.027434078331716252
NDP,0.027454416374896855,-0.021474028509341443,-0.01695847573412333,0.025296145798485725,-0.016418385782500034,-0.00046538632152680597,-0.01611955135240481,0.06950274893599817,0.020744022395259472,-0.008582302179248625,-0.05475213826861945,0.09888599160058154,0.002578737074077687,-0.012630726611519993,0.013062335749618516,-0.013850159637789163
TNFSF18,-0.022596679938485104,0.004955910277977216,,,,0.05095886211542681,,,-0.030036620051850222,,-0.02163662490618672,,,0.0029514160544591786,0.06157874166913344,-0.033371510436685334
IL36G,,,,,,,,0.07809701777320296,,,,,,,,
RTN4,0.011811531564393626,0.03126585069283423,-0.02807531685263369,0.08131635429964414,-0.032073445665270234,-0.001179717696274269,-0.027600883715416507,-0.051903365613896156,-0.02757841116542593,-0.047238322739312805,0.13208332099359732,-0.06995236848783616,0.009946553841695384,-0.02653495733959417,-0.0001690178808001183,-0.03699721556853648
HEBP1,0.0217979085038592,0.01981688751228735,0.025324520977629376,-0.009785438479341055,-0.016174977849919444,0.0067452173612089624,0.026535323370012444,0.017657685849223434,0.026365807308521644,-0.012009579033822507,0.08859909353281302,-0.04899110567705648,-0.015453806062691668,-0.013140256574444634,0.04786826427541984,-0.05468268961591845
WNT7B,-0.052740902164911424,-0.02296020125435008,0.06626600193365355,-0.007787685853056601,0.062441613126546475,0.0012356184792580139,-0.00046402157567334396,-0.02850790979406208,-0.033067386940476014,-0.04077070240680989,,-0.03890238595855159,-0.040939803128177646,-0.06403844955533536,0.10301482752935291,-0.0010166791399091072
PTMA,-0.0028045162685445234,0.019506568019885522,-0.09192900074174536,0.050176081306595205,-0.01507491109727805,-0.02548485232462071,0.19559627232224075,0.08296408973335237,0.010634907432053654,0.08355345921422037,-0.02050805445984097,-0.03759835140468074,-0.030414046989891155,-0.022817656708810256,-0.006741432643035913,-0.0057383292082341985
FASLG,,,,,,,,,,,,,,,-0.014242196669273434,
CEACAM1,,0.008229971985150991,,-0.02273217613699028,-0.01620797514531824,0.026375520938133393,,,,-0.04579538227970692,-0.03014968014534597,0.1626251787386975,-0.006444227276831082,-0.04400430724560742,-0.040217474555236395,
PDAP1,-0.019819532434681722,0.015733864506427192,-0.016594392509502846,0.06412464452205559,0.049310929986897616,0.01082078863365436,0.05228200919264854,0.01222410245671765,0.0135157882744462,-0.06297370710110502,-0.041093679913369464,-0.03225142257082415,0.0198126325593543,-0.003612303066188282,-0.0091999815665774,-0.04794188792252176
QDPR,-0.028658004562898597,0.034228344869923724,-0.023688581327384998,0.01997080114300861,-0.05104472985848686,0.013939770398912454,0.14883665593018336,-0.03197812225166879,0.05103683433485563,-0.1140180392125876,0.01756860323289148,0.06212391719803892,0.016122552937276356,0.00816569060154529,0.045669734907312735,-0.06298827235335949
POMC,-0.013330408133683299,-0.033375871687114686,,0.004279543067269536,-0.019997066212127695,-0.02273918413606314,0.009437514952483041,0.02823236245269074,-0.034082474813695994,0.13608691750792118,0.03884224484413853,-0.007779039649180853,0.07036102485733783,-0.03262750739160434,0.06943546249219547,-0.05298390393575793
CCL18,0.028800175159199436,0.004247433880904643,,,,,0.15695332305394705,,,-0.03926714612815717,,0.008174704506616318,0.089728415836293,,,
CCL17,,,,0.004797599628331642,,0.0690827144018639,,-0.023694316988089898,,,,-0.015465282609070928,-0.0347773820405429,-0.039151958893420026,-0.026199404574213533,
VEGFD,-0.034143757128753914,-0.016622889399952233,,0.024869657036156116,-0.015506872953334102,-0.015576886834660715,0.009416908008741183,0.11233344875815368,,-0.018520893811013777,0.006669595167095185,,0.11087597485266804,0.00687995089817608,,
TNFSF13,,0.050788145303958816,,-0.021717315653920204,,,,,,,,-0.0012673468257733912,0.006121400976128282,-0.0419854126600925,0.017562543979375407,0.08065653118236871
WNT5A,0.04930809865005192,-0.006937066266580692,-0.01649183156042198,0.06284078002516755,0.02649676357596826,0.005059248303099575,0.04036166435872336,0.04642430610845899,0.06501385426685946,0.0011708752439510898,-0.03137415411888311,0.028794788280269143,0.006284294182407424,-0.050866791185913564,0.08276187814669517,0.027240973144670007
