,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.023015589212565277,,,,,,,,,,0.03034761768612358,,0.019282896382108835,,
BMP1,-0.010970105276852904,0.022566651773826208,-0.019480909655943523,-0.08864999842257117,0.08073039713984743,-0.05858642485155475,-0.0003569549832298677,0.09502711496993088,0.12856227179109667,-0.030493492482560766,0.08588301347026205,0.005880621929985543,-0.002755849431447073,-0.019588031991306574,0.026331622487485603,0.058261440048021335,0.052022407251790415,-0.055614643614845645,0.01684640702784838,-0.005885557287157034,0.03898105441933941,0.03781919627030997,-0.009890993119513832
NDP,0.03193394627875882,0.025292851551506314,0.020101046236376763,-0.054285392770267664,-0.04451060605289849,-0.04410069362062886,-0.014109427522561918,-0.0038445605784370564,0.04882322353997829,0.02329666241818844,0.014146259828815188,0.02566358777405213,0.03277297774611703,0.0002974465567210758,-0.043656529680351296,-0.07035240937803738,0.07864350747225701,0.12926457211714462,-0.03508194378276761,-0.04751868687411882,0.05402382121411604,0.01469409015476915,-0.005780294918592308
TNFSF18,0.0227973052079278,-0.03510658199337902,-0.02423497640149048,0.07816279166733678,,,,-0.03558682345781264,0.01504592889258462,-0.020028802298879808,,,,,-0.006254442843343898,,,,-0.03633161350489671,,0.01519314946676716,-0.035307755182092025,
IL36G,,,,,,,,,,,,,-0.027672205572375357,,,,,,,,,,
RTN4,-0.01041777943008179,0.05052266750239669,0.038854239102914793,-0.07252683397445721,0.11479890535013584,0.04702117716978816,-0.052457387719167144,-0.12796248470501723,-0.16410309170448556,-0.024025421956054154,-0.02277109225229982,0.01838329383407472,-0.00028012897540412974,0.15413906100188493,0.009573985381147471,-0.052527168464947385,-0.033760688269508635,-0.0479081976910103,-0.05245385012091556,-0.0304670468149962,0.0458123150796787,-0.002707871159002736,0.12622911417901692
HEBP1,0.029241244707032373,0.022816894712108893,0.05577777916343975,-0.011647151223639358,-0.0007491193777223651,0.04801595525874051,0.03470432123395508,0.11133494782985676,0.0686517538886442,-0.06353662500974253,0.008760698340476544,0.04992386573219598,-0.001386821417466498,-0.009974794238739915,-0.0192403128832787,0.02872604823395365,0.10785601760663317,0.09286867126458542,0.054137672852281306,0.0074127099285555805,0.03496665092814523,0.025558510480958314,-0.04248179583605835
WNT7B,-0.006020340058447065,0.04807706348642564,-0.012885906372945656,-0.00636607185111221,-0.056885378299373096,0.020750298246606794,0.022996322451772907,-0.019625973090281117,-0.008905563917374354,0.007048286237820354,-0.028090372045908453,,-0.030414942907737517,-0.042566167701697084,,-0.03447725868915539,0.004519497061945043,0.01014210963578864,0.005980931371758886,-0.030628563710809322,0.050418534629143474,-0.03878919000329929,-0.010091389352883473
PTMA,-0.037764074264945525,0.0011868220667073934,0.03138783275236328,-0.05304432205353843,0.01573427808969346,0.0027467789472290713,0.004042051177818467,0.17014126605327448,-0.07091446966036076,0.008379114129297193,0.013785053433365124,-0.003624545968539996,-0.029085754720653185,0.06398487696860168,0.07293021680450402,-0.07867347326216834,-0.08250501796914234,-0.06488285827545032,0.01503066265247084,0.03773340839586226,-0.03249621307599485,0.030745963952215478,0.08967669283087201
FASLG,-0.024917757646494607,,,,,,,,,,,,,,,,,,,,-0.0021049728397384134,,
CEACAM1,0.21162953547914481,,0.01690308562039715,-0.022527920331497704,,0.0023445965956861835,0.019900391761960984,,0.08404481301876665,0.024279489306848735,,,,0.02409033514570395,0.24157404110231395,-0.03091975782669301,0.02307359216445809,0.025433791547205962,-0.03108935800825303,-0.038338263793339836,0.07319945825830317,,
PDAP1,-0.030982628635381707,-0.019949788626942595,0.006280500656826157,0.004719791675348727,0.003937301252892197,0.055592249058060594,0.06774721313560585,0.08079239386262123,0.12918791423005216,-0.02474348606978839,0.05882861735411575,-0.07207313941648684,0.007130929865193949,-0.05835073256558142,0.11264942089432811,0.09979731013606193,-0.05356701525503552,-0.04785568021954274,0.03249159977321299,0.033010710946683314,-0.02606833480239748,0.043332770851078686,0.0018027671317044388
QDPR,0.019774009822880603,0.050443218489396015,0.06249584986905288,0.0071979001406070435,0.00870033177631338,-0.008022557850742075,0.014832149057089265,-0.09118763237777161,-0.12217258028288613,-0.036787863178222094,0.07043290877550475,0.01538869049765256,0.03288809479722163,0.0325393032389117,-0.03537356000050249,-0.15005357016009044,0.0074501021608275875,0.06106838880882266,0.023571794330490718,0.05860045791565548,0.04035180762976502,-0.06244154168095278,0.021367506515972065
