,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,0.042305591593620705,,,,,,,,,,-0.020719504020325817,,,-0.010221340199050626,
BMP1,0.004324635609698252,-0.0681429576181744,-0.0732982097636575,-0.02397051215570561,-0.04779799523873154,-0.038635799061509206,0.014194372867771338,0.01786496284677969,-0.009182113381246033,-0.0037845806705396915,0.13255189955357863,0.0037045108204761586,-0.015808320035284082,0.1020325033746927,0.15079691145710392,0.06560063352431064,0.010372434609377165,0.019319217199295906,0.05695398600143776,0.13810946168324362
NDP,-0.02114165564495268,-0.036254147749809514,-0.06283910504512209,-0.011561311935215927,-0.02539272838147909,0.017897484353627445,-0.007940903127361095,-0.05949579507922842,0.028777512028240155,0.00501060055472721,0.11842423112453858,0.039054319603520384,0.026002662819731407,0.05493812562149997,0.021016235410666825,0.020632850883882455,-0.03723125055886051,0.06250883849776753,0.019002423827544013,-0.004180387361739099
TNFSF18,0.03065747540066347,,,,-0.014612394332139636,0.07399822659681288,0.018311546236951894,,,,-0.025735082466858017,,0.04814905047123252,,,0.168295903741188,,-0.035972960274654,0.008565053947890465,0.056955605886666906
IL36G,,,,,,,,,,-0.014527085132716788,,,,,,,,,,
RTN4,0.047874112649805144,-0.059870831622882884,-0.03407517306871719,0.021910945286220833,0.050501490332633764,0.006567779428344463,0.014391245095192283,0.02271174658390383,0.04135389084724646,-0.06336676056297792,-0.0033221580669502773,-0.0343799951208675,0.004790897142247938,-0.010013010359013641,0.007052522042355559,-0.023489035939421025,0.0690210048633682,0.08050145225015164,0.011007800364064702,-0.1088477652221757
HEBP1,-0.006455586871321058,0.1157906850792778,0.009298635696560371,0.013314211104055264,-0.07723491919878467,0.015220447517779527,-0.044539290638922424,-0.05557437820737903,0.03855334136690017,0.006592082638817533,0.1109883449038412,0.09547426720348122,-0.1319635228742078,0.11020705574275894,0.09877707263002071,0.006052092546501019,-0.0522107754920282,0.1707887330182007,0.018640165686423467,0.0048214260535864775
WNT7B,0.009181137024368605,0.01580707556484747,0.010693436103680195,-0.02059257886673289,0.031222980040481112,0.051435474854041464,0.021337814382371943,,-0.01799116932859784,-0.015966940682476883,0.26366429002982505,0.05130453103338846,,-0.016552274499196263,-0.006866615683373405,0.0034630394095036487,-0.01744988344312927,-0.03597292297339648,0.017094330490929496,0.11665113447250194
PTMA,-0.028608432917808558,-0.3343186383827727,0.03432492564954053,-0.03452730219260047,-0.0760209340779886,0.01649124300505,0.039782984895124905,0.0028678554185683582,-0.02576146731737765,0.06761227313958225,0.03536286835364769,0.06336470047253472,-0.10228757070453436,-0.11520063766722176,-0.008112613321235067,-0.05826034040957849,-0.0023037872106013457,-0.030155731740607684,-0.031467258496235065,0.02691180067956246
FASLG,,,,,,,,,,,,,,,,,,,-0.011649463194405175,
