,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.07843117075351251,,,,,,,,,,-0.02224508339778377,,0.04507584559818635,
BMP1,-0.00736757253435767,0.10438055722455147,0.04754246905938628,-0.028365631868006395,-0.011669079635713994,0.033892674692695225,0.15043193939687458,0.03758246760793526,0.019025779928807364,-0.05148564578343788,0.02923626743861801,0.09718374106838565,0.006098650032729641,0.05764283009419257,0.026428224754024322,0.00918367049049573,0.048740342149553126,0.04136316498025827,0.0456528890538459,0.11308115074157732
NDP,0.05465225270069089,0.03895009990844281,0.016982403112669266,0.03375324044753998,-0.016612702720009153,-0.010673081596681103,0.02130385711220234,0.01575643284489207,0.07759056192959296,0.028131667460505983,-0.021676813900274164,-0.0025182419786700535,0.026634283653435214,-0.06103538030266011,0.020255611955852813,0.0778502218657468,0.03983345927368914,0.020356713028645675,0.02161130773142976,0.039644250463209706
TNFSF18,-0.014788594899514998,-0.04078541485054648,0.03167308646367955,0.0005317980396805149,,,0.04899159142393981,0.006270710950703419,,,,,0.09906885398315055,,,,-0.02294096185935411,,-0.00925171843609133,-0.03738308338708697
IL36G,,,,,,,,,,,0.11065035526663955,,,,,,,,,
RTN4,-0.03820091529199084,-0.026882072312512047,0.035140467617193936,-0.040320866501937856,-0.007310546013854453,0.029988410265980075,-0.25057019860194274,-0.06842016842276018,0.04785794633502643,0.11825912423578304,-0.03328953953454215,-0.09180304945985514,0.05668948886342637,-0.12522942081657215,-0.052358577330020674,-0.03503791260596151,-0.10263254490395747,-0.0009128747468273736,-0.028459770571261315,-0.044631211633116945
HEBP1,0.015916889567125482,0.04691910126204988,0.0259766806319417,-0.044500657050701276,0.045857551812100265,-0.024743532571759548,0.1205906668337156,-0.02240508048264377,0.004288890826179136,0.0018177886062532888,0.024114763093015,0.025385522319567304,-0.020786024766519914,-0.003023976071977048,0.08867084890979034,0.03438651049545679,0.04869084348899393,-0.04881958908008469,0.03306005376664088,-0.04497639833642844
WNT7B,0.04316763040443186,0.011671550608455837,0.10060004179118053,-0.019754885584611317,0.043444933752464596,0.021154893802543727,-0.0727785435434889,-0.023548987632822902,-0.015866373102561684,,-0.022726280619856584,0.0817620147150049,,-0.008355258012215145,-0.01643655277881952,0.07548185963180279,0.1222949349487026,0.00790381144536757,0.037940242819522865,0.04051836011956096
PTMA,-0.03666993321284778,-0.08261263543319897,0.05743469375064935,0.023353486791538963,0.053548569255096254,0.0187994957922519,-0.11399597991468308,-0.0941805681658836,3.629809544052903e-05,-0.10275328657236658,0.018371460339650342,-0.04672291814654354,-0.008401682420006246,-0.16022239621565648,-0.06642018401748977,-0.05536402199489848,-0.05633304718128063,0.029948210701728675,-0.04391894126603258,-0.06889348284073223
FASLG,-0.009524814693922051,,,,,,,,,,,,,,,,,,-0.007997774040827584,
CEACAM1,-0.020515191950669028,,-0.024775540379881677,-0.015160686509829177,0.022151748169519273,-0.018242959283220034,0.0864570970284779,0.002969966569678212,,,,0.0967582894190395,-0.002587967045437199,-0.0033860597564431705,-0.021606192437527354,-0.03917270359294107,0.026604983052911507,-0.03203453089810615,0.11489051673082304,
PDAP1,0.052141293797797555,0.05152607698003008,0.00429686023990009,-0.023178668835020403,-0.06204702240653437,0.04339999968750642,0.15290408246120535,0.0064218456965605955,-0.011428839996341242,0.07240479944545045,0.008796447523807087,0.044061621168560716,-0.08067459372134847,-0.01011594314681421,-0.0030434786472150178,-0.06403862443414866,0.02534111616212178,-0.013427374608924009,-0.03208137207961793,-0.033708620317316286
QDPR,-0.026886201912396906,0.06991103334182575,-0.04171177229359755,0.0037343483009900777,0.019940447712144035,-0.0466863211941332,-0.20349398015329678,0.021704191804240533,0.006363336260937315,-0.05611201769557695,-0.01271532755471955,0.034924590246286746,-0.0331410780488883,-0.08256242847296724,0.007964931632346576,0.06080588171659241,-0.0124183240959969,0.02375039652264318,0.08548546042078098,0.003665220272566752
POMC,-0.02878635163003896,0.020710297206256275,0.04711704317743088,-0.026938121152659648,-0.033694681218602855,-0.03670914802936357,-0.03790635065543138,0.0075596037643675396,0.01957013914646196,-0.05017136762074573,0.010560993204247656,-0.01715950446678584,-0.0045665599744163276,0.01253735342124767,0.007876572342467646,0.04839218528049881,-0.00704118163793443,-0.023761139280347187,0.07468137512272036,-0.03873078513054486
CCL18,,0.030701499121901895,-0.05129056015257083,,,,,,,0.019616630960819465,,0.031153018047507867,,-0.019964871678962316,-0.03926949373237552,0.056746292960591756,,0.011386195673295577,,
