,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,-0.02130297646682511,,,-0.026253178908877222,
BMP1,-0.0194123771350653,-0.1015400632999606,-0.013909384046522696,-0.0708048917265621,-0.06578094173612188,0.029121352782854402,0.1630318530840881
NDP,-0.033053790259641724,-0.08290495554845415,-0.006458029233877999,-0.022567586528038593,0.10208710907304348,0.0016944441623539174,0.042794047377102636
TNFSF18,,,-0.021969383610620327,,-0.02025446559410691,0.019460895332413995,
RTN4,-0.008581568424368543,0.03349350518554659,-0.023910886522165886,-0.016569630199956623,0.015713861356018665,-0.022520951663909976,-0.011112971151063437
HEBP1,-0.017520682349884284,-0.11120928129867559,0.013702677288723819,-0.015176547503147902,0.047943554885603014,-0.01256271096904468,-0.004786106759300911
WNT7B,-0.021400519003643616,-0.04074422949130199,0.0019005879957277785,0.014112420101392692,-0.04392162316633828,0.061656110979556894,0.07767402364184715
PTMA,0.08108832358104448,0.026967575935580683,-0.03303193441059639,0.018898855495890137,0.051806634801074065,0.034778715402458554,0.09937397692458151
FASLG,,,,,,0.0327935716558422,
CEACAM1,0.01506989235755067,-0.019738682290122645,0.00151603583970376,-0.01427955410097144,,-0.01780384465625775,
PDAP1,0.004203291388674257,-0.01636481592626552,0.057401681249944034,-0.02208607057932216,-0.042103359060679225,-0.01785328041789701,0.025489617862727285
QDPR,-0.01865725046205349,-0.03148899903242533,-0.012584824586768665,-0.00015525834362296943,-0.08861685984078083,0.00427551205286763,0.06692732484564015
POMC,0.04160365384042325,-0.04624068524068363,0.0010114660199458982,0.0749842812729407,,0.03695547181927997,-0.02339001631688179
CCL18,-0.012066833192996503,-0.031686893777698906,,-0.040904576316620936,,,
CCL17,-0.01660152750500032,-0.028494027069092005,0.008768315899591895,,,-0.02063787927805332,
VEGFD,,-0.019738682290122645,-0.029622845865049496,,,,
TNFSF13,-0.03185583769440798,-0.030972033244311154,-0.03011940057267332,-0.016034982203472815,,0.014841218916213053,
WNT5A,-0.00897929637919709,-0.06593873046208389,-0.028676523536823414,-0.005280744287942483,-0.02540349758730222,-0.010805643512145637,0.04151283858385396
CXCL8,-0.008516771292539683,-0.03901316284933746,0.001059294567215839,-0.03273266344045274,-0.03567888267147733,0.024475656104765233,0.02950070394041814
GRN,-0.0056824096386953755,0.005380784061981148,-0.022162637036778805,0.01112527679729621,-0.004711815292554761,-0.03559851249354127,-0.0633901162061419
MIA,0.03963169777412844,0.006502939887570216,-0.021341531483472276,0.03692212958829394,,0.0012668949657078743,
COL4A4,0.03994164440815803,-0.003856481971368991,0.036782216047765985,-0.015952028415841805,,0.04190885118624983,
TAC1,,,,-0.02463629881913801,0.021135179845120918,-0.027130590858894136,0.0821524860592256
RARRES2,0.029254491336381007,-0.03346084138992156,0.039477549068926,-0.036649684518492064,-0.07037196557834617,-0.0034998126601018475,0.05282235405026901
FGF7,-0.002963253214554271,0.0021614508558214524,-0.0011838294420699071,-0.015668120872097676,0.047156042423486366,0.02923658722196028,-0.0014899082004620023
EFNA2,,0.049258729207954675,,,,,
HBEGF,-0.00993958124716926,0.005377656241058112,-0.015227514699999473,0.018513785418711386,0.06161240744922763,0.03299927140874421,0.08653506395062638
CSF3,-0.043608650559477054,-0.06348717567924389,,0.051247527608941384,-0.039475555261550374,-0.02172850311113514,
PI3,-0.055217230724218316,-0.030338857299844035,-0.023864269791454715,0.005368342698794014,,0.05905046103841526,
PCSK1N,-0.04169398995913469,0.08077901296711493,-0.010768031157165877,0.018745538975074475,0.0563288067154694,-0.09739835023163204,0.03752884121524654
NTS,-0.03872963551384222,-0.02285586132003281,,0.022939355447918145,,-0.032176950182452764,
SFRP1,-0.05823258913549479,-0.015841085750899184,-0.0008359367095063675,-0.0361302727911491,-0.03992455389419277,0.009718735513660341,0.011059618998591078
