,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01323178005952227,,,,,,,,,-0.03446935847525286,,0.031889468304360555,
BMP1,0.041680688215476755,0.07857091039489644,-0.05509591601528914,-0.012506212372268599,-0.03277401715847061,-0.03952763581913092,-0.036970521564039155,0.07117156812891681,0.04982532289826346,0.034847857629140576,-0.0200572030327356,0.02590643617457633,0.009411447350070025,-0.014020072693867824,-0.017599745060007776,-0.0030639710674028433,0.013852328752170814,0.0026792860525560866,-0.016664592169025626,0.01219631007599277
NDP,0.0033274666810337904,0.2107460837002423,-0.002861001237638481,-0.025625109806020202,0.05030227659377045,0.01628913360585192,-0.004577662944756594,-0.018090133141220262,-0.012426333690620954,0.06072157310785942,0.04058978342662853,-0.03245217691193357,0.032631626751100484,0.021194739333515854,-0.023716090254477934,0.03360667547527067,0.055926146463459614,0.007738669999195305,0.06563849401764905,0.05096642978227855
TNFSF18,0.06655402738268575,0.014829097707745187,-0.013073217974143871,0.06925500815733554,,,,0.057330715443960116,-0.029111334794003713,,,,,-0.027738319780235752,,,0.07341775560348567,,0.03931435608695097,0.07648300428545239
IL36G,,,,,,,,,,,,,-0.013349795846204875,,,,,,,
RTN4,-0.007335409284464492,-0.049244132962488786,-0.022629761776815978,0.01145368601425524,0.04349124172513499,-0.010879999629261394,-0.00842886690952504,-0.10800956285698744,-0.012503373605577434,0.009386267419272667,0.07841876682606715,0.034317076435064535,0.004121012933910815,0.0161911872228917,0.09942019148657,-0.06897698478012768,-0.13720778745441653,0.05843718470027803,0.02421766363275523,-0.13836398084001741
HEBP1,-0.0062119314381582115,0.03654486242118616,-0.024189402068586933,0.02654129208811431,0.073398756443228,0.0269429556477819,-0.033365273449313594,0.05560992474811666,-0.06134900017296183,-0.04473528277487884,0.05892802117271471,-0.015380242528050082,-0.0293041644443145,0.004814827580592123,0.0008927178946171219,0.06150241366197746,0.0053371493308001635,0.01586140757564585,0.06260649135084839,0.06935323710261716
WNT7B,0.0814540050348034,-0.08791177627248184,0.02162464342081728,-0.030858095831197262,0.030851169015569547,-0.022423415062400014,-0.06198958985400581,0.005351928035797422,0.04693475692852097,0.02433008805534722,,0.0584503427894569,0.07921998424628592,-0.03053718266796849,0.11946811300257548,-0.0065045556147269685,0.00528294107096938,-0.020948081165255074,0.0060494999480250064,0.02681925120943005
PTMA,0.005875975099261941,-0.20101557773526044,-0.11600721132144544,-0.019816045220357542,-0.04150833795972012,-0.02679457347346184,-0.020868428602436737,-0.05683577702288566,-0.030345892413318108,0.019664200981605356,-0.07751559674824406,-0.012787575481587151,0.04338650250127553,-0.005211387643061514,-0.07239226211652006,-0.10005517285867799,-0.07454969932172517,-0.06825641053889032,-0.03462621811334958,-0.025518579609650805
FASLG,-0.02197965055638837,,,,,,,,,,,,,,,,,,0.01303485070750709,
CEACAM1,0.03233058581566968,,-0.007456461416847057,0.004079161649604449,,0.008524963351942487,0.11236789008902337,0.06440277837216997,-0.0039360967008859405,,,,,,-0.0022846362554568506,0.034843326847614695,0.03380122729603352,-0.013903546131997202,0.010185944571339733,
PDAP1,-0.03182371157378358,0.02775564368559507,-0.033622541025333214,-0.03835953780579142,-0.004264097740515942,-0.02353735861507201,0.00828789205875672,0.02379955875845951,0.054233626906200136,-0.06822873516424198,0.12101573987019067,0.010050461832487501,-0.02991533342239393,0.01661672734964992,-0.04564217380661221,0.012163683244168716,-0.0012817422964016415,0.005500475093126987,-0.001939504843014878,0.051528876646232416
QDPR,-0.05048692381185403,0.06375128766795675,-0.015903776783282798,-0.017511421640259442,0.03131178914624584,-0.05433930447600622,-0.02983082122672424,-0.14259079122729437,-0.005901829299842559,-0.08262748281534209,0.001110169031184576,0.016797890275144754,0.006472757849130473,0.05729330549174926,0.03931589711754015,0.08618795744818636,-0.03781166491931853,0.012076785194505116,0.07801721927416251,-0.106008530391438
