,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.05338569744091519,,,,,,,,0.0146301166428505,,-0.018186168847033005,
BMP1,-0.0400741179895109,-0.0056416926723644855,0.0042541808115289315,0.03234468002066227,0.02228771612067063,0.06020339535978691,0.043141472657100936,0.027911038449612516,-0.043870828296087086,0.0743927306443538,0.0025135514417480046,0.06967973745444012,-0.021794595674377203,-0.03718684689893842,0.11621417761853514,-0.01785890224090798,0.015692267428351354,0.0425278199881957
NDP,0.02050596553040427,0.010486546297233218,0.08451697934186389,-0.034258566731973666,0.053084808325731446,-0.011025187058636435,-0.04765312614900729,-0.020458788167799346,-0.017091005464417924,0.032738037734717215,0.07163075371431897,-0.019304492622997976,0.04321680265806556,0.05244946882667224,-0.07873151031524013,0.005729969092304026,-0.0013413637411668526,-0.07464981196608811
TNFSF18,-0.03264630352993536,-0.02492196259975969,,,,0.03327607098023895,-0.03109671365904888,-0.018617220919289214,,,0.020911613499954594,,,,-0.025833179001210876,,-0.0024851141853956043,-0.0447318314724333
RTN4,0.04201091961604771,-0.0049428366541294936,-0.04587026099066924,0.008741214980996241,0.10630784799067258,-0.05722352136845129,-0.08216388661950819,-0.011090721963791147,0.024881862296004247,-0.03312601655298551,0.11408533919663022,0.01669100038771324,0.0369733665732305,0.024409678115498493,-0.07595565058668444,0.0970492298804332,0.017596960765853816,0.006714891551670164
HEBP1,-0.022725895232755502,0.02970145778107216,0.03673907958358448,0.0017752085303568968,-0.02258961484673629,-0.014480979186091768,0.012309226900107568,0.018372630496972752,-0.07013149308465108,-0.03493425756386728,0.051610001662963555,-0.042251034507185765,0.051500469321804146,0.020095275745621897,-0.07902283727378834,0.008521692242168031,-0.018646039010207414,0.040267994098755845
WNT7B,-0.010217811702242017,-0.015480750617120726,0.07601451431458006,0.02199323698476831,-0.010616837282595321,-0.032361672973936356,-0.005179380603032496,-0.008976136639547744,,0.04822776849784985,,0.06892278621184787,-0.042544895992435654,0.006139467277442252,0.009137239963207826,-0.004150290673589345,0.06584734880313803,0.13274677643780142
PTMA,-0.026970908042991192,-0.01575697624560179,0.07870036422425916,0.012461228000517723,-0.038003469272569194,0.08410212682418186,-0.023307568860272663,-0.04636766317954992,-0.09655603553191706,0.021898663735583593,-0.0985253789546849,0.018704204491146636,0.004161965464274334,0.029204748950176045,-0.10130931482852847,-0.032265548041419,-0.010753477585707398,-0.04518486533841565
FASLG,,,,,,,,,,,,,,,,,-0.01577285803673057,
CEACAM1,-0.020778477502099477,-0.011880544994188062,,0.04060394531259007,-0.019599433715961883,,-0.011156182798456881,0.02058726672549989,,,-0.03644312347271611,-0.03091973054442795,-0.023840003618257676,0.019307386935387933,-0.037119581204348266,-0.0197952303430081,-0.021945615346939406,
PDAP1,-0.02112309810102224,-0.054224926827923195,0.004326663507354793,0.04314102350110969,-0.017155006356554366,0.016816639444823384,0.021584701540005895,0.017050392457807637,-0.001312372528093272,0.05947156545435842,0.028215964350999358,-0.049589627916661154,0.03505794513690322,0.020197194115048812,-0.04641964561328648,0.015332162867452813,0.03437779597664874,0.03334036106463622
QDPR,0.023041128399022486,0.0007586631491418216,0.051493157466671165,0.059481975140549516,0.011675002898223045,0.04961147714420628,-0.06182000567616165,0.014316172963968902,-0.10950125570781477,0.04168559447776791,0.09678156959376079,0.0024246826766840764,-0.030409220459410264,0.056837795911300636,-0.0770768864458707,0.028460680033560216,0.07140378301566346,-0.027887520613220744
POMC,-0.019993458706688276,-0.021109833001663213,,-0.034774246752265967,-0.021271353736099976,-0.012997315927928561,0.054847763118489996,-0.021601950939591948,0.007717414575689475,0.02554790616244623,-0.005867247192436979,0.036517118309704714,-0.015904672164679237,0.002849028923402505,-0.006551590239636672,-0.020991045825130734,-0.0148066845476684,0.008778693561824378
