,MGH258,UKF248,UKF259,UKF269,UKF275,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.020044170819152534,,,,,,0.1436811994879564,,-0.03181051621472015,
BMP1,0.03471789888985673,0.09165359793647936,0.08421956963475774,0.09915372145947982,-0.06647362704786335,-0.001984731852074558,0.0825233464402458,0.017848327516817017,0.04479015071994334,0.056768010515835,0.05155492823481429,-0.011261513315665881,0.09682542004287745
NDP,-0.015559857609657375,0.013442761543583513,-0.020533364191013048,0.04104284706202351,-0.018600266785344176,0.011844815446780942,0.02498088990006615,0.041454293227939205,0.057904861879974026,-0.00404143226298306,-0.03394502810150759,0.057912557299821595,0.03131789907833463
TNFSF18,-0.02063460554679358,0.026514810920339315,,0.021046093052136117,-0.01720122578101328,,,,,-0.02236250659437712,,-0.02118413393011221,0.02387562325844664
IL36G,,,,,,,0.15031945633215074,,,,,,
RTN4,-0.053918696043940464,-0.014334691733832264,0.073787921321876,-0.1218798650085671,0.020983920361485494,0.006994490959911316,-0.0661526999886924,0.08419939138004201,-0.13706405640410724,0.02460139934235202,0.07279273921861978,0.040766476471394315,-0.023612105141353267
HEBP1,0.04578530958584359,0.041959909001811624,-0.0001853191248364214,0.04530162210316709,0.02726395356867407,-0.056811348738678394,-0.012815353472583208,0.032916516971280015,0.12512941930144575,-0.021428591204050947,0.019846251693459716,-0.0025880548713048857,0.06810800327784695
WNT7B,-0.018178441192907322,-0.01283753237419513,0.07671410822165935,-0.04221529580328633,-0.03728379585149956,0.016679209321872442,-0.017926773460772087,-0.027374592598468712,0.05343896804345045,0.02133715503130467,-0.029617315513514188,0.07039501467142441,0.038722262922246835
PTMA,0.02412146837336366,0.05284312420692791,-0.0016549964355372423,-0.049021982197413654,0.07408181792712545,-0.03653612524224498,0.06605501180119021,-0.02230971314384942,-0.06893227343852464,0.010124089083686198,-0.022144705551921013,-0.031869248633869765,-0.03231374198355643
FASLG,-0.01817844633190608,,,,,,,,,,,-0.027589249860712355,
CEACAM1,-0.025240931823927813,0.0023123107770366947,-0.02074362429862686,0.08350194975961149,0.14077427306143944,,,0.003921836792983859,0.03537550616798692,-0.03213258729883173,-0.019657443051684244,0.005668254649093268,
PDAP1,0.026097259338327766,0.02719030707649671,0.02070907474877955,0.05090740903922658,-0.03804116560531372,0.03581458698150297,0.05303687588475969,-0.020740861179045084,-0.07037232729960419,0.04705854937819343,0.012918594026941494,0.028980535785695302,0.013054083962073448
QDPR,-0.008935405564587317,-0.060852869793602854,0.08318338942321778,-0.0703448962912262,0.009264523312225574,0.05972765470801702,-0.043757194106132026,0.05348135618032951,0.013130603869006104,-0.0369808344341129,-0.07033791275226835,0.0394153422057965,-0.08233744058737778
POMC,0.0703020353032453,0.032196877469054544,-0.006722991612840513,-0.04235736131821686,-0.019958942155394458,-0.013280328065001203,-0.03494474722445781,0.02859231008015936,0.06053590574651456,0.02106646995890716,0.01720882573130102,0.017067679858897775,0.016728423322695658
CCL18,,-0.021629328775557188,,,,0.026802204706060616,,-0.05031023491164287,0.10838967895729494,,-0.015298962522899138,,
CCL17,,,-0.0016865706184552604,,-0.021453277524715857,,-0.014899817490010622,-0.03269214957527587,0.09770626674090507,-0.028589331722491118,,-0.025006556184705056,
VEGFD,,-0.021629335643882128,0.024033933884671118,0.015902167168637082,0.08964392233078226,0.0030970568524999287,-0.01596859590110917,,0.059954529699809106,0.002624508144632107,,,
TNFSF13,,-0.01632219075818291,-0.012324306786971141,,,,,0.07434709132867952,-0.020141701686881005,0.03592369764618601,-0.022073991055371518,-0.008564029943892522,0.044875133047781825
WNT5A,-0.008094970126931677,0.007443911619331933,0.04584894174023823,0.06950507830540158,0.04387256193165554,-0.0034866501534355195,-0.03627369171583123,-0.04984513407661663,0.05405578721259689,0.07876629301045025,0.05522939183470811,0.02220769075137332,0.005876360597247626
CXCL8,,-0.04527122346955675,-0.05785837722483224,0.017564979648195273,-0.046196984013530173,-0.0035815728808411213,0.004023966673065084,-0.09346157704681661,0.010969660584222551,0.0813869109775992,0.02615639731774099,0.025938966764006602,-0.0352256226153097
GRN,-0.015850504685941187,0.013012722981444713,0.007638990693523013,0.10439211934808092,0.008093226433584143,-0.0013581469088229505,0.026234050234955297,0.0624834098866479,0.04208090431155823,-0.0020066413324235,-0.00807545353286956,0.03802573834602305,0.0583675716852599
