,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.011544361728565811,,,,,,,,,-0.04764266427200589,,,,
BMP1,-0.05095187911347314,-0.046490085570906475,-0.019036485353418068,0.06308066169979186,0.014167841475169026,-0.035915961598063074,-0.08946014426754723,-0.023582604923179876,0.05589361989074783,-0.03310941344853054,0.026237213665671683,0.2222865233430392,-0.013088871437216975,-0.08537382986286077,-0.08627224269426598,-0.033162196564183656,-0.10457159674133872,-0.1866972419781883,-0.09374229223541183,-0.003336153582618549,-0.14995899388584813,0.07972504035997097
NDP,-0.0007376257989724414,-0.054352968609047994,0.026748850293346695,0.015957529402462263,0.06635132958536996,-0.03748954286797472,0.14545708789315745,-0.020949918742724696,0.021772812418445312,0.023824014855133958,-0.07554992112789598,0.06990789601549209,0.10429398277278318,-0.08448621189389263,-0.04808331489437518,0.059430501385356854,0.059717687761371596,-0.17824626778217675,-0.00819747627713154,0.057964903058542974,0.0622294959837026,0.0693160266098714
TNFSF18,0.12512707694013298,-0.02900827097328183,-0.04661188634395841,-0.027561843071336585,,,,0.012525941088381036,0.017619041921043795,0.031348686464393066,,,,-0.08735155561586969,,,,-0.030506864569713698,,0.08700785050322006,-0.024417862491136144,
IL36G,,,,,,,,,,,,,-0.016481327223447088,,,,,,,,,
RTN4,0.2565943815113611,0.2162359132118785,-0.021239697701967694,-0.030746139041307092,0.06664058543571849,0.06002989680648236,0.14888028152722274,0.035623447240575576,-0.022583894615881072,0.06536652624557315,0.0523764810712001,-0.25928221023745135,0.1710527388669244,0.08846239375011575,0.21565859894150494,0.0849192286197653,0.07871304778894965,0.34240255887115645,0.16205385671478198,0.024645977314509578,0.3207237442231046,0.07614418100309907
HEBP1,0.09029963237370905,0.016843769293017858,-0.043013059152804095,0.04486352104275984,0.0977825651602851,-0.028066837356979374,0.008496396151180847,0.03686354046419105,0.031120764162223494,0.045887221669507414,-0.018126390825711176,0.17982165559291366,0.05397152141730721,0.06894825755095264,0.014919133509363436,0.10064419300686715,0.029146587743059976,-0.008096585630976006,0.06382131885107187,0.09371696979971623,-0.016223096079681077,0.15714338995304106
WNT7B,0.0412070123421998,0.2962716077142177,-0.011529573466856515,-0.0228235467422477,-0.03255377200932156,-0.02398074997043118,0.12135538682735941,0.0015835613804886818,-0.03513885562240862,-0.05941758079699499,0.009697308823922243,,0.025135819191266104,-0.053127187983496964,0.08808039291140407,-0.022205242144282954,0.024236502753448217,-0.021472253543041733,0.037119647847760735,-0.011067657308951555,0.0004750917329702926,-0.047255013535923
PTMA,0.14703245923816433,-0.06459102037662479,0.0145570206422879,-0.012059957061562035,0.07049112019204,-0.09554922190818152,-0.1096416999420119,0.07524115180700644,0.0749703080246748,-0.001423257809994841,0.14258756960548874,0.4319073095506047,-0.015352259798765361,0.18754406625841816,0.18036009095028266,0.027541084944241002,0.001435876521056758,0.2672556059051908,-0.009514405564694186,0.09863714262292919,-0.097902926680117,0.2695949686483455
FASLG,0.06095384753582154,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.058125997868387284,,0.01113770608244826,0.001390496713199505,,-0.02408158739154993,0.004392664334199835,,-0.015392104508865906,0.04254880027463332,,,,,-0.011184245454519607,0.11121267023329817,0.013231231897107386,-0.06834827493871477,0.024199079407807283,,,
PDAP1,-0.13731976412041036,-0.004074882484340533,0.02566980649604816,0.038595563802097714,0.0321149349415202,0.008173261485094127,-0.10315039857761052,-0.044943935634007545,0.004444723989128697,0.02918839040344714,0.01888150421523138,0.09002126061948192,-0.03785559121677842,-0.06032794486176488,-0.018640169376461593,-0.02477135957815064,-0.047933833240834445,-0.005849480394820366,-0.0250230926385112,0.04046209918533913,-0.022720134732526407,0.021656110090418023
QDPR,0.461541606244245,0.13245083813540512,0.04940775445554068,0.09525186306406948,-0.003502727519328931,-0.03023069319580847,0.19458109898400708,0.14876233111114825,0.049660561001090196,0.10517285212530186,0.2575076796982756,0.3473603866760466,0.22593043008291913,0.06431120146109681,0.3477483501702772,0.10414414795405265,0.1321522573166354,0.24669278811120196,0.07038496735554375,0.16832391597196328,0.3681976944618962,0.10648296283395509
POMC,0.04925422152445418,0.21650079433006914,0.006896382213966093,0.054308057308474905,,0.10320704987698749,0.10036634735206897,0.009756910931337407,-0.021134641940269757,0.02255404229409591,0.0630334453961033,0.0657902485305097,0.030304626987420657,0.013646740910874524,-0.019493736819585477,0.08439887615174978,0.12670978965889523,0.04410803262356463,0.0034210955929995686,,0.06440577633659922,-0.006762459654915972
CCL18,,0.06738210220588153,0.0033184131922839553,,,,,,,,,0.13442133251140975,,,-0.018369077174884164,-0.004717708191946931,-0.04831093940278444,,-0.08347872598590016,,,
CCL17,,,,,,0.006292903027129628,,,,0.026192257930149506,-0.004611740662626145,,-0.025245548474722525,,,-0.0974007561231705,-0.07800288325781303,-0.060419350853314686,,,,
VEGFD,,-0.002476882432978577,-1.4775334053052145e-05,-0.013072295547978884,,0.04762426401959224,0.027297623702926477,,-0.025191684221148987,0.032461562230728574,0.05652102645426061,-0.09462773707923466,-0.031173930755016066,,,,-4.2757943831832775e-05,-0.01707511213073886,,,,
TNFSF13,,,0.018391028385013324,,,0.029471694264273252,,-0.006994627171967113,,,,,,,,0.024742204088673395,0.060743575818500914,-0.09074898241643861,-0.036476151808412356,,0.04537317511127375,
WNT5A,-0.09580847244571453,-0.0010752913083200467,-0.012896048017692568,-0.008972731896602951,-0.0140304221607906,0.0270499439881608,0.03732638833901383,-0.025179406584698683,0.019300679887823184,0.07392444703198593,-0.028153566791895256,-0.03263370051224719,-0.005224280701435202,0.013967318758922296,-0.14742183997518465,-0.03314495653611971,0.01742590641443026,-0.016353505243065454,-0.02594919029200572,0.018839117092283163,-0.14419650885846189,-0.05310554399825807
CXCL8,,-0.08895864638892488,-0.05819107195103621,-0.02299688935787633,-0.03912393261456963,-0.0024458540406170257,-0.18468326310486705,-0.05003816807450555,0.059830555943226234,-0.03187229975664059,-0.013959047379658033,0.22773290969108514,-0.06414370196986856,,-0.1427532735120587,-0.22094180427363405,-0.39632493989220685,-0.008244289528900552,-0.0829823927768282,0.004498275172820599,-0.1969995872331305,-0.04885995764304809
GRN,0.22989332343060187,-0.08719606901737337,-0.05349472280884652,0.002414245301573759,0.002817958117438796,0.0397104088940975,-0.08560182964003842,0.0972092635269178,0.031557083217053125,0.05450754111526242,0.017048616958001646,0.2841753368187874,0.08901702134159023,-0.11227677076413693,0.0014688113378641449,0.017839934494509112,-0.010950030160861076,-0.21987610129723545,-0.083597181129769,0.006515221304022451,0.08790298064645999,0.07180043117696926
MIA,-0.03417349962695824,-0.02719544587810642,0.024854021523302725,-0.01713906853932042,-0.0022602987047773545,-0.015809863106644256,-0.11261821541497592,-0.015180941836639494,-0.03804527552528154,0.0010923518956750364,0.010207492115469433,,-0.021721709607309944,-0.09138075965125934,-0.029246583541825775,0.16680787033495428,0.13556192700994388,-0.11682024032497317,-0.12378448525529943,,-0.1317157634954504,
COL4A4,-0.0037627263127825677,0.006633262998862943,-0.010124768400866804,-0.058543137372623046,-0.03301213709091673,-0.012452311391201912,-0.03513059813136371,-0.03590914331572218,-0.06443762692066436,0.0173798093036747,0.05868159586954905,,-0.035111482243988364,,-0.08814266175639485,0.060830611238202874,0.10711572930072183,-0.021571404335098812,-0.031027042023474595,,-0.1208080760991257,
TAC1,-0.10132227992228482,0.4056109887986264,0.03819794775423717,0.01628054950066195,0.03307206007552109,0.11605570736325946,0.25594979479179386,0.0673261129418127,-0.07504811411597762,0.08402960850388423,-0.021668498145834013,-0.2048461998441116,0.009293673268920747,,,,,,0.036478419010495915,-0.08957924031133672,0.1886275144838212,-0.11460430184802911
RARRES2,-0.34904764671342864,0.062821935914057,0.0024204399382428787,-0.02203235289751294,-0.02791917374032828,-0.0027415716581845498,-0.22044439053915588,0.030695713014268405,0.04511625999451243,0.09170043642422146,0.06653073440557686,0.11427249071643092,-0.03194121116431589,-0.07992953441857534,-0.10669551766732677,-0.11220547706623772,-0.1636348456904587,0.03169795974771,-0.06344710309422079,0.005695122343995114,-0.15165982659839564,0.06962633210391021
FGF7,-0.016556721802023607,-0.007585235221955896,,0.045162847032472475,0.014688865073731983,-0.025909171647442317,0.08187516162809641,0.011597569926826522,0.01667170392323132,-6.563478758561556e-05,-0.021680575036833082,-0.0370123799398402,0.00888054283649134,0.013502100654071989,-0.08491393871604379,0.051203506595803125,0.05701161480172387,0.03662914719402276,0.008547033243210309,0.012709783620642533,0.0027954769980119785,0.020940755686309556
EFNA2,,,,,,,,,,,,,,,,,-0.0234310884473251,,,,,
HBEGF,0.02190984404707326,-0.04528507964027555,-0.028502626147747,0.020209538517788568,-0.03600958865582273,-0.012268396059982948,-0.14473445214043706,0.0492502713370245,0.03211489019979123,0.01499248246731463,0.03661932125803048,0.2478961036114449,0.057218397292045545,-0.012846815236461239,-0.12113500445522342,-0.01519488499577509,0.022285446092487556,0.06828481511552933,-0.09206951740007899,0.0429603951567617,-0.1435165849073856,0.04280599170638977
CSF3,,-0.04412424128377147,,,-0.023107241087550346,0.04632694156555122,-0.05051989769432331,,-0.011132757464477895,,,,,,,-0.1631728878558315,-0.23599810395361692,,-0.05671637395401049,-0.024458477415713428,-0.09412621337885284,
PI3,,-0.0069329875739842116,-0.03737037921771431,,-0.014731353230338086,0.018787814826921368,-0.08611121260544354,,-0.011906071207406615,,,,,,,-0.20896532670237092,-0.29166323818682827,-0.07845711594874738,-0.11188296846990994,,-0.04658504547669297,
