,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.018276107023977608,,,,,,,0.01454329492228053,,
BMP1,0.07614214090103931,0.011240028337212956,0.07345573668969123,-0.0061416623664731955,-0.025036305109917032,0.05208079832670482,0.03502397905662757,0.007282629167268337,0.020211688129986586,0.08234968849123453,0.059288228765510605,0.07134734419338092,-0.042475876375871496,0.08067925605369561,-0.006754531123886161
NDP,-0.008035539815852961,-0.03339030532333777,0.1142050490811037,-0.0008263419045968834,-0.02517303891641376,0.0021285801662701094,0.00841259682282751,-0.0005679188849369718,-0.014784173401404982,0.06915959482360821,0.04448320259002977,-0.06933991933504065,0.051427023949629815,-0.02152463002145479,0.035142072836213775
TNFSF18,-0.018781432731944058,0.01665008210776821,,,,0.18869835320286646,-0.02630184041843606,,,,-0.050146488955908695,,-0.016349843739406768,0.003485111397683752,
IL36G,,,,,,,,,,0.02066625595162591,,,,,
RTN4,-0.11167029044445552,0.02038915831457509,0.01716529271263484,0.008115244982055583,-0.027534828498162023,-0.09279687274998889,0.06696312366284,-0.011806270005595086,-0.0008909202734740789,-0.07074463268955337,-0.07855357100370473,0.05225874860187407,0.01751800731470712,-0.009631092369506843,0.08596707723445063
HEBP1,0.030167486828852643,0.05371685021696506,0.005380027717436409,0.00837755916970246,-0.039887084109422676,0.05124624594099456,0.012928797216242755,0.004102811954689364,0.058684237215031534,0.024974578656085576,-0.02584010270127508,-0.04705842936972315,-0.020699664976678554,-0.04466299985358781,-0.053708551984273406
WNT7B,0.004437197839301576,-0.024189230759717607,-0.0357238577784271,-0.0006266204302653593,0.06733989656824643,0.003174370202495699,0.025854046501552135,0.012625955335277272,,-0.035627598502825125,,0.030337483391079296,0.02020394154543929,0.03105222486389315,0.04239060381623143
PTMA,-0.03970930697598066,0.014046906082716337,0.022586597529355438,0.05688551267410792,0.010663418815115963,0.002575245701291869,-0.042022885581154246,0.005663615036900548,0.10750303549212882,0.11329273196251946,-0.0006364182084933745,0.03294721799115771,-0.09340965493480924,0.08241686297787085,-0.05634783437645677
FASLG,,,,,,,,,,,,,-0.0252751035163522,,
CEACAM1,,-0.026583216328115507,,0.02012538693548102,0.02609800909127767,0.02839448028388676,-0.006496141473511186,,,,-0.03526149231589365,-0.020334233313554044,0.013184790053624705,,
PDAP1,0.052004160708800255,-0.011210975043957606,0.05243357873294884,0.013346533253552841,0.01670260788939933,0.035906460999171205,0.02482231631352619,0.04400244919484525,-0.005292952977392884,0.03356578311284549,0.09297611842032673,0.0562976135681848,0.07405233588551119,0.002161214211470713,0.04583703699683537
QDPR,0.04316866912801703,-0.009189731407749886,0.04876936793765942,0.0058917257223080905,-0.037019652699138116,-0.04560398766055698,0.010257042148230177,0.011442354130468827,0.13284994190159016,-0.022307748175270203,0.004918161245394894,-0.0002099908269481255,0.01373938443687546,-0.0734817415097274,0.049001395335485594
