,UKF248,UKF255,UKF259,UKF260,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.020915604267757928,-0.018186164100969453,
BMP1,-0.005271932924329758,0.025616537603782526,-0.0013343342194171754,0.004760765996730974,-0.04443853661512869,-0.09318396226860967,0.09349249556500058,0.0351460511702767,-0.0009975763101248436,0.05286660948728754,0.06614778549400795,0.10342116426244542,0.08649451360936715
NDP,0.04311283451202472,0.06849550492173537,0.0019177660600564628,0.01331945763683186,0.01611867732312114,-0.020783714855119234,0.04188733152607978,0.04478956483000665,0.04363980566647255,0.01885764145680796,-0.022393142194804053,-0.048660721359104146,0.05244500072298701
TNFSF18,0.004314261605277988,,,,,,-0.020721753457564735,,,,-0.02156989349924319,0.02334123622383325,0.04197311671732297
RTN4,0.00986249158696932,-0.005192640172080195,-0.008417702665992477,-0.014440881569982345,0.024626734794336677,-0.05983803576177795,-0.004186376933806258,-0.09458480948905745,-0.004348393395051552,-0.05185256040045283,-0.0571705784679206,0.03315321823320391,-0.17461209433161437
HEBP1,0.024750426542423046,-0.0126037743083558,0.023858767277891806,0.043983621530372184,-0.006469887728688465,0.05155113795403682,0.060425410260438656,-0.05558154559813829,0.017299490818847345,0.0011888052868003975,-0.02348992407556632,-0.05608610070496294,-0.015225893365309105
WNT7B,0.04502061164917117,-0.004378791891559826,0.00636152167005263,0.03778005225702664,,0.1252193516858651,,0.10084266432572792,0.0216207408798436,-0.029348004496891657,0.01732413416158705,0.05632903988452278,0.02800333587881221
PTMA,-0.056426781514549135,0.03378863645296733,0.012900342587183408,0.04304814721670755,-0.057638626279784895,-0.005727296101266276,-0.028736763048536527,-0.1646284029624755,-0.034394391417839884,0.04729275980356388,-0.041802907324461416,0.03231951508514942,-0.016730759501507007
FASLG,,,,,,,,,,,,0.035392173055401814,
CEACAM1,-0.0077491861273295565,,0.024428783636921556,-0.011485056531306338,,-0.019351911902646703,-0.006030199545722719,0.0028474013743536013,-0.02340051319145292,-0.019381569658295027,-0.03099368503105142,-0.021945609619769154,
PDAP1,-0.023223335328173306,-0.03918350367709963,-0.013939143530377804,-0.03776704833839822,0.050612952921882566,0.02104197875441485,0.06543310354747525,0.011910781837955284,-0.05158472839838343,0.029962626016067168,0.002730238767607302,0.02547123422601822,-0.017464893229784034
QDPR,0.025807977106742184,0.045543008252782166,0.020630010741564547,0.01208927808649723,-0.014375203006500714,0.0074112517064134475,0.10752468273918069,-0.05906374841085561,0.035384809094066896,-0.027248724763166924,0.0687598853624656,0.006678657151347694,-0.06920633966417318
POMC,-0.017442946043304236,,-0.02301417038650316,0.008172815388804527,0.05232841940299166,-0.006257172695597091,0.02622362855741658,0.06219927675542269,0.00396448675603982,0.04043437862777668,0.03769347911551133,-0.0031285838102769006,0.01705918890022667
CCL18,-0.0029940031328347153,,,,0.022082213300463935,-0.038150583250902204,,-0.025435299756006984,0.03372085112238821,0.030630492623056924,,,
CCL17,,,-0.014324223175224506,,,,,,-0.01660153149266033,0.0022330205739319754,-0.008383907918849314,0.09903801222549224,
