,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015697214941080874,,,,,,,,,-0.024882332876867887,,-0.011172140517667458,
BMP1,0.08612304803426915,0.014451074062081699,-0.015263021449235548,0.04165595951679932,0.055447260805869855,0.07664840369797468,0.10603996073410882,-0.0361257178463679,-0.03056461382500623,0.005490165993505447,0.02712843080329232,-0.019052330463781086,0.060197113612173135,-0.06134599585616482,-0.02070613068663262,0.044571374958095225,-0.012922017367856453,0.016619465898711418,0.019641577562683463
NDP,-0.008847928618720838,0.0349054468691276,0.04637141846373638,0.010325812081619071,0.024172001355953113,0.004633656873216991,0.05440807710864172,-0.04406458421910549,-0.005922171427201382,-0.00235884146802321,0.06313856174585647,-0.03721993179967366,-0.0433585647796643,0.008980945513270513,-0.005186234210012619,0.04742545349122415,-0.02426918472664503,0.004360795145299891,0.031149948593821055
TNFSF18,-0.029449195341886978,0.03367755066168843,-0.022813333330391435,,,-0.011440820576501557,0.04542696955935221,-0.014222980357943537,,,,-0.0066860816237128175,-0.03745991108424327,,,-0.025660710696946597,,0.014063825519330676,-0.03174722707757348
IL36G,,,,,,,,,,,-0.02409749969234738,,,,,,,,
RTN4,-0.04809457195156357,-0.02693323321040466,0.020497294817016974,0.06431221474723171,0.010170051309788047,-0.07450571254607352,-0.11839422644426878,-0.03914825773820135,-0.08273308966856875,0.04730491768231518,-0.020862047442410037,-0.026873205688739344,-0.005621117861076077,0.03607923239423492,0.000615450433545285,-0.06520843783529387,0.07361938186927422,0.04728910743960605,-0.053748555862227716
HEBP1,-0.016921656176733798,-0.06483592760293305,-0.034454673474956045,-0.011426239182180182,-0.010500016474255703,0.027371048435851968,0.0688848118855332,-0.005509334202017046,0.015591415461567542,0.016715509016600724,0.06584587448023439,0.07358426683776577,-0.0617157649149135,0.046284038689667115,-0.006341027234810691,0.017201122494511573,0.04738882524153701,0.04747697186757396,-0.011098915872754475
WNT7B,-0.02594381872175499,-0.01494343616396808,0.03114603038006357,-0.027253900283288002,0.062213506217179096,0.039489258162089515,-0.05878597524554696,-0.01289926086753389,,0.004938194265012501,-0.0003597362091045148,0.05602613875703528,,-0.03483809191985933,-0.025650196744004383,0.08871385462443038,-0.02668607876253679,-0.042355170525015425,0.004548267208222717
PTMA,0.006469969741894504,0.07414928461575089,0.02543603249044843,0.06575841506074634,-0.020781543869561738,0.10168810463207802,-0.05519091991367327,-0.0013320329158433193,0.06883894543775097,0.036666295369472704,-0.012832303972822949,0.035958782625130484,-0.048801634235846506,0.012951145629355986,-0.006858450893366885,-0.08695749407675325,-0.01218323250980963,0.035438270421230225,0.04605154836792534
FASLG,-0.025943826056006085,,,,,,,,,,,,,,,,,-0.004907371399345036,
