,ZH8812bulk,ZH916bulk
IGFL3,-0.017996410938371933,
BMP1,0.01849963273649654,0.0515802983958021
NDP,0.04932126435048839,0.06677240391228421
TNFSF18,-0.018559380945435588,-0.01048361899037413
RTN4,0.032925412830210325,0.06646803707054919
HEBP1,-0.04273080289022158,0.044429462601641524
WNT7B,0.05578174216946997,0.030018192872919642
PTMA,0.018693231116974646,0.004417738455996776
CEACAM1,-0.026667892792994568,
PDAP1,0.07671165935516235,-0.002504157513126921
QDPR,0.041665997374277924,0.026470603157081905
POMC,0.04217166069285962,0.031063263844785662
CCL17,-0.02372722825922181,
VEGFD,0.03545381663501199,
TNFSF13,0.057498594041891206,0.019205665894997337
WNT5A,0.06414758454293126,-0.003022657178132474
CXCL8,0.07087239722630867,-0.006752155816179243
GRN,0.007982961787017264,0.09672639087819129
MIA,-0.031876086222089386,-0.03674584359943514
COL4A4,-0.03654987714222023,0.025507749253963586
TAC1,,0.03149284157658361
RARRES2,-0.02197823355817483,-0.09430413768866407
FGF7,0.03371791026381273,0.00115329445450824
HBEGF,-0.015359246788716294,-0.02197641705202916
CSF3,,-0.03652384867686786
PI3,-0.020160150229711106,-0.001847284527806662
PCSK1N,0.0434507769552854,0.05779050609431631
SFRP1,0.01178964990285471,0.04840198805164707
CXCL13,,-0.029625802637196007
MICA,0.005416376386600131,-0.03345549016014379
TG,,-0.03264778781791237
ADA,0.012451568197262841,-0.08340948300364188
LAMC3,-0.030942092546957106,0.03284976516836162
CCL7,,-0.028714810994306825
NGF,,0.05924254467033352
TNFSF15,,-0.027635484704962295
HMGB1,0.017808274938057,0.037046533931292876
ITGB3BP,0.14227472147400846,-0.02556166115875712
AANAT,-0.029349820137868812,0.06898364567467209
RELN,0.019346062344736504,-0.009109459408622143
IL15,-0.03654987251038643,-0.02000237073576712
BSG,0.020299005469219037,-0.0350504068852846
ADAMTS3,0.024378676533721833,-0.01480600551376463
CD34,-0.0315009297248825,0.030671634213589146
PLAT,-0.013312737336313277,0.04055816943108807
CKLF,-0.045991273628851866,0.0023506902445780786
CD24,-0.05893885573620237,0.04873809695857569
HSP90AA1,0.03425634955690946,0.04311800358927225
BMP4,0.03677275837673999,-0.006128189228278119
SCGB3A1,,0.01284546868787295
IGFBP4,-0.042390775723487546,0.0016314682455963675
RSPO4,,-0.02812120347986302
LEFTY2,-0.044581149905795515,0.07317417360147926
PF4,,-0.022028929915328458
ANGPTL2,0.024520065692945302,0.01946335334275227
LRIG2,0.049866014830814785,0.047853001072766334
ICOSLG,0.019590950872410362,-0.017063045963511707
WIF1,,-0.0404226157316732
NPPC,0.04474992136178314,0.028603424785994123
LYZ,-0.05787122156660112,0.03925802778130477
EREG,,-0.02536182402391263
SPTAN1,-0.03672443329472861,0.04550849742207286
LIPC,-0.034177620690562176,-0.019440280545141752
COL8A1,0.05155880164921082,-0.07818624297302194
GSTM2,-0.014344484334854364,-0.018561441387645424
SPX,0.03657243395240886,0.039366043510134174
MFGE8,-0.03408763847601214,0.018120528530692848
TGFA,0.09699354260307035,0.053718725403683665
SLIT2,-0.04139781479369449,0.06103138265516554
PLTP,-0.02133114532089799,0.0020656190381984746
APOD,0.043923388173380935,0.023064478089855844
B2M,0.014587237911555665,0.03484332012765391
OMG,-0.013758752498596555,0.06646264138885886
CXCL3,0.14955467497642724,-0.07063764197567567
CXCL10,0.04822711270177541,-0.0510246069090755
RSPO3,,0.03003953357644574
NCAN,0.032671497322391246,0.037752353346997065
PRG4,,-0.030661269281001036
ZG16B,,0.035814193314555536
TGM2,-0.023596612229115205,0.05160816155989065
VEGFC,0.009742148337771416,-0.006059488769173089
WNT6,,-0.019418741693003217
NRG4,0.04818985959693588,0.10998532519122797
PMCH,,0.07679670536410105
COL9A1,0.08113847751426753,-0.012680308872448656
GDF11,-0.000711511816349462,0.04103315504004613
IL24,,-0.03264776907064127
SORBS1,-0.031129988592576822,0.025451668293324004
DLL1,-0.007762393436710468,0.048716645019926584
TLN1,-0.017568247839048957,-0.029586189741885746
COL2A1,,0.012245603001107035
SHH,0.003330655075437263,0.11387168173804184
PON2,-0.03518811233810092,0.03798433837798357
ICAM5,,-0.032024673076630795
HPX,0.0422428978300236,-0.04660429958712453
SFRP2,-0.0001248740154197879,0.014032119439722626
CFC1,,0.014382895582634234
CD70,,-0.05130107352473466
HP,0.028666718712262656,0.011806439289831258
CXCL2,-0.02599955266802028,-0.04935086645849483
CCK,-0.00675902751383467,0.0876576657847891
SEMA6A,0.033022203313348195,-0.002100632878600659
IRAK4,-0.0176489715955147,0.003918446874777586
GSTP1,0.04004632293163749,-0.09295023314788348
VCAM1,0.046922279760961014,-0.01004996970728788
NXPH3,0.0006317350029336672,0.001334631981602995
MTMR4,-0.03573756937534145,0.07871572493169543
LAMC2,0.09758091138286402,-0.028121218960509873
IL10,-0.020415604008732765,0.01303859382165052
SEMA4D,0.02275258972491431,0.0758304911222832
TRH,-0.04678075254987677,0.003958579698777177
SEMA6D,-0.01693530821418716,-0.00505056194623411
CEL,-0.04125710221376332,-0.030043685896979148
PDCD1LG2,-0.014946570312072695,0.01541221121033715
SPINT1,0.007407022553342319,0.04242683859094919
CTHRC1,0.04032629267994994,0.05306368204728346
PODXL,0.010524960762647001,0.03734601734830899
JAM3,-0.025764883900086733,0.03469896472871218
TGFB2,0.06940997623973978,-0.030443186671211
COL18A1,0.02012679552830521,0.02584527024507911
NODAL,0.00127352278359589,0.011530376157974823
INHBB,-0.01026641910572813,-0.013844475127544957
LCN1,,-0.019724635855750974
ARF4,0.021802242252040437,-0.012967137776574931
CXCL14,0.04781742852939061,0.008237086619250126
LIF,0.06906623873344853,-0.06518142828175531
IL17B,,-0.02230141253881143
MMP1,,-0.04990885146755101
MATN1,-0.021409345803404627,0.004079019516728751
ADAM28,-0.0008270700959068721,0.049609661785540826
TCN2,-0.04677184384740422,0.0749747334533318
THPO,,-0.030456614350088985
CUBN,-0.05007054295249613,-0.015867164792418207
TIMP3,0.05224241974149362,0.0231860798707616
PIGF,0.006268585367713866,0.06884678239699515
CRH,-0.03608518392416477,0.02556664031181241
BDNF,0.012309573007209463,-0.02658654960413372
CCL5,-0.038230549408328963,-0.019620831448715334
GAD1,-0.01995390069950075,0.02673661777113411
COL14A1,0.006946622479671256,0.018140820811087192
HLA-A,0.013270853788273336,-0.04675815192157163
FGF18,,0.04465985547186921
ADM,-0.03302926280209983,-0.09949879050895098
GNAI2,-0.002046109930107191,0.030891212903092623
HDC,,-0.02032349198301135
COL11A1,0.11746913402750965,0.008136214320263388
