,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05486514761572966,,,,,,-0.025215870548779103,,,-0.01595431092197363,,
BMP1,-0.02581851403259262,-0.03825775669770921,0.01764629494941574,-0.025881987722937632,0.01371231889330424,-0.02038057817109225,-0.08118867382998264,-0.08510720668166732,-0.3790261733300236,-0.10843684906933511,0.01572751097388433,-0.12887656891826593,-0.2636421277784436,0.028778299921884177,-0.07884801080074001,-0.08820951764514594,-0.07540972096874984,0.06401738568956766,-0.14486134947553816,0.0032826227118777068
NDP,0.0029020622628104283,-0.09629970392717725,0.0386666732400017,-0.028110337455888052,0.07519929902408569,-0.03712163718453602,0.16971034194663373,0.05855438443114066,-0.1278378527557804,0.05943043755158189,-0.01768281135260772,-0.1270076122379831,-0.060130884601780225,-0.02548124739470094,-0.11096583629630108,0.12513916027125627,-0.07794670573977437,-0.032274588845931484,0.11882975601025231,-0.03880313399794499
TNFSF18,-0.020370404185191128,-0.056993156801448244,-0.033236790060667966,0.04655789163726649,,,,-0.031047200189186903,-0.07934917378051716,0.0036837180612007718,,,,,0.013700250076789518,,0.13341691344183024,0.06544844241856473,-0.08568925601322148,
IL36G,,,,,,,,,,,,,0.017125544063789633,,,,,,,
RTN4,-0.005685147412353874,0.2984365331814362,0.049119878744596134,0.1009950581354948,0.010831346329623745,0.026744721261182672,0.2078856937682106,0.3444229013008923,0.48762210454480354,0.15142693518473546,0.10394796969621452,0.4566301256042999,0.3865205839598811,-0.018657623775817464,0.02662135270183174,-0.03254870447135003,0.12057664910404425,-0.018910972178605573,0.49801809901647115,-0.08378263156878545
HEBP1,0.06532248869302003,-0.05253745994969288,0.005115995465387222,0.047839169435830796,0.03348508492346892,0.038760327192427474,-0.06352269471867715,-0.07244665128354441,-0.15062910723497974,-0.025765776617718315,-0.057208357720341406,-0.1549888985720643,-0.03366663000949142,0.027211167453765176,0.04482121471136827,0.015956241895680227,0.027576161676563116,0.019451987178161507,-0.050321616675964916,-0.11566877999430608
WNT7B,0.03361612165686999,0.40495602007416953,0.04011916099588218,-0.0037321122667483705,0.038942945656186376,-0.035141524879588056,0.12325880400285358,0.12268439207008286,0.329709469302727,0.02623174460562161,-0.0033783378151340878,,0.05179187523473658,-0.023352810983243075,-0.05437789422663119,-0.03796587195838056,0.1235193692425316,0.08099968629038207,0.06575820650168027,0.10983964897106381
PTMA,-0.004767563603651378,-0.008837369356162438,-0.010872938719832581,-0.06210491576785306,-0.020346143383368983,0.003983244083716951,-0.19120658170241453,-0.3086425962110104,0.11184123597250323,0.07764650225984397,-0.05755933106307059,-0.5391297433834296,-0.3798507926673147,0.012760624601000614,0.029268338847966827,-0.10145264712167104,-0.1634897657124576,0.03508559440351004,-0.21998034268217248,-0.24437342616701677
FASLG,0.00820003730005187,,,,,,,,,,,,,,,,,-0.01383716841973591,,
CEACAM1,-0.024917751982138556,,0.01160254926488768,-0.021114221318419963,,0.055032380620796024,-0.01535745889704448,,-0.11129914250106548,0.03184091808576436,,,,-0.02058506961863281,0.020862425608218292,-0.009340437916347024,,-0.01925238754594699,,
PDAP1,0.024764307857715273,-0.0766889962353277,0.04572232847061244,-0.023671281392754526,0.013271387368768607,0.06480555346151218,-0.12216793191411109,-0.1536081995540276,-0.2940350797208313,-0.01587070449939321,-0.011061095376060873,0.036642907078056446,-0.1896662053845308,0.055073663513463766,0.03156903875955629,-0.01341701681472031,-0.08751248795383204,-0.05892273175592441,-0.04293731698716268,-0.0024286187700303637
QDPR,-0.038436859876757344,0.1720909705146522,0.008863532623442603,0.05373893801364851,0.013878469459594648,0.006796214136484847,0.25874103468131154,0.161874184349552,0.1578303850386788,0.12671162429594426,0.10046547124485616,-0.3336932612419842,0.078824435738835,0.06037856899548155,0.02307119950782642,0.0759148084730231,-0.10650463490796493,-0.03456954523567107,0.40711652730428083,-0.0514430721856278
POMC,0.07773235219478777,0.1345779686216939,0.002547435703465163,-0.02843936008916798,,0.022071395983503554,0.13438719467405777,0.09384163102693147,0.014655695930997371,0.0026716456422144932,0.02097948366618808,-0.041042286089906774,0.11260387069512952,-0.04942616134395176,0.018301746299923795,-0.041221438045615746,,-0.004649664206008216,-0.008366064192744653,-0.04165907192802838
CCL18,,-0.010579427640685635,-0.025927484563887826,,,,,,,,,-0.2083699209752678,,0.022675905084345933,,-0.052159088371306984,,,,
CCL17,,,,,,-0.003913800497300231,,,,-0.001688961297136357,-0.025097250288508108,,0.028789283658980428,0.13500442856332429,-0.03324566872332138,,,-0.012541838987006736,,
VEGFD,,0.019289431678131366,0.07520046618213175,0.01279365874471549,,0.047827909720955755,-0.0032801624194131397,,-0.07643293906868313,0.09088301738502817,-0.004855879048404334,0.07176203893591913,0.01480913324502618,,0.02817357766345719,,,,,
TNFSF13,,,0.06847617152130622,,,-0.008100028999813944,,0.01059805739977524,,,,,,-0.028023094572557163,-0.03565168027247714,-0.015415023526849618,,0.020533308386800255,0.023863193347644442,
WNT5A,0.03566729869512583,-0.0410218306374209,-0.021403736558546157,-0.018073240040376953,0.02860982553867913,0.04765432872881428,-0.07054137676945316,-0.20946458169219825,-0.32456277820080637,-0.009381639066247009,-0.03804106233140621,0.03793305161998848,-0.05076214431411213,0.02956968564695771,-0.021560919994186162,-0.06751904217943756,-0.012974103340112463,-0.0268406384247359,-0.17216514711458264,0.04289505367879463
CXCL8,,-0.1707302809857523,-0.04218581139147124,0.06628235740855276,0.04191906066405836,-0.007745067569163583,-0.1485205167120174,-0.023731421510003126,-0.15102344866697093,-0.021581874263027736,-0.02204746153505755,-0.1864534792985458,-0.11258174153531315,0.05983656082095963,-0.03635837929118382,-0.0553071045209441,-0.026865745512684284,-0.056757926435299144,-0.26781868280984106,0.13624554773999273
GRN,-0.04689891487570052,-0.07611733664528905,-0.0536353948401812,-0.03812240724672346,-0.045519286728790485,-0.02656250976041868,-0.1248172855980378,-0.16060299724154348,-0.39676480526618285,0.0027241507679844255,-0.047603302473380675,-0.3571857027472724,0.04601943906086326,-0.03862910306232089,-0.04727069278171728,-0.013037097078609852,-0.0030576665298164643,0.04442930091992882,0.05285896346089517,-0.06242102709380063
MIA,-0.0234893644676148,0.0011140207778711564,-0.019713839543269402,0.07028600695371624,0.09118422067918948,0.0044696124284680635,-0.11747160035967427,-0.053119667274173554,-0.16140900520131407,-0.055142208628266264,0.032049190691335334,,-0.05645828331318006,-0.028509396340519137,0.025791397898050926,-0.10838345080383083,,0.007334578894498836,-0.13855711587884384,
COL4A4,-0.020783299328979363,-0.05413688636430884,0.019373419443397245,-0.03781958345327732,0.050808055544905875,0.010277978475438642,-0.09874479905648627,-0.042281357407739625,-0.02856474460629921,-0.0003881283461426786,-0.03138558692285056,,-0.03572093186691691,0.04678097939379447,-0.05121226525378414,0.0651937570829745,,0.01931162349684582,-0.10549273852344998,
TAC1,0.08490131389505959,0.37392412368260125,0.1626283079226148,0.019271916812546048,0.055631682736782206,0.06307942356287272,0.26122960425734376,0.2883194118667241,0.4615524661331804,0.22857888630739567,0.10518573452587834,0.311557166375814,0.35605829140077366,,,0.16420585859597292,0.10158853592817066,-0.01648752265628637,0.3817455586643444,0.18878241562189862
RARRES2,0.01840239595938079,0.05309273004433695,-0.03992338933100835,-0.006889183565708046,0.002297232876446235,0.0028336447739499625,-0.278340773880886,-0.15947873929311177,-0.43518180855868205,0.11850197020976462,0.052045581819577656,-0.1871330401123679,-0.1324674065318341,0.03996880859475371,0.02290278789055597,-0.04376263946875627,-0.05377190745056056,-0.04008501943577058,-0.19033363041113907,0.05806113250775048
FGF7,-0.03942635410761633,-0.05406823123912878,,-0.03413356020927906,-0.03650335986841305,0.019274944829044228,0.08103065037296253,-0.010056555254386432,-0.10074311538519372,0.010672156287822502,0.03667600903944324,0.0888066282506256,-0.037486967834792564,-0.022929839199949148,0.0014469230837708053,-0.04729321431793605,-0.006048386303943899,-0.030744715613449946,0.01707585941948489,-0.055498016215846886
HBEGF,0.03207315380180142,-0.07567820645472796,0.0451361803466306,0.0018948671250144614,0.025067577449023076,-0.012699326957025706,-0.1362611407425392,-0.12274707930468166,-0.1741892966942725,-0.13880180165393569,0.025766724394984158,-0.24644259925500578,-0.009687601338320327,0.04179190910889605,0.016258229559542113,-0.01325094393312862,0.03810176650737942,0.03648387240635221,-0.26644018020254,0.018589406119416254
CSF3,,-0.08669181987948094,,,0.16032253247696546,-0.037795499952287835,-0.05895325416678825,,-0.04861620161535257,,,,,0.098553745497137,,-0.03612549381426794,-0.02558240977710772,-0.013204621646291412,-0.0896208980759201,
PI3,,-0.05614271236636233,-0.043020836286958665,,0.056577117203111225,-0.0017122393848831307,-0.05448149953230901,,-0.07755868727754929,,,,,0.06053249131486985,-0.02824761782653112,-0.11361929840776527,,-0.02868925603190605,-0.11785890698257728,
PCSK1N,0.07069173304762728,0.2989742280748554,0.040175857324015164,0.018960989498389914,0.012412877316460399,-0.010502191549226665,0.047889710754733604,0.16553690649939964,0.20443480977606995,-0.07469727402582677,0.09411742160842498,0.5388843910151947,0.35310684699925227,-0.0004848358901557655,0.055231427228552885,-0.05622614167101292,0.08735711741546624,-0.06268453286908823,0.4140517514973959,0.18683169474227976
NTS,,,,,,,-0.10146200480461609,0.055574253413319744,-0.0294448164052355,-0.02865038884491623,-0.02193163510953501,-0.11503865251927135,,0.017570905177947547,,-0.016567495750696166,,-0.019554244059873452,,
SFRP1,0.045445295210135586,0.06867867493697366,-0.02699199130900116,-0.005737167393738567,,-0.027668160328091947,0.14679371028874466,-0.05804834658925792,-0.05156650096197912,0.017708093110669097,0.01270547001642945,-0.21095064540993666,0.046908640906040855,0.048320228502856874,-0.06457103833993748,-0.058594817107085626,-0.0200025398348511,-0.019099852967462784,0.0397608197685894,-0.11103160128582727
CXCL13,,,,0.04639094105083036,-0.023582882469968883,,-0.004194532147106286,,,,,,,0.008505392559426835,,-0.03397469221170262,,,-0.07926345280124325,
MICA,-0.0070639707064293,-0.09307916840647731,0.029975791723604785,-0.003727432785841897,0.0443272206911198,0.0007231563758510323,-0.030928639059728157,0.0662325999456477,-0.16831732620663306,-0.028215527960570228,-0.017554618292439567,-0.05227955638081193,-0.15290668953838274,0.020115964421130648,0.052434145109816026,-0.026652721834848285,0.039678321400177304,0.020431923861165224,-0.07906305164848496,-0.03324097407620088
TG,-0.020783294645382838,-0.004747660254155703,0.023678864130375808,-0.005143196951030801,,-0.029858328578063337,0.005918030537968378,-0.004974897137969587,-0.027363274807024912,-0.04416373394566718,0.01826841881752786,,-0.011145705011592384,-0.019405211682783006,,-0.029731836534462833,,-0.025751530891221418,0.010860400763944636,
ADA,0.023014497334811156,0.038952157702688645,0.020159547912115407,-0.011193978736104244,0.0026557801020064284,-7.354799736197913e-05,0.030094195255673764,0.007112790128465349,-0.2722999831700812,-0.015079233205323558,-0.0037596444061067783,-0.1678578842145222,-0.05683950084782575,0.01000976902425828,-0.014632824219316781,-0.026088211169223066,-0.061699629038469296,0.08447371063780237,0.005366494993734583,0.1313042930239458
