,UKF260,UKF266,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.022974094876001338,,,,
BMP1,-0.051362815227554724,0.015332341380892423,-0.04834410810057172,-0.04437601179565495,-0.10254827540188696,0.05604954815956118,0.0007223320838665103,0.05823342405917116,-0.0061716624637963855,0.06045105803770091,-0.021165701264025935,0.08295095355300816
NDP,0.0824569328026511,-0.05049965750230005,-0.04303344418337577,0.01888674549218047,-0.02994557136721251,-0.005590630811890683,0.06478962424318617,0.009419672777149266,0.0002504086974348584,-0.01935189143671897,0.1492797826832853,-0.027175983719216496
TNFSF18,,0.04945038860190004,,,,,,-0.002395539060382173,,0.01277270439833958,-0.04776093860814551,
IL36G,,,,,-0.016810358870710935,,,,,,,
RTN4,0.10220742755119909,0.14399873363573862,0.15485871695410708,0.11450846744680748,0.1654274523141138,-0.014144914552863605,-0.09839354030859669,0.027484894980916757,0.09078253640718575,0.09026474521855227,0.033451007019782965,0.024988348678838458
HEBP1,-0.014499684746711802,-0.10006659078380502,-0.019151605953726315,-0.08371045438147663,0.05849510645083103,0.008654616537108164,-0.011333840601175309,-0.05523977536503999,0.03076200559540898,-0.029192734796017937,0.07602819604110445,0.013665063105268233
WNT7B,0.035819638666972686,0.1322456762435837,0.018990419461146206,,0.10943728299523638,-0.037325113030171296,0.0501956089258163,0.00573932512097199,-0.007160196981680288,0.21537856065030164,-0.026940503113391027,0.14085296339009004
PTMA,-0.11690566464150431,-0.09363435509094006,-0.07761990886307532,-0.14941162258397864,-0.136779450030686,-0.0060749845060582425,-0.006072893443405687,0.015766224218797496,0.023801210151083753,-0.07173532270045599,-0.07727188228006758,-0.19491603714676278
CEACAM1,-0.01910115056226949,,,,,0.04368985805553145,-0.029381207362429336,-0.03404404918666053,-0.0028515465331182383,,,
PDAP1,-0.0762451232671837,-0.051038498119855294,-0.022423401625824183,-0.028308654859555714,-0.05005865371116789,-0.04233693612744733,-0.027197407004379438,-0.06485911580545635,0.020680129307296933,-0.0803021073638507,-0.0018771102541590434,0.05705666828780273
QDPR,0.09391242900437204,-0.019208429418820745,0.021189052535055316,-0.13463838830779307,0.04956263944491502,0.03412958027687263,0.09022019095853222,-0.029700922793038907,0.0001649485112791712,-0.10920516988780693,0.07991548731525185,-0.0362523867156547
POMC,0.14714942732657707,-0.015731806391578708,-0.007900809713773552,-0.037659972634307634,-0.015432978474160806,-0.006972186587304308,0.007917204096859668,0.07317143552232926,-0.00011387365637044844,,-0.03679719394368032,-0.07800394172926417
CCL18,,,,-0.06938660005808307,,0.008714919945543805,-0.07174696276645103,,-0.0021861874921053456,,,
CCL17,,,0.003683706638806015,,0.07486731770372053,-0.021220106984124305,-0.04241361736323204,-0.030290016994978453,,,,
VEGFD,0.02072049012156249,,-0.005859812819233737,-0.027148954195662694,-0.016458293987131643,,0.02473131024611314,0.02974407554340991,,,,
TNFSF13,,-0.013596155969930312,,,,0.05661988565054657,0.026384309486829155,-0.0023010623133467344,-0.02343357219312003,,0.059374480549243436,
WNT5A,-0.06728355048523806,-0.05615282119142461,-0.08474925761420087,-0.05440005104220392,-0.022341225373638668,-0.0007066646549938789,-0.03299255380628045,0.013074832468177384,0.035298964154662285,0.09330922911134003,-0.07668698234884722,0.11553035364794073
CXCL8,-0.08423339714195924,0.08359739845217357,-0.01857045951224864,-0.06186338880879152,-0.03527856980386665,-0.07601257814916657,-0.12792334059371088,0.019188616581720712,-0.07341632373933682,0.09943596299091817,-0.08927897122462554,0.07990196504352158
GRN,-0.0021425306331106335,-0.056126848069535044,-0.026804003129483823,-0.09152678410379933,0.024854060600580527,-0.031710240895743334,-0.06755378037007904,0.04773780873075252,0.018496597222577287,-0.028680985788754877,-0.040424353027595776,-0.03422464074314413
MIA,-0.040945008764864704,-0.027588284275791155,0.0037505295953299054,,-0.022540387858836122,0.1555809527946832,0.1320299881924235,0.010680015928668032,-0.12835741914160181,,0.028344168634979502,
COL4A4,-0.08930835422508214,0.07030157975609776,0.08673771595794985,,-0.02186501245113835,0.11746592206026955,0.007861781870985405,0.0012773102554234747,0.015489074898101526,,0.006704680168249458,
TAC1,0.15177214116611157,0.03543749230620284,0.008114679350429118,0.0991719582753171,0.11508012980625232,,,,0.04159055749226503,0.053062294408815235,0.11551857928316528,0.031968532228715145
RARRES2,-0.10257648202196541,0.009475986227074143,-0.04773468427834671,0.01119921645455185,-0.0867136203713797,-0.021844220878045332,-0.12031594601266755,-0.018705134888375656,-0.01587616132384111,-0.09836291390584416,-0.04303757579909162,0.02575334076096105
