,UKF243,UKF248,UKF255,UKF259,UKF260,UKF275,UKF313,ZH8811Abulk,ZH881inf,ZH916T1,ZH916bulk
DCN,-0.09196366438543549,-0.08500104316602876,-0.13734803662552092,0.020909492409887057,-0.0722065135126441,-0.00785327844241954,0.04991358514936511,-0.044625200267864665,0.024668428952643904,-0.17637001344368725,-0.06655108488135113
RARRES2,-0.06217293465492017,0.004645846154076799,0.07706373874492245,-0.021379534439767565,0.089271070284511,-0.04929317846656956,-0.07875680330985883,0.055931276241856155,0.015971238728474797,0.16932194449664806,0.11706183893310054
SEMA4A,-0.004976464765859995,0.025084359947939082,-0.08040438241316973,0.004675778577781293,-0.06541747963781787,0.03754082482974155,0.03134746083673306,0.019529464212501867,0.014174845688148125,-0.0716707044274304,0.031346080483139215
GDF11,-0.06431980052370177,-0.009090405846033019,-0.15824534786545572,0.016041168204929443,-0.023380846128207025,0.007667603586751045,-0.011216359179129718,-0.0024208392158484174,0.057081753317691455,0.054393285401790184,0.003737188893814566
GPC3,-0.016907418691734455,-0.0373061397170711,-0.08239867374324511,-0.016703783874884935,-0.028124753403777028,-0.021017039772540567,-0.023328732010439175,-0.002297179826756552,,-0.06283760179021733,0.06123796691698996
OSTN,,,-0.00018629956552082053,0.18460902125233242,0.056537133822525724,0.03936932231274827,,,,,-0.008925477949433554
GRN,-0.03066497728038765,-0.05219886767038887,-0.2717506898868339,-0.021963218017845197,-0.011938549029984157,-0.032954466637004264,-0.026135339408538,-0.02714919872257718,0.08175006619099127,-0.13075082804366805,-0.060960428605889246
CALM1,-0.12594307538340188,-0.12247670472606818,0.03038167291312149,0.0034444267008717816,-0.12281560514627783,-0.07390336421455282,0.012381898443757653,-0.06517731708438665,-0.04966896209770821,0.04064912735024256,-0.12638180956832243
ANGPTL4,0.12147076765266156,0.13065915932995714,0.3636888894470934,-0.032601154937424756,0.16971855271045805,0.03715215026154661,0.09810881064393902,0.1295414240287056,0.11075554921893958,0.06391534131011378,0.14322957441255602
BMP8B,0.10572788134340612,-0.05408429627203927,-0.08847427094925979,-0.01649662888266748,0.0008842313305173464,0.007064329614408121,0.017240258587756276,-0.02583623841697603,0.07787233101042201,-0.06348878545206005,-0.011782459779326444
